브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,,,
A,Bag,BG,가방,0,0,,0%,0,-3,,,
A,Bag,BK,백팩,0,0,,0%,0,-3,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,,,
A,Bag,CR,크로스백,0,0,,0%,0,-1,,,
A,Bag,SG,슬링백,0,0,,0%,0,-1,,,
A,Headwear,CP,운동모,0,0,,0%,0,-1,,,
I,Shoes,WB,방한화,1668,134656166,202%,30%,1470,32885,22.4,40.2,-17.8
I,Shoes,SH,신발,701,64606920,146%,15%,674,43079,63.9,54.9,9.0
I,Headwear,CP,운동모,1394,52020961,105%,12%,1734,136413,78.7,59.2,19.4
I,Headwear,BN,비니,1177,45215160,94%,10%,1213,29947,24.7,22.1,2.6
I,Shoes,RN,런닝화,397,38718578,146%,9%,418,28523,68.2,45.0,23.3
I,Bag,BK,백팩,315,36396043,42%,8%,274,73261,267.4,197.8,69.5
I,Headwear,WM,방한모,524,32466396,86%,7%,544,16018,29.4,39.9,-10.5
I,Shoes,SX,스니커즈,126,9904790,27%,2%,197,21948,111.4,66.0,45.4
I,Bag,CR,크로스백,143,9793195,8%,2%,779,55545,71.3,38.9,32.4
I,Acc_etc,ET,기타,82,6732060,441%,2%,82,9286,113.2,260.5,-147.3
I,Acc_etc,MF,머플러(스카프),71,4439530,194%,1%,58,2195,37.8,28.4,9.4
I,Acc_etc,SO,양말,179,2172953,41%,0%,224,58373,260.6,209.7,50.9
I,Acc_etc,GL,장갑,31,1677634,64%,0%,38,8249,217.1,171.4,45.7
I,Headwear,WR,와이어캡,28,1339570,146%,0%,35,1437,41.1,83.9,-42.8
I,Bag,UB,보조가방,24,1127000,460%,0%,12,7193,599.4,1589.8,-990.4
I,Headwear,HT,햇,17,955400,184%,0%,24,15146,631.1,1274.0,-642.9
I,Bag,SG,슬링백,8,590703,18%,0%,4,4071,1017.8,138.2,879.6
I,Bag,BG,가방,14,425800,72%,0%,5,3241,648.2,159.5,488.7
I,Bag,HS,힙색,2,118000,23%,0%,1,2320,2320.0,246.1,2073.9
I,Shoes,SD,샌들,1,89000,,0%,3,24217,8072.3,,
I,Headwear,SC,선캡,0,0,0%,0%,2,8095,4047.5,5319.0,-1271.5
I,Acc_etc,PE,PET,0,0,0%,0%,0,16739,,276.6,
I,Acc_etc,ML,토시,0,0,,0%,0,884,,,
I,Acc_etc,GG,고글,0,0,,0%,0,70,,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,645,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,,,
I,Shoes,CV,캔버스화,0,0,,0%,0,-8,,,
I,Bag,BM,버킷백,0,0,,0%,0,1,,,
M,Headwear,CP,운동모,61856,2313955613,139%,49%,74726,1187713,15.9,18.4,-2.5
M,Headwear,BN,비니,17472,750472195,229%,16%,14994,114384,7.6,23.1,-15.5
