브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율
ST,의류,Bottom,SK,스커트,640002000,0.7793,9400000,1.0661,284291000,1.1749,0.4497,0.1481,0.4458
ST,의류,Bottom,SP,반바지,138634000,8.6538,634000,2.3745,54268000,5.8072,0.3876,-0.2023,0.7247
ST,의류,Inner,HD,후드티,58855000,0.3397,0,0.0000,6109000,0.2366,0.1035,-0.0423,0.2501
ST,의류,Inner,KP,니트풀오버,341415000,0.9833,2923000,1.5955,71552000,2.5271,0.2184,0.1339,0.2043
ST,의류,Inner,KU,니트반팔티셔츠,175695000,,159000,,19875000,,0.1125,,
ST,의류,Inner,KV,니트베스트,77840000,,556000,,22101000,,0.2794,,
ST,의류,Inner,MT,맨투맨,1051135000,0.6952,18872000,1.0516,165773000,0.6879,0.1562,-0.0072,0.2866
ST,의류,Inner,OP,원피스,65330000,1.2627,0,0.0000,6116000,0.9604,0.0905,-0.0311,0.2129
ST,의류,Inner,PQ,폴로 티셔츠,1015895000,2.2372,2919000,0.9450,260022000,2.9867,0.2534,0.0622,0.2568
ST,의류,Inner,RL,긴팔티셔츠,76230000,0.3674,891000,0.3519,10098000,0.2664,0.1308,-0.0575,0.2750
ST,의류,Inner,RS,반팔티셔츠,76240000,1.7264,421000,1.2203,53691000,3.5051,0.7114,0.3661,0.4012
ST,의류,Inner,TR,트레이닝(상의),143995000,0.1996,3470000,0.5781,29199000,0.3427,0.2124,0.0854,0.2105
ST,의류,Inner,WT,윈드티셔츠,44520000,,636000,,7950000,,0.1754,,
ST,의류,Outer,DJ,다운점퍼,274590000,0.1462,12384000,0.4916,40682000,0.5025,0.1437,0.1004,0.1536
ST,의류,Outer,DV,다운베스트,0,0.0000,0,,0,0.0000,,,0.1538
ST,의류,Outer,KC,니트가디건,321760000,0.6495,2707000,0.3564,54585000,0.8264,0.1700,0.0337,0.2803
ST,의류,Outer,PD,패딩,54780000,0.2439,249000,0.1097,3984000,0.2091,0.0724,-0.0131,0.2016
ST,의류,Outer,WJ,방풍자켓,543420000,0.8499,-598000,-0.2658,40519000,0.4025,0.0727,-0.0907,0.2044
ST,의류,Wear_etc,BR,브라,0,0.0000,0,0.0000,0,0.0000,,,0.0989
V,의류,Bottom,LG,레깅스,0,0.0000,0,,0,0.0000,,,0.1019
V,의류,Bottom,PT,팬츠,1708400000,0.5894,36330000,2.6212,287900000,3.0115,0.1648,0.0629,0.2087
V,의류,Bottom,SK,스커트,99000000,,1320000,,26070000,,0.2565,,
V,의류,Bottom,SP,반바지,91000000,0.7496,2250000,1.9231,21140000,2.0386,0.2366,0.1494,0.1909
V,의류,Inner,HD,후드티,542000000,1.5602,6950000,5.9402,63640000,3.0833,0.1155,0.0225,0.2209
V,의류,Inner,KP,니트풀오버,968900000,2.7604,5150000,1.1470,97200000,2.2854,0.1014,-0.0283,0.3005
V,의류,Inner,KV,니트베스트,98000000,,490000,,11760000,,0.1200,,
V,의류,Inner,MT,맨투맨,251600000,0.5136,2110000,0.9254,22120000,1.2875,0.0876,0.0292,0.1436
V,의류,Inner,OP,원피스,63000000,0.7143,0,,13860000,0.2694,0.2095,-0.4509,0.6918
V,의류,Inner,RL,긴팔티셔츠,109500000,,190000,,10360000,,0.0803,,
V,의류,Inner,RS,반팔티셔츠,64000000,0.1024,0,0.0000,16400000,0.2453,0.2447,0.1116,0.1536
V,의류,Inner,TS,반팔카라티셔츠,44200000,,0,,0,,,,
V,의류,Inner,WS,우븐셔츠,78400000,1.6970,0,,4410000,13.3636,0.0556,0.0484,0.0286
V,의류,Inner,ZT,집업티,72500000,0.1420,870000,0.3107,11310000,0.9409,0.1566,0.1096,0.1365
V,의류,Outer,DH,반팔다운,2153600000,4.0254,57350000,1.5773,774480000,2.1070,0.3598,-0.3461,0.8400
V,의류,Outer,DJ,다운점퍼,22049550000,0.6586,1082180000,2.6216,4324900000,2.7422,0.2184,0.0831,0.5199
V,의류,Outer,DV,다운베스트,294250000,0.1614,7480000,0.8069,42730000,0.6909,0.1267,0.0471,0.1919
V,의류,Outer,JK,방수자켓,158000000,0.0482,0,0.0000,1580000,0.0422,0.0100,-0.0257,0.0574
V,의류,Outer,KC,니트가디건,331500000,,1170000,,28080000,,0.0847,,
V,의류,Outer,PD,패딩,0,0.0000,0,,0,,,,
V,의류,Outer,SS,소프트쉘,0,0.0000,0,0.0000,0,0.0000,,,0.3135
V,의류,Outer,VT,베스트,249500000,,1590000,,56740000,,0.2206,,
V,의류,Outer,WJ,방풍자켓,2776270000,2.0435,0,0.0000,355320000,1.2589,0.1342,-0.1898,0.4431
W,의류,Bottom,DP,진바지,46640000,,0,,0,,,,
W,의류,Bottom,PT,팬츠,29766000,0.0634,0,0.0000,0,0.0000,,,0.3191
W,의류,Bottom,SK,스커트,34168000,0.5094,0,,0,0.0000,,,0.2325
W,의류,Bottom,WP,우븐팬츠,132802000,0.1132,0,0.0000,0,0.0000,,,0.1644
W,의류,Inner,HD,후드티,115777000,0.1154,0,0.0000,0,0.0000,,,0.3269
W,의류,Inner,MT,맨투맨,238336000,0.2464,0,0.0000,0,0.0000,,,0.3589
W,의류,Inner,RL,긴팔티셔츠,153266000,0.2389,0,0.0000,0,0.0000,,,0.3731
W,의류,Inner,RS,반팔티셔츠,308267000,0.5222,49000,0.0073,23560000,0.1113,0.8276,0.3917,0.5664
W,의류,Outer,DJ,다운점퍼,664052000,0.1259,0,0.0000,0,0.0000,,,0.2839
W,의류,Outer,DV,다운베스트,0,0.0000,0,0.0000,0,0.0000,,,0.4878
W,의류,Outer,PD,패딩,0,0.0000,0,0.0000,0,0.0000,,,0.1957
W,의류,Outer,SS,소프트쉘,0,0.0000,0,0.0000,0,0.0000,,,0.3168
W,의류,Outer,WJ,방풍자켓,122398000,0.0525,0,0.0000,0,0.0000,,,0.1645
X,의류,Bottom,LG,레깅스,514908000,0.3799,2715000,0.4286,19077000,0.3197,0.0431,-0.0037,0.1906
X,의류,Bottom,PT,팬츠,13786230000,1.6755,217943000,1.0552,1613340000,0.8663,0.2212,-0.0283,0.4167
X,의류,Bottom,SK,스커트,1696183000,3.4309,13040000,1.0964,120199000,1.1813,0.1285,-0.1165,0.3467
X,의류,Bottom,SP,반바지,0,0.0000,0,0.0000,0,0.0000,,,0.1869
X,의류,Bottom,TP,트레이닝(하의),12975059000,0.9667,270460000,0.8101,2870080000,0.8046,0.2415,-0.0237,0.4323
X,의류,Inner,HD,후드티,6389072000,1.5823,130521000,0.7923,1029108000,0.7706,0.2066,-0.1271,0.5458
X,의류,Inner,MT,맨투맨,9431513000,1.0457,244515000,0.6302,1918642000,0.5879,0.2487,-0.1110,0.6198
X,의류,Inner,OP,원피스,510267000,0.8163,1896000,1.3829,77160000,0.4719,0.1575,-0.1182,0.2958
X,의류,Inner,RL,긴팔티셔츠,8475003000,6.6710,70985000,2.4644,1148855000,1.7830,0.2889,-0.2768,0.6729
X,의류,Inner,RS,반팔티셔츠,217100000,11.0765,1357000,,56404000,,0.3726,,
X,의류,Inner,TL,긴팔카라티셔츠,1213150000,1.0214,23251000,1.8312,453766000,0.8532,0.4211,-0.0565,0.5704
X,의류,Inner,TR,트레이닝(상의),15013860000,1.0147,215592000,0.8198,3459237000,0.7924,0.2596,-0.0370,0.4168
X,의류,Inner,ZT,집업티,4804720000,71.8764,73085000,68.8183,375877000,32.1757,0.1246,-0.0734,0.2790
X,의류,Outer,DJ,다운점퍼,261063321000,1.1672,9065794000,0.7737,31910703000,0.8620,0.1466,-0.0341,0.5542
X,의류,Outer,DV,다운베스트,9362012000,1.3534,369590000,0.5777,1810507000,0.7337,0.2233,-0.1408,0.7869
X,의류,Outer,JP,점퍼,9336564000,,26126000,,90146000,,0.0222,,
X,의류,Outer,PD,패딩,5357180000,,36666000,,632060000,,0.2009,,
X,의류,Outer,SS,소프트쉘,12131900000,1.3502,404832000,1.1729,3247346000,1.3303,0.3665,0.0910,0.4333
X,의류,Outer,WJ,방풍자켓,17535633000,1.4149,57085000,0.7102,3156272000,0.7388,0.2757,-0.0840,0.4047
X,의류,Wear_etc,AZ,상하의 세트,1126700000,3.0118,22546000,3.7186,239577000,1.9591,0.2151,-0.1073,0.4891
