브랜드,구분,종료일,유통채널,채널명,실판매출
I,당년,2025-09-21,01,백화점,575567750
I,전년,2025-09-21,01,백화점,511501220
I,당년,2025-09-21,02,면세점,158788500
I,전년,2025-09-21,02,면세점,100622800
I,당년,2025-09-21,03,직영점(가두),22670700
I,전년,2025-09-21,03,직영점(가두),22257200
I,당년,2025-09-21,04,자사몰,57179252
I,전년,2025-09-21,04,자사몰,45515840
I,당년,2025-09-21,05,제휴몰,250830400
I,전년,2025-09-21,05,제휴몰,50784200
I,당년,2025-09-21,06,대리점,115103280
I,전년,2025-09-21,06,대리점,119513198
I,당년,2025-09-21,08,사입,258002198
I,전년,2025-09-21,08,사입,180017330
I,당년,2025-09-21,11,직영몰,52054340
I,전년,2025-09-21,11,직영몰,94710150
M,당년,2025-09-21,01,백화점,1256648970
M,전년,2025-09-21,01,백화점,1082884980
M,당년,2025-09-21,02,면세점,2552880000
M,전년,2025-09-21,02,면세점,1678602900
M,당년,2025-09-21,03,직영점(가두),517026700
M,전년,2025-09-21,03,직영점(가두),309822200
M,당년,2025-09-21,04,자사몰,166930162
M,전년,2025-09-21,04,자사몰,162077974
M,당년,2025-09-21,05,제휴몰,395353100
M,전년,2025-09-21,05,제휴몰,291971900
M,당년,2025-09-21,06,대리점,1092511630
M,전년,2025-09-21,06,대리점,792988641
M,당년,2025-09-21,08,사입,711256609
M,전년,2025-09-21,08,사입,247674040
M,당년,2025-09-21,11,직영몰,85636100
M,전년,2025-09-21,11,직영몰,167386600
M,당년,2025-09-21,RF,RF,375644670
M,전년,2025-09-21,RF,RF,254305971
ST,당년,2025-09-21,01,백화점,8453040
ST,전년,2025-09-21,01,백화점,32907340
ST,당년,2025-09-21,02,면세점,18861830
ST,전년,2025-09-21,02,면세점,14210900
ST,당년,2025-09-21,03,직영점(가두),18268550
ST,당년,2025-09-21,04,자사몰,34581640
ST,전년,2025-09-21,04,자사몰,31439200
ST,당년,2025-09-21,05,제휴몰,41704300
ST,전년,2025-09-21,05,제휴몰,18419000
ST,당년,2025-09-21,07,아울렛,50407850
ST,전년,2025-09-21,07,아울렛,56991960
ST,당년,2025-09-21,11,직영몰,22526620
ST,전년,2025-09-21,11,직영몰,37531900
V,당년,2025-09-21,01,백화점,158196600
V,전년,2025-09-21,01,백화점,171638900
V,당년,2025-09-21,03,직영점(가두),2960000
V,당년,2025-09-21,04,자사몰,16044800
V,전년,2025-09-21,04,자사몰,6495000
V,당년,2025-09-21,05,제휴몰,176683600
V,전년,2025-09-21,05,제휴몰,47840300
V,당년,2025-09-21,07,아울렛,113983960
V,전년,2025-09-21,07,아울렛,256995470
V,당년,2025-09-21,11,직영몰,18259900
V,전년,2025-09-21,11,직영몰,12592650
W,전년,2025-09-21,02,면세점,72683000
W,전년,2025-09-21,03,직영점(가두),16826500
W,당년,2025-09-21,04,자사몰,25381157
W,전년,2025-09-21,04,자사몰,1983000
W,당년,2025-09-21,05,제휴몰,21479000
W,전년,2025-09-21,05,제휴몰,2736000
W,당년,2025-09-21,06,대리점,811000
W,전년,2025-09-21,11,직영몰,6093200
X,당년,2025-09-21,01,백화점,987400400
X,전년,2025-09-21,01,백화점,1207746700
X,당년,2025-09-21,02,면세점,173950700
X,전년,2025-09-21,02,면세점,68648400
X,당년,2025-09-21,03,직영점(가두),50707800
X,전년,2025-09-21,03,직영점(가두),8716100
X,당년,2025-09-21,04,자사몰,179928394
X,전년,2025-09-21,04,자사몰,179111230
X,당년,2025-09-21,05,제휴몰,373602300
X,전년,2025-09-21,05,제휴몰,341789500
X,당년,2025-09-21,06,대리점,1444456240
X,전년,2025-09-21,06,대리점,1936893300
X,당년,2025-09-21,07,아울렛,905311480
X,전년,2025-09-21,07,아울렛,1630041300
X,당년,2025-09-21,08,사입,-74260
X,전년,2025-09-21,08,사입,-92120
X,당년,2025-09-21,11,직영몰,72635000
X,전년,2025-09-21,11,직영몰,160171600
X,당년,2025-09-21,12,아울렛,60912700
X,전년,2025-09-21,12,아울렛,78739300
I,당년,2025-09-28,01,백화점,654197770
I,전년,2025-09-28,01,백화점,559725510
I,당년,2025-09-28,02,면세점,272814400
I,전년,2025-09-28,02,면세점,229835800
I,당년,2025-09-28,03,직영점(가두),21960800
I,전년,2025-09-28,03,직영점(가두),33496300
I,당년,2025-09-28,04,자사몰,75510967
I,전년,2025-09-28,04,자사몰,52871868
I,당년,2025-09-28,05,제휴몰,166314500
I,전년,2025-09-28,05,제휴몰,112635900
I,당년,2025-09-28,06,대리점,160481453
I,전년,2025-09-28,06,대리점,118345499
I,당년,2025-09-28,08,사입,287096288
I,전년,2025-09-28,08,사입,622176148
