브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
I,의류,Bottom,DP,진바지,1532405000,1.0958,14148000,1.7042,245785000,1.2857,0.3757,-0.0678,0.5954,245785000,654217000,191172000,431049000,256551000,430920000
I,의류,Bottom,LG,레깅스,69125000,0.2227,1896000,0.3569,12245000,0.3701,0.1938,0.0655,0.2714,12245000,63200000,33090000,257969000,70017041,257969000
I,의류,Bottom,PT,팬츠,2740879000,0.5953,41865000,1.1156,467391000,0.8467,0.3294,0.0731,0.3812,467391000,1418825000,552009000,2153281000,820841352,2153281000
I,의류,Bottom,SK,스커트,573392000,0.4350,267000,0.1120,46547000,0.4055,0.1877,0.0394,0.1619,46547000,248043000,114791000,774354000,125332424,774354000
I,의류,Bottom,SM,우븐반바지,109710000,,69000,,12075000,,0.1101,,,12075000,109710000,0,0,0,0
I,의류,Bottom,TP,트레이닝(하의),0,0.0000,0,,0,,,,,0,0,0,0,0,0
I,의류,Bottom,WP,우븐팬츠,3695398000,1.4957,47664000,1.6801,569500000,1.4254,0.2868,0.0606,0.3512,569500000,1985766000,399541000,1766745000,620426000,1766745000
I,의류,Inner,HD,후드티,2446992000,0.8543,23190000,0.9825,454812000,1.2006,0.3393,0.0005,0.4337,454812000,1340379000,378833089,1117962000,527973089,1217259000
I,의류,Inner,KP,니트풀오버,195391000,1.1336,0,0.0000,0,0.0000,,,0.3716,0,0,35028000,165688000,61577000,165688000
I,의류,Inner,MT,맨투맨,6266412000,0.7833,93987000,1.1703,1057219000,0.9010,0.2483,-0.0247,0.4078,1057219000,4257656000,1173384000,4297886000,1752870878,4297886000
I,의류,Inner,OP,원피스,115622000,0.2517,0,0.0000,0,0.0000,,,0.2226,0,0,24402000,120989000,26927000,120989000
I,의류,Inner,PQ,폴로 티셔츠,204700000,1.0122,89000,0.3755,102706000,1.7736,0.5017,-0.1040,0.6215,102706000,204700000,57907000,95590000,59408000,95590000
I,의류,Inner,TR,트레이닝(상의),212007000,1.2920,0,,0,,,,,0,0,0,0,0,0
I,의류,Inner,TS,반팔카라티셔츠,1328679000,1.5702,4701000,2.4083,351568000,2.4136,0.5460,0.2355,0.3335,351568000,643847000,145659000,469079000,156443000,469079000
I,의류,Inner,WS,우븐셔츠,335546000,0.5082,695000,1.5208,68249000,0.8828,0.3616,-0.0466,0.4157,68249000,188762000,77309843,189401000,78740843,189401000
