브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Bag,SG,슬링백,0,0,,0%,0,-1,,,
A,Headwear,CP,운동모,0,0,,0%,0,-1,,,
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,,,
A,Bag,BG,가방,0,0,,0%,0,-3,,,
A,Bag,BK,백팩,0,0,,0%,0,-3,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,,,
A,Bag,CR,크로스백,0,0,,0%,0,-1,,,
I,Shoes,WB,방한화,2764,232309970,169%,31%,1962,29601,15.1,27.7,-12.6
I,Bag,CR,크로스백,2413,189472833,94%,25%,813,60198,74.0,31.9,42.2
I,Headwear,BN,비니,1601,61511733,92%,8%,1335,23235,17.4,26.8,-9.4
I,Bag,BK,백팩,486,59493329,39%,8%,350,76776,219.4,108.2,111.2
I,Headwear,WM,방한모,741,47263940,77%,6%,635,15104,23.8,26.8,-3.1
I,Headwear,CP,운동모,1271,47251122,109%,6%,1565,146935,93.9,69.2,24.7
I,Shoes,SH,신발,510,46371135,100%,6%,608,47170,77.6,58.6,19.0
I,Shoes,RN,런닝화,359,34859736,175%,5%,391,28055,71.8,55.9,15.9
I,Shoes,SX,스니커즈,135,11239544,34%,1%,173,21752,125.7,70.3,55.4
I,Acc_etc,ET,기타,82,6858870,148%,1%,92,9869,107.3,190.7,-83.4
I,Acc_etc,GL,장갑,98,5168037,87%,1%,56,6702,119.7,123.5,-3.8
I,Acc_etc,MF,머플러(스카프),80,4996387,230%,1%,67,1517,22.6,28.9,-6.3
I,Acc_etc,SO,양말,227,2983321,53%,0%,223,66878,299.9,236.4,63.5
I,Bag,UB,보조가방,21,964130,79%,0%,16,7172,448.3,860.2,-412.0
I,Bag,SG,슬링백,12,884876,26%,0%,7,3996,570.9,121.6,449.3
I,Headwear,WR,와이어캡,13,638000,170%,0%,26,2964,114.0,108.7,5.4
I,Bag,BG,가방,20,614678,32%,0%,10,3130,313.0,116.8,196.2
I,Headwear,HT,햇,5,295000,48%,0%,19,15141,796.9,1830.2,-1033.3
I,Bag,HS,힙색,2,108000,24%,0%,1,1923,1923.0,299.9,1623.1
I,Acc_etc,GG,고글,0,0,,0%,0,7,,,
I,Acc_etc,ML,토시,0,0,,0%,0,884,,,
I,Acc_etc,PE,PET,0,0,0%,0%,0,16739,,271.1,
I,Headwear,SC,선캡,0,0,0%,0%,0,8095,,5318.0,
I,Shoes,SD,샌들,0,0,,0%,1,24217,24217.0,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,645,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,,,
I,Bag,BM,버킷백,0,0,,0%,0,1,,,
I,Shoes,CV,캔버스화,0,0,,0%,0,-8,,,
M,Headwear,CP,운동모,58404,2203744244,148%,43%,65362,1191988,18.2,19.2,-1.0
M,Shoes,SX,스니커즈,5930,824032583,95%,16%,5321,261595,49.2,46.9,2.3
M,Headwear,BN,비니,18453,775052414,209%,15%,14971,97885,6.5,20.2,-13.7
M,Shoes,SH,신발,2748,308229761,83%,6%,3657,296601,81.1,79.2,1.9
M,Bag,BQ,숄더백,2417,286873630,169%,6%,2151,98233,45.7,39.0,6.6
M,Shoes,RN,런닝화,1203,164236490,130%,3%,1032,111501,108.0,45.6,62.5
M,Bag,BM,버킷백,1128,142893952,698%,3%,540,19293,35.7,115.9,-80.1
M,Shoes,WB,방한화,1103,117852721,102%,2%,795,32209,40.5,34.9,5.6
M,Headwear,HT,햇,1242,80871368,77%,2%,1114,45089,40.5,64.9,-24.4
M,Headwear,WM,방한모,782,57837811,196%,1%,601,12319,20.5,70.3,-49.8
M,Bag,CR,크로스백,450,45256404,108%,1%,348,38329,110.1,104.6,5.5
M,Bag,HS,힙색,362,35148924,56%,1%,357,13634,38.2,29.3,8.9
M,Acc_etc,MF,머플러(스카프),409,33212222,70%,1%,304,6863,22.6,42.9,-20.3
M,Bag,OR,쇼퍼백,205,22901429,70%,0%,576,11656,20.2,45.5,-25.3
M,Acc_etc,SO,양말,860,13040412,150%,0%,772,69014,89.4,182.0,-92.6
M,Acc_etc,ET,기타,464,11181516,290%,0%,240,15794,65.8,127.2,-61.4
M,Bag,BK,백팩,49,6565230,93%,0%,63,16114,255.8,122.9,132.9
M,Acc_etc,PO,파우치,146,4200508,41%,0%,138,2787,20.2,38.4,-18.2
M,Shoes,LP,슬리퍼,39,2192168,150%,0%,33,47332,1434.3,1618.6,-184.3
M,Shoes,MU,뮬,41,1907977,13%,0%,47,47644,1013.7,267.2,746.5
M,Bag,BG,가방,12,1523430,80%,0%,10,13760,1376.0,689.4,686.6
M,Acc_etc,GL,장갑,37,1399790,,0%,19,1862,98.0,,
M,Acc_etc,HH,캐리어(하드케이스),2,508000,102%,0%,3,868,289.3,90.0,199.3
M,Headwear,MC,메시캡,3,161610,,0%,11,6314,574.0,,
M,Bag,BW,보스톤백,1,89500,,0%,1,1102,1102.0,7897.0,-6795.0
M,Headwear,SC,선캡,2,78000,,0%,4,2301,575.3,,
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,34,,21.3,
M,Acc_etc,TW,타올,0,0,,0%,0,1,,,
M,Shoes,SQ,아쿠아 슈즈,0,0,0%,0%,1,9226,9226.0,,
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,,,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,,,
M,Shoes,SD,샌들,0,-22500,-79%,0%,9,54481,6053.4,8241.6,-2188.1
M,Acc_etc,ML,토시,-10,-95000,,0%,0,897,,,
ST,Shoes,SH,신발,441,22733600,253%,67%,170,9910,58.3,365.6,-307.3
ST,Headwear,CP,운동모,50,2590050,72%,8%,52,4302,82.7,38.4,44.3
ST,Acc_etc,SO,양말,91,1680440,48%,5%,112,10349,92.4,40.4,52.1
ST,Bag,BK,백팩,12,1657600,67%,5%,9,1562,173.6,134.7,38.9
ST,Bag,RB,라켓백,9,1460700,81%,4%,8,962,120.3,107.9,12.4
ST,Bag,TG,토드백,11,1238800,61%,4%,13,1589,122.2,196.4,-74.2
ST,Headwear,SC,선캡,19,1132720,51%,3%,18,2897,160.9,91.6,69.4
ST,Bag,BW,보스톤백,2,331120,12%,1%,9,631,70.1,77.5,-7.4
ST,Acc_etc,AM,머플러,3,270870,160%,1%,2,407,203.5,274.0,-70.5
ST,Acc_etc,PR,보호대,10,201730,44%,1%,9,2151,239.0,117.3,121.7
ST,Headwear,BN,비니,3,168000,53%,0%,3,680,226.7,96.5,130.2
ST,Acc_etc,HB,헤드밴드,5,148550,74%,0%,4,859,214.8,111.5,103.3
ST,Headwear,HT,햇,5,141800,31%,0%,2,847,423.5,460.6,-37.1
ST,Acc_etc,AC,기타소품류,2,70000,34%,0%,2,1304,652.0,124.2,527.8
ST,Bag,CR,크로스백,1,59400,15%,0%,2,527,263.5,250.0,13.5
ST,Acc_etc,TW,타올,0,0,,0%,0,3008,,,
ST,Bag,SG,슬링백,0,0,0%,0%,0,131,,359.0,
ST,Acc_etc,LL,볼,0,0,,0%,0,34,,,
ST,Acc_etc,RK,라켓,0,0,0%,0%,0,513,,51.0,
ST,Shoes,LP,슬리퍼,0,0,,0%,1,593,593.0,,
