브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
I,아이템,Acc_etc,전체,103719600,92094130,1,11.2,-3.8
I,아이템-채널,Acc_etc,기타,832000,51500,0,93.8,-86.2
I,아이템-채널,Acc_etc,대리점,8267900,7779840,8,5.9,27.5
I,아이템-채널,Acc_etc,면세점,8598700,8598720,9,-0.0,-15.7
I,아이템-채널,Acc_etc,백화점,46352600,43498060,47,6.2,-7.8
I,아이템-채널,Acc_etc,사입,7480200,1917160,2,74.4,282.6
I,아이템-채널,Acc_etc,자사몰,8977200,7407430,8,17.5,45.1
I,아이템-채널,Acc_etc,제휴몰,14002900,14002900,15,0.0,15.7
I,아이템-채널,Acc_etc,직영몰,6487400,6117820,7,5.7,-39.7
I,아이템-채널,Acc_etc,직영점(가두),2720700,2720700,3,0.0,-33.4
I,아이템,Bag,전체,2575288000,1953642730,28,24.1,101.1
I,아이템-채널,Bag,기타,3776000,49500,0,98.7,-94.7
I,아이템-채널,Bag,대리점,99774000,91943480,5,7.8,-3.9
I,아이템-채널,Bag,면세점,421688000,420855660,22,0.2,5.3
I,아이템-채널,Bag,백화점,1161008000,1081565850,55,6.8,221.2
I,아이템-채널,Bag,사입,673049000,171270520,9,74.6,100.0
I,아이템-채널,Bag,자사몰,48308000,39240870,2,18.8,11.2
I,아이템-채널,Bag,제휴몰,96591000,84452100,4,12.6,107.9
I,아이템-채널,Bag,직영몰,57949000,51312330,3,11.5,16.7
I,아이템-채널,Bag,직영점(가두),13145000,12952420,1,1.5,-29.7
I,아이템,Headwear,전체,797624000,691852605,10,13.3,-7.1
I,아이템-채널,Headwear,기타,28383000,304560,0,98.9,-85.8
I,아이템-채널,Headwear,대리점,72226000,69338240,10,4.0,4.5
I,아이템-채널,Headwear,면세점,174132000,173987420,25,0.1,3.4
I,아이템-채널,Headwear,백화점,257320000,241485490,35,6.2,-20.5
I,아이템-채널,Headwear,사입,72210000,19904410,3,72.4,-59.6
I,아이템-채널,Headwear,자사몰,28075000,23893005,3,14.9,-7.7
I,아이템-채널,Headwear,제휴몰,88591000,88544490,13,0.1,39.1
I,아이템-채널,Headwear,직영몰,53287000,51072040,7,4.2,22.3
I,아이템-채널,Headwear,직영점(가두),23400000,23322950,3,0.3,-2.6
I,아이템,Shoes,전체,1391509000,1176836941,17,15.4,18.4
I,아이템-채널,Shoes,기타,86888000,220500,0,99.7,-78.6
I,아이템-채널,Shoes,대리점,141862000,135000980,11,4.8,12.5
I,아이템-채널,Shoes,면세점,45101000,45101000,4,0.0,-52.6
I,아이템-채널,Shoes,백화점,586366000,550039800,47,6.2,7.8
I,아이템-채널,Shoes,사입,89454000,22356850,2,75.0,-3.0
I,아이템-채널,Shoes,자사몰,80534000,68200771,6,15.3,45.3
I,아이템-채널,Shoes,제휴몰,241623000,241422020,21,0.1,92.8
I,아이템-채널,Shoes,직영몰,98226000,93040020,8,5.3,89.6
I,아이템-채널,Shoes,직영점(가두),21455000,21455000,2,0.0,-9.5
I,아이템,과시즌의류,전체,557711000,129920860,2,76.7,-33.8
I,아이템-채널,과시즌의류,기타,148221000,515390,0,99.7,12.1
I,아이템-채널,과시즌의류,대리점,767000,701730,1,8.5,998.2
I,아이템-채널,과시즌의류,면세점,413000,413000,0,0.0,100.0
I,아이템-채널,과시즌의류,백화점,28903000,15361510,12,46.9,-85.8
I,아이템-채널,과시즌의류,사입,360753000,96829950,75,73.2,30.1
I,아이템-채널,과시즌의류,자사몰,3609000,2936490,2,18.6,-918.9
I,아이템-채널,과시즌의류,제휴몰,9689000,8955600,7,7.6,-35.4
I,아이템-채널,과시즌의류,직영몰,4235000,3086190,2,27.1,100.0
I,아이템-채널,과시즌의류,직영점(가두),1121000,1121000,1,0.0,100.0
I,아이템,당시즌의류,전체,3086122000,2912236080,42,5.6,-6.6
I,아이템-채널,당시즌의류,기타,21837000,6858660,0,68.6,48.5
I,아이템-채널,당시즌의류,대리점,514836000,482610370,17,6.3,7.5
I,아이템-채널,당시즌의류,면세점,229428000,229428000,8,0.0,-45.2
I,아이템-채널,당시즌의류,백화점,1449841000,1349995780,46,6.9,-16.2
I,아이템-채널,당시즌의류,자사몰,164574000,146739380,5,10.8,24.4
I,아이템-채널,당시즌의류,제휴몰,489196000,489196000,17,0.0,57.4
I,아이템-채널,당시즌의류,직영몰,142538000,133676890,5,6.2,6.9
I,아이템-채널,당시즌의류,직영점(가두),73872000,73731000,3,0.2,-7.1
I,아이템,차시즌의류,전체,58751000,54936520,1,6.5,-48.1
I,아이템-채널,차시즌의류,대리점,7250000,6833880,12,5.7,-17.4
I,아이템-채널,차시즌의류,면세점,6995000,6995010,13,-0.0,-25.6
I,아이템-채널,차시즌의류,백화점,34979000,32222830,59,7.9,-54.9
I,아이템-채널,차시즌의류,자사몰,2189000,1936510,4,11.5,20.8
I,아이템-채널,차시즌의류,제휴몰,456000,456000,1,0.0,-69.0
I,아이템-채널,차시즌의류,직영몰,5063000,4673290,9,7.7,-47.0
I,아이템-채널,차시즌의류,직영점(가두),1819000,1819000,3,0.0,-62.9
M,아이템,Acc_etc,전체,283921700,258369772,1,9.0,6.6
M,아이템-채널,Acc_etc,RF,17538400,15271200,6,12.9,61.2
M,아이템-채널,Acc_etc,기타,1536000,339080,0,77.9,-80.3
M,아이템-채널,Acc_etc,대리점,50105400,43848230,17,12.5,-18.6
M,아이템-채널,Acc_etc,면세점,63185700,63185860,24,-0.0,-18.4
M,아이템-채널,Acc_etc,백화점,85807300,75694450,29,11.8,43.7
M,아이템-채널,Acc_etc,사입,-69000,-17250,0,75.0,100.0
M,아이템-채널,Acc_etc,자사몰,9438900,7426902,3,21.3,65.0
M,아이템-채널,Acc_etc,제휴몰,15891100,13633090,5,14.2,8.7
M,아이템-채널,Acc_etc,직영몰,5244500,4247640,2,19.0,-13.0
M,아이템-채널,Acc_etc,직영점(가두),35243400,34740570,13,1.4,37.3
M,아이템,Bag,전체,1776129000,1659009608,5,6.6,-34.0
M,아이템-채널,Bag,RF,278153000,248938920,15,10.5,40.3
M,아이템-채널,Bag,기타,19000000,379860,0,98.0,-92.0
M,아이템-채널,Bag,대리점,106494000,97251240,6,8.7,-57.6
M,아이템-채널,Bag,면세점,720409000,710438410,43,1.4,-38.2
M,아이템-채널,Bag,백화점,400569000,372586300,22,7.0,-47.8
M,아이템-채널,Bag,사입,0,0,0,0.0,-100.0
M,아이템-채널,Bag,자사몰,35169000,26816738,2,23.7,4.2
M,아이템-채널,Bag,제휴몰,36196000,32293790,2,10.8,-31.2
M,아이템-채널,Bag,직영몰,80894000,71847610,4,11.2,360.9
M,아이템-채널,Bag,직영점(가두),99245000,98456740,6,0.8,19.3
M,아이템,Headwear,전체,12864306000,12260658859,40,4.7,39.6
M,아이템-채널,Headwear,RF,1382178000,1085966320,9,21.4,108.8
