브랜드,유통채널,채널명,아이템_중분류,아이템소분류,아이템코드,판매금액(TAG가),실판매액
I,1,백화점,Acc_etc,PET,PE,881000,870990
I,1,백화점,Acc_etc,기타,ET,3390000,3237440
I,1,백화점,Acc_etc,머플러(스카프),MF,1711000,1543100
I,1,백화점,Acc_etc,양말,SO,6519000,6296150
I,1,백화점,Acc_etc,장갑,GL,9571000,9292090
I,1,백화점,Bag,가방,BG,1716000,1684660
I,1,백화점,Bag,백팩,BK,99125000,96430120
I,1,백화점,Bag,보조가방,UB,1035000,1025130
I,1,백화점,Bag,슬링백,SG,1896000,1865090
I,1,백화점,Bag,크로스백,CR,15623000,15118530
I,1,백화점,Bag,힙색,HS,0,0
I,1,백화점,Headwear,방한모,WM,68777000,67297840
I,1,백화점,Headwear,비니,BN,48179000,46923690
I,1,백화점,Headwear,와이어캡,WR,833000,792730
I,1,백화점,Headwear,운동모,CP,25961000,25344920
I,1,백화점,Headwear,햇,HT,389000,354200
I,1,백화점,Shoes,런닝화,RN,31287000,29985930
I,1,백화점,Shoes,방한화,WB,193258000,188866050
I,1,백화점,Shoes,스니커즈,SX,16991000,15972660
I,1,백화점,Shoes,신발,SH,36409000,35277510
I,1,백화점,과시즌의류,다운점퍼,DJ,133502000,66750940
I,1,백화점,과시즌의류,맨투맨,MT,1264000,632000
I,1,백화점,과시즌의류,맨투맨셋트,S2,278000,138980
I,1,백화점,과시즌의류,점퍼,JP,1095000,547510
I,1,백화점,과시즌의류,팬츠,PT,1975000,987500
I,1,백화점,당시즌의류,니트가디건,KC,1690000,1582520
I,1,백화점,당시즌의류,니트풀오버,KP,1807000,1779200
I,1,백화점,당시즌의류,다운베스트,DV,14953000,13811370
I,1,백화점,당시즌의류,다운점퍼,DJ,551765000,529811060
I,1,백화점,당시즌의류,레깅스,LG,4347000,4158060
I,1,백화점,당시즌의류,맨투맨,MT,75848000,72821600
I,1,백화점,당시즌의류,맨투맨셋트,S2,145418000,139895410
