브랜드,유통채널,채널명,아이템_중분류,아이템소분류,아이템코드,판매금액(TAG가),실판매액
C,99,기타,바디,핸드,5H,0,0
C,99,기타,베이스,쿠션,5C,0,0
I,1,백화점,Acc_etc,PET,PE,1870000,1849980
I,1,백화점,Acc_etc,기타,ET,8033000,7698320
I,1,백화점,Acc_etc,머플러(스카프),MF,3363000,3052310
I,1,백화점,Acc_etc,양말,SO,13290800,12858660
I,1,백화점,Acc_etc,장갑,GL,22999000,22501430
I,1,백화점,Bag,가방,BG,7095000,6991000
I,1,백화점,Bag,백팩,BK,319231000,310769010
I,1,백화점,Bag,보조가방,UB,2753000,2719730
I,1,백화점,Bag,슬링백,SG,4898000,4825490
I,1,백화점,Bag,크로스백,CR,48824000,46171410
I,1,백화점,Bag,힙색,HS,0,0
I,1,백화점,Headwear,방한모,WM,134873000,131782120
I,1,백화점,Headwear,비니,BN,110368000,107617490
I,1,백화점,Headwear,와이어캡,WR,1862000,1772530
I,1,백화점,Headwear,운동모,CP,76435000,74524760
I,1,백화점,Headwear,햇,HT,1137000,1070400
I,1,백화점,Shoes,런닝화,RN,70020000,66545040
I,1,백화점,Shoes,방한화,WB,328397000,319502810
I,1,백화점,Shoes,샌들,SD,0,0
I,1,백화점,Shoes,스니커즈,SX,44383000,42237330
I,1,백화점,Shoes,신발,SH,105950000,102547300
I,1,백화점,과시즌의류,다운점퍼,DJ,213733000,106866420
I,1,백화점,과시즌의류,맨투맨,MT,1264000,632000
I,1,백화점,과시즌의류,맨투맨셋트,S2,278000,138980
I,1,백화점,과시즌의류,베이비,BV,55000,55000
I,1,백화점,과시즌의류,우븐팬츠,WP,0,0
I,1,백화점,과시즌의류,원피스,OP,-149000,-149000
I,1,백화점,과시즌의류,점퍼,JP,1095000,547510
I,1,백화점,과시즌의류,팬츠,PT,1975000,987500
I,1,백화점,당시즌의류,니트가디건,KC,4901000,4658570
I,1,백화점,당시즌의류,니트풀오버,KP,5838000,5730700
I,1,백화점,당시즌의류,다운베스트,DV,33412000,30992470
I,1,백화점,당시즌의류,다운점퍼,DJ,1010570000,959614770
I,1,백화점,당시즌의류,레깅스,LG,7659000,7266930
I,1,백화점,당시즌의류,맨투맨,MT,145270000,139543900
I,1,백화점,당시즌의류,맨투맨셋트,S2,298603000,288105440
I,1,백화점,당시즌의류,반팔카라티셔츠,TS,1332000,1283000
I,1,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,21942000,21148470
I,1,백화점,당시즌의류,방풍자켓,WJ,2343000,2140500
I,1,백화점,당시즌의류,스커트,SK,2533000,2366020
I,1,백화점,당시즌의류,우븐셔츠,WS,-119000,-198500
I,1,백화점,당시즌의류,우븐팬츠,WP,69380000,66636690
I,1,백화점,당시즌의류,원피스,OP,-139000,-139000
I,1,백화점,당시즌의류,점퍼,JP,1136000,546630
I,1,백화점,당시즌의류,진바지,DP,19038000,18161970
I,1,백화점,당시즌의류,팬츠,PT,69357000,66669520
I,1,백화점,당시즌의류,폴라폴리스점퍼,FD,23539000,21961120
I,1,백화점,당시즌의류,폴로 티셔츠,PQ,316000,316000
I,1,백화점,당시즌의류,후드티,HD,39437000,37755220
I,1,백화점,차시즌의류,맨투맨,MT,12125000,11902290
I,1,백화점,차시즌의류,맨투맨셋트,S2,32480000,31701790
I,1,백화점,차시즌의류,반팔티 & 스웨트팬츠,S1,13786000,13516880
I,1,백화점,차시즌의류,스커트,SK,828000,814200
I,1,백화점,차시즌의류,점퍼,JP,19426000,18941560
I,1,백화점,차시즌의류,팬츠,PT,8031000,7907330
I,1,백화점,차시즌의류,후드티,HD,4450000,4343190
I,11,직영몰,Acc_etc,PET,PE,7247000,6958750
