브랜드,유통채널,채널명,아이템_중분류,아이템소분류,아이템코드,판매금액(TAG가),실판매액
I,1,백화점,Acc_etc,PET,PE,1772000,1751990
I,1,백화점,Acc_etc,기타,ET,8102000,7767320
I,1,백화점,Acc_etc,머플러(스카프),MF,3245000,2934310
I,1,백화점,Acc_etc,양말,SO,12661800,12242990
I,1,백화점,Acc_etc,장갑,GL,22961000,22463430
I,1,백화점,Bag,가방,BG,6699000,6596430
I,1,백화점,Bag,백팩,BK,287234000,279348220
I,1,백화점,Bag,보조가방,UB,2558000,2528630
I,1,백화점,Bag,슬링백,SG,4819000,4746490
I,1,백화점,Bag,크로스백,CR,46069000,43495820
I,1,백화점,Bag,힙색,HS,0,0
I,1,백화점,Headwear,방한모,WM,131172000,128221180
I,1,백화점,Headwear,비니,BN,107366000,104699990
I,1,백화점,Headwear,와이어캡,WR,1568000,1488530
I,1,백화점,Headwear,운동모,CP,70298000,68523870
I,1,백화점,Headwear,햇,HT,1031000,964400
I,1,백화점,Shoes,런닝화,RN,67545000,64117540
I,1,백화점,Shoes,방한화,WB,323163000,314439280
I,1,백화점,Shoes,샌들,SD,0,0
I,1,백화점,Shoes,스니커즈,SX,40061000,37986830
I,1,백화점,Shoes,신발,SH,96829000,93514510
I,1,백화점,과시즌의류,다운점퍼,DJ,211341000,105670420
I,1,백화점,과시즌의류,맨투맨,MT,1264000,632000
I,1,백화점,과시즌의류,맨투맨셋트,S2,278000,138980
I,1,백화점,과시즌의류,베이비,BV,55000,55000
I,1,백화점,과시즌의류,우븐팬츠,WP,0,0
I,1,백화점,과시즌의류,원피스,OP,-149000,-149000
I,1,백화점,과시즌의류,점퍼,JP,1095000,547510
I,1,백화점,과시즌의류,팬츠,PT,1975000,987500
I,1,백화점,당시즌의류,니트가디건,KC,4901000,4658570
I,1,백화점,당시즌의류,니트풀오버,KP,5143000,5035700
I,1,백화점,당시즌의류,다운베스트,DV,31883000,29592670
I,1,백화점,당시즌의류,다운점퍼,DJ,974679000,926156320
I,1,백화점,당시즌의류,레깅스,LG,7107000,6742530
I,1,백화점,당시즌의류,맨투맨,MT,139762000,134237740
I,1,백화점,당시즌의류,맨투맨셋트,S2,287296000,277119010
I,1,백화점,당시즌의류,반팔카라티셔츠,TS,1283000,1234000
I,1,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,20670000,19924170
I,1,백화점,당시즌의류,방풍자켓,WJ,2184000,1981500
I,1,백화점,당시즌의류,스커트,SK,2335000,2197310
I,1,백화점,당시즌의류,우븐셔츠,WS,-119000,-198500
I,1,백화점,당시즌의류,우븐팬츠,WP,67727000,65004800
I,1,백화점,당시즌의류,원피스,OP,-139000,-139000
I,1,백화점,당시즌의류,점퍼,JP,897000,307630
I,1,백화점,당시즌의류,진바지,DP,17513000,16701270
I,1,백화점,당시즌의류,팬츠,PT,66241000,63700140
I,1,백화점,당시즌의류,폴라폴리스점퍼,FD,22565000,21030920
I,1,백화점,당시즌의류,폴로 티셔츠,PQ,316000,316000
I,1,백화점,당시즌의류,후드티,HD,37311000,35720220
I,1,백화점,차시즌의류,맨투맨,MT,9358000,9135290
I,1,백화점,차시즌의류,맨투맨셋트,S2,26444000,25811690
I,1,백화점,차시즌의류,반팔티 & 스웨트팬츠,S1,11672000,11409010
I,1,백화점,차시즌의류,스커트,SK,621000,607200
I,1,백화점,차시즌의류,점퍼,JP,14947000,14505960
I,1,백화점,차시즌의류,팬츠,PT,6297000,6173330
I,1,백화점,차시즌의류,후드티,HD,3916000,3809190
I,11,직영몰,Acc_etc,PET,PE,6536000,6247750
I,11,직영몰,Acc_etc,기타,ET,537000,537000
I,11,직영몰,Acc_etc,머플러(스카프),MF,177000,177000
I,11,직영몰,Acc_etc,양말,SO,914500,912520
I,11,직영몰,Acc_etc,장갑,GL,2272000,2272000
I,11,직영몰,Bag,가방,BG,330000,330000
I,11,직영몰,Bag,백팩,BK,38265000,37895550
