브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
I,아이템,Acc_etc,전체,81639100,71660590,1,12.2,-3.6
I,아이템-채널,Acc_etc,기타,820200,45600,0,94.4,-86.4
I,아이템-채널,Acc_etc,대리점,5897800,5535820,8,6.1,44.1
I,아이템-채널,Acc_etc,면세점,7428600,7428620,10,-0.0,-10.2
I,아이템-채널,Acc_etc,백화점,35333200,33464870,47,5.3,-6.1
I,아이템-채널,Acc_etc,사입,7480200,1917160,3,74.4,282.6
I,아이템-채널,Acc_etc,자사몰,6107200,4982160,7,18.4,15.6
I,아이템-채널,Acc_etc,제휴몰,11682400,11682400,16,0.0,-0.2
I,아이템-채널,Acc_etc,직영몰,5145800,4860260,7,5.5,-26.6
I,아이템-채널,Acc_etc,직영점(가두),1743700,1743700,2,0.0,-44.0
I,아이템,Bag,전체,1201151000,1125014820,22,6.3,52.3
I,아이템-채널,Bag,기타,3677000,0,0,100.0,-100.0
I,아이템-채널,Bag,대리점,71617000,66374730,6,7.3,-0.2
I,아이템-채널,Bag,면세점,375972000,375358670,33,0.2,2.3
I,아이템-채널,Bag,백화점,602421000,555220340,49,7.8,167.1
I,아이템-채널,Bag,자사몰,31103000,25272090,2,18.7,20.6
I,아이템-채널,Bag,제휴몰,74892000,64649200,6,13.7,73.9
I,아이템-채널,Bag,직영몰,31191000,27966770,2,10.3,6.3
I,아이템-채널,Bag,직영점(가두),10278000,10173020,1,1.0,-15.7
I,아이템,Headwear,전체,614182000,517323356,10,15.8,-12.4
I,아이템-채널,Headwear,기타,28307000,235470,0,99.2,-87.9
I,아이템-채널,Headwear,대리점,52736000,50720370,10,3.8,-0.8
I,아이템-채널,Headwear,면세점,141148000,141013920,27,0.1,4.6
I,아이템-채널,Headwear,백화점,179758000,170143480,33,5.3,-24.5
I,아이템-채널,Headwear,사입,72210000,19904410,4,72.4,-59.9
I,아이템-채널,Headwear,자사몰,21871000,18592866,4,15.0,-17.7
