브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
I,아이템,Acc_etc,전체,33966000,32493240,1,4.3,41.0
I,아이템-채널,Acc_etc,기타,23700,11850,0,50.0,100.0
I,아이템-채널,Acc_etc,대리점,2887100,2729750,8,5.5,174.0
I,아이템-채널,Acc_etc,면세점,2389100,2389110,7,-0.0,47.1
I,아이템-채널,Acc_etc,백화점,17000100,16236160,50,4.5,36.1
I,아이템-채널,Acc_etc,사입,-46000,-11500,0,75.0,-102.3
I,아이템-채널,Acc_etc,자사몰,2384700,1960760,6,17.8,542.2
I,아이템-채널,Acc_etc,제휴몰,5463600,5463600,17,0.0,21.9
I,아이템-채널,Acc_etc,직영몰,2902000,2751810,8,5.2,19.8
I,아이템-채널,Acc_etc,직영점(가두),961700,961700,3,0.0,4.8
I,아이템,Bag,전체,610675000,589820700,23,3.4,174.1
I,아이템-채널,Bag,대리점,21055000,20040230,3,4.8,-15.9
I,아이템-채널,Bag,면세점,200250000,200074750,34,0.1,63.9
I,아이템-채널,Bag,백화점,367570000,350952030,60,4.5,569.0
I,아이템-채널,Bag,자사몰,5833000,4404950,1,24.5,-0.7
I,아이템-채널,Bag,제휴몰,8192000,7067500,1,13.7,59.5
I,아이템-채널,Bag,직영몰,5614000,5164040,1,8.0,-12.2
I,아이템-채널,Bag,직영점(가두),2161000,2117200,0,2.0,3.8
I,아이템,Headwear,전체,192065000,185949530,7,3.2,6.0
I,아이템-채널,Headwear,기타,95000,47500,0,50.0,100.0
I,아이템-채널,Headwear,대리점,16846000,16210300,9,3.8,-12.2
I,아이템-채널,Headwear,면세점,43106000,43054700,23,0.1,11.0
I,아이템-채널,Headwear,백화점,78353000,74619720,40,4.8,-1.9
I,아이템-채널,Headwear,사입,-112000,-30150,0,73.1,-100.7
I,아이템-채널,Headwear,자사몰,9709000,8397100,5,13.5,8.1
I,아이템-채널,Headwear,제휴몰,24533000,24533000,13,0.0,66.6
I,아이템-채널,Headwear,직영몰,14029000,13625790,7,2.9,45.7
I,아이템-채널,Headwear,직영점(가두),5506000,5491570,3,0.3,-2.0
I,아이템,Shoes,전체,480085000,459900881,18,4.2,49.3
I,아이템-채널,Shoes,기타,441000,220500,0,50.0,53.7
I,아이템-채널,Shoes,대리점,46048000,44159090,10,4.1,28.7
I,아이템-채널,Shoes,면세점,11677000,11677000,3,0.0,-40.2
I,아이템-채널,Shoes,백화점,236386000,225005400,49,4.8,38.6
