브랜드,2024-12-02,2024-12-09,2024-12-16,2024-12-23,2024-12-30
C,0,0,0,0,0
I,2027289013,3614082290,5310220630,6542824840,8178469040
M(면세),2290104080,5477391440,7637126040,10404615220,11868472920
M(면세제외),5767285802,9594639886,13713667798,17453095309,22138837303
ST,150263190,414376120,634859140,821017260,874358030
V,1316378930,2118826670,3230051240,3858079380,4512964680
W,81423314,175241429,240264929,283253174,400075784
X,23518934040,39964571380,56506141800,70456323470,83530319090
