브랜드코드,채널명,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익,영업비
I,공통,0,0,0,129985771,-129985771,0,0,0,0,0,0,0,0,0,0,0,-129985771,1004359231
I,백화점,3661115400,3410633690,3100575937,901751445,1075154030,433049593,0,0,78797147,64615498,0,0,118614279,0,53323433,748399950,326754080,0
I,면세점,1179572000,1179543980,1072312694,293405954,349980282,0,0,81976728,26985110,22344108,0,0,38603117,0,4643427,174552490,175427792,0
I,직영점(가두),173318800,172841070,157128253,43445169,113683084,0,0,0,3958750,3273288,0,0,6128019,0,0,13360057,100323027,0
I,대리점,863781800,841562050,765056296,217524077,275605323,0,0,0,19727111,15941978,0,0,29587784,0,0,65256873,210348450,0
I,제휴몰,787313700,767979800,698163447,198250276,499913171,0,0,0,65190495,14550774,0,173134415,27228372,0,0,280104056,219809115,0
I,자사몰,289587000,257119470,233744979,74368655,159376324,0,0,0,21837323,4870911,0,0,9119966,0,0,35828200,123548124,0
I,직영몰,316686800,311880240,283527484,75960648,207566836,0,42007493,0,7152327,5906494,3398038,0,11057604,56096439,10695170,136313565,71253271,0
I,사입,571171000,147240430,133854943,96873417,36981526,0,0,0,3460610,2790327,0,0,8031289,0,0,14282226,22699300,0
I,기타,287537900,10619300,9653912,37560705,-27906793,0,0,0,0,205736,0,0,579228,0,0,784964,-28691757,0
M,공통,0,0,0,333288648,-333288648,0,0,0,0,0,0,0,0,0,0,0,-333288648,3363558501
M,백화점,7455157200,7129019360,6480926828,1329450241,2916392974,728749124,0,0,96828125,169239811,0,0,297208590,0,128171254,1420196904,1496196070,0
M,면세점,11140464900,11102252000,10092956394,1828339013,4405395677,0,0,460812994,150146529,263566370,0,0,436361293,0,12034890,1322922076,3082473601,0
M,RF,2189948500,1773082710,1611893356,387935278,893678101,35744303,48432499,0,29956393,42097156,13104305,0,72373048,119389948,15548038,376645690,517032411,0
M,직영점(가두),1436160200,1400775840,1273432586,254206877,1019225709,0,124037271,0,18971299,33260704,25128588,0,57941187,406776576,45992648,712108273,307117436,0
M,대리점,4724851800,4531823160,4119839399,856755653,1776809537,0,0,0,62192303,107625050,0,0,184349460,0,0,354166813,1422642724,0
M,제휴몰,2400049400,2319228160,2108389258,402046968,1706342290,0,0,0,103964791,55062015,0,608618687,95931738,0,0,863577231,842765059,0
M,자사몰,739794300,664036755,603669784,132339804,471329980,0,0,0,29857084,15766003,26489354,0,27492467,0,0,99604908,371725072,0
M,직영몰,626487000,607799170,552544722,110035061,442509661,0,77078279,0,8246093,14436202,4344469,0,25140801,182388174,33869860,345503878,97005783,0
M,사입,2393452000,528789460,480717699,267444050,213273649,0,0,0,7499123,12555187,0,0,33650241,0,0,53704551,159569098,0
M,기타,1086772100,169117370,153743055,144471246,9271809,0,0,0,17896,4075039,0,0,10762010,0,0,14854945,-5583136,0
ST,공통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655256936
ST,백화점,152745100,107632670,97847869,37295094,29230257,50545454,0,0,2530690,2476067,7728,0,3522535,0,16057573,75140047,-45909790,0
ST,면세점,147300800,141529420,128663113,34053933,39284063,0,0,20678077,3258519,3256232,9976,0,4631872,0,2947917,34782593,4501470,0
ST,제휴몰,164828500,119078160,108252854,38357905,69894949,0,0,0,4695888,2739740,8669,29452837,3897101,0,0,40794235,29100714,0
ST,자사몰,320769800,250020360,227291238,73497245,153793993,0,0,0,9895737,5752482,7554683,0,8182476,0,0,31385378,122408615,0
ST,직영몰,105153900,79719590,72472353,26084603,46387750,0,26059619,0,1862461,1834006,473965,0,2609011,26503326,13270833,72613221,-26225471,0
ST,아울렛,270984600,114329660,103936062,64294960,39641102,0,13543858,0,2636817,2630521,8079,0,3741696,21668150,2197917,46427038,-6785936,0
ST,기타,79740300,4005080,3640981,17811449,-14170468,0,0,0,0,92205,305,0,131073,0,0,223583,-14394051,0
V,공통,0,0,0,336585427,-336585427,0,0,0,0,0,0,0,0,0,0,0,-336585427,907927443
