브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
I,아이템,Acc_etc,전체,54302800,51720000,1,4.8,18.0
I,아이템-채널,Acc_etc,기타,74300,37150,0,50.0,-87.5
I,아이템-채널,Acc_etc,대리점,4584400,4329890,8,5.6,86.8
I,아이템-채널,Acc_etc,면세점,5841300,5841320,11,-0.0,48.8
I,아이템-채널,Acc_etc,백화점,27419100,26034680,50,5.0,22.6
I,아이템-채널,Acc_etc,사입,-92000,-23000,0,75.0,-104.6
I,아이템-채널,Acc_etc,자사몰,3628400,2866420,6,21.0,36.5
I,아이템-채널,Acc_etc,제휴몰,7603600,7603600,15,0.0,-0.9
I,아이템-채널,Acc_etc,직영몰,4080300,3866540,7,5.2,-0.9
I,아이템-채널,Acc_etc,직영점(가두),1163400,1163400,2,0.0,-38.5
I,아이템,Bag,전체,885578000,847381000,22,4.3,65.0
I,아이템-채널,Bag,기타,0,0,0,0.0,-100.0
I,아이템-채널,Bag,대리점,40859000,38575990,5,5.6,-14.3
I,아이템-채널,Bag,면세점,320534000,320227290,38,0.1,3.8
I,아이템-채널,Bag,백화점,461966000,434561950,51,5.9,274.2
I,아이템-채널,Bag,자사몰,17296000,14167410,2,18.1,42.0
I,아이템-채널,Bag,제휴몰,24580000,20836600,2,15.2,79.9
I,아이템-채널,Bag,직영몰,15491000,14247360,2,8.0,0.2
I,아이템-채널,Bag,직영점(가두),4852000,4764400,1,1.8,-34.8
I,아이템,Headwear,전체,342699000,331262336,8,3.3,-3.9
I,아이템-채널,Headwear,기타,312000,131470,0,57.9,-93.1
I,아이템-채널,Headwear,대리점,33776000,32510770,10,3.7,-7.3
I,아이템-채널,Headwear,면세점,83717000,83582900,25,0.2,-5.4
I,아이템-채널,Headwear,백화점,132271000,125401600,38,5.2,-10.9
I,아이템-채널,Headwear,사입,-145000,-38400,0,73.5,-100.8
I,아이템-채널,Headwear,자사몰,15825000,13647296,4,13.8,0.1
I,아이템-채널,Headwear,제휴몰,40188000,40141500,12,0.1,33.7
I,아이템-채널,Headwear,직영몰,24375000,23529630,7,3.5,26.6
