브랜드코드,채널명,아이템_중분류,제품계층3(소분류),아이템코드,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익
M,사입,Shoes,샌들,SD,30972000,7742900,7039000,4145304,2893696,0,0,0,107404,184117,0,0,492730,0,0,784251,2109445
M,사입,Shoes,스니커즈,SX,209200000,52412220,47647474,34505021,13142453,0,0,0,722716,1247087,0,0,3335324,0,0,5305127,7837326
M,사입,Shoes,슬리퍼,LP,34353000,8588250,7807500,4623829,3183671,0,0,0,117144,204364,0,0,546525,0,0,868033,2315638
M,사입,Shoes,신발,SH,148309000,35088640,31898764,23266038,8632726,0,0,0,480484,832300,0,0,2232915,0,0,3545699,5087027
M,사입,과시즌의류,니트,KT,1990000,218900,199000,18093,180907,0,0,0,2960,5204,0,0,13930,0,0,22094,158813
M,사입,과시즌의류,니트가디건,KC,-199000,-49750,-45227,-41733,-3494,0,0,0,1598,-1185,0,0,-3166,0,0,-2753,-741
M,사입,과시즌의류,니트풀오버,KP,41929000,10482180,9529254,1745747,7783507,0,0,0,155986,249584,0,0,667047,0,0,1072617,6710890
M,사입,과시즌의류,다운베스트,DV,78621000,23586200,21442001,10649876,10792125,0,0,0,318979,559373,0,0,1500939,0,0,2379291,8412834
M,사입,과시즌의류,다운점퍼,DJ,691421000,179348780,163044347,45380852,117663495,0,0,0,2631616,4256039,0,0,11413106,0,0,18300761,99362734
M,사입,과시즌의류,맨투맨,MT,100121000,25227370,22933973,5766065,17167908,0,0,0,344786,598449,0,0,1605378,0,0,2548613,14619295
M,사입,과시즌의류,방풍자켓,WJ,0,0,0,-239260,239260,0,0,0,6804,0,0,0,0,0,0,6804,232456
M,사입,과시즌의류,원피스,OP,0,0,0,-8152,8152,0,0,0,664,0,0,0,0,0,0,664,7488
M,사입,과시즌의류,점퍼,JP,0,0,0,-28957,28957,0,0,0,667,0,0,0,0,0,0,667,28290
M,사입,과시즌의류,트레이닝(상의),TR,23153000,5788240,5262036,1251234,4010802,0,0,0,78745,137268,0,0,368342,0,0,584355,3426447
M,사입,과시즌의류,팬츠,PT,18911000,4721220,4292018,1002546,3289472,0,0,0,65166,111973,0,0,300441,0,0,477580,2811892
