브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
I,아이템,Acc_etc,전체,112364300,100305630,1,10.7,-11.9
I,아이템-채널,Acc_etc,기타,832000,51500,0,93.8,-87.5
I,아이템-채널,Acc_etc,대리점,8744500,8231930,8,5.9,22.0
I,아이템-채널,Acc_etc,면세점,8898300,8898320,9,-0.0,-24.8
I,아이템-채널,Acc_etc,백화점,49116200,46115960,46,6.1,-18.0
I,아이템-채널,Acc_etc,사입,7480200,1917160,2,74.4,282.6
I,아이템-채널,Acc_etc,자사몰,9898700,8100130,8,18.2,46.8
I,아이템-채널,Acc_etc,제휴몰,17331100,17331100,17,0.0,8.9
I,아이템-채널,Acc_etc,직영몰,7115100,6711330,7,5.7,-45.2
I,아이템-채널,Acc_etc,직영점(가두),2948200,2948200,3,0.0,-32.4
I,아이템,Bag,전체,2889069000,2189621100,29,24.2,106.8
I,아이템-채널,Bag,기타,3776000,49500,0,98.7,-95.1
I,아이템-채널,Bag,대리점,107070000,98881670,5,7.6,-7.6
I,아이템-채널,Bag,면세점,522048000,521040350,24,0.2,24.8
I,아이템-채널,Bag,백화점,1248821000,1161549790,53,7.0,204.8
I,아이템-채널,Bag,사입,761431000,193953700,9,74.5,100.0
I,아이템-채널,Bag,자사몰,57378000,46164510,2,19.5,17.8
I,아이템-채널,Bag,제휴몰,105241000,92705700,4,11.9,107.7
I,아이템-채널,Bag,직영몰,67998000,60162460,3,11.5,25.1
I,아이템-채널,Bag,직영점(가두),15306000,15113420,1,1.3,-26.1
I,아이템,Headwear,전체,845041000,737501645,10,12.7,-11.0
I,아이템-채널,Headwear,기타,28383000,304560,0,98.9,-86.4
I,아이템-채널,Headwear,대리점,76016000,73034520,10,3.9,-3.6
I,아이템-채널,Headwear,면세점,185547000,185402400,25,0.1,1.5
I,아이템-채널,Headwear,백화점,275466000,258529540,35,6.1,-23.7
I,아이템-채널,Headwear,사입,72210000,19904410,3,72.4,-59.6
I,아이템-채널,Headwear,자사몰,30156000,25629615,3,15.0,-8.5
I,아이템-채널,Headwear,제휴몰,94797000,94750490,13,0.0,18.9
I,아이템-채널,Headwear,직영몰,57295000,54852160,7,4.3,17.4
I,아이템-채널,Headwear,직영점(가두),25171000,25093950,3,0.3,-3.4
