사업부,브랜드,고객,RF상권,시즌,당시즌/과시즌,정상/이관/이월,상품,PH01-1,PH01-2,PH01-3,MTyp,유통채널,판매수량,1. 매출액 Actual,제품/상품 매출액 Actual,판매금액(TAG가),실판매액,실판매액(V-),수수료차감매출 Actual,출고매출액(V-) Actual,관리매출액,마일리지 매출액,기타 매출액,2. 매출원가 Actual,표준 매출원가,표준 외주가공비,표준 부재료비,제품/상품기타COGS,기타 매출원가 Actual,기타 매출원가,기타 매출원가_재고자산폐기,3. 매출총이익 Actual,지급수수료-판매수수료,BUn,통화
10,X,101068.0,N,24F,C,C,X24FDMTL31044,L0100,L0100L0120,L0100L0120L0120016,ZFRT,1.0,1,40500,40500,99000,59400,54000,44550,40500,0,0,0,15960,15960,15960,0,0,0,0,0,24540,13500,EA,KRW
10,I,104036.0,N,26N,A,A,I26N7FBKB046N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,1.0,4,423328,423328,796000,716400,651272,465661,423328,0,0,0,168216,168216,168000,216,0,0,0,0,255112,227944,EA,KRW
10,X,104912.0,N,24N,A,A,X24NDXSO7084N,A0100,A0100A0120,A0100A0120A0120044,ZFRT,6.0,1,7091,7091,12000,12000,10909,7800,7091,0,0,0,1900,1900,1900,0,0,0,0,0,5191,3818,EA,KRW
10,M,100160.0,N,25F,A,A,M25F3ABNBM256,A0100,A0100A0140,A0100A0140A0140001,ZFRT,1.0,16,404108,404108,688000,635020,577291,444519,404108,0,0,0,93392,93392,92640,752,0,0,0,0,310716,173183,EA,KRW
10,M,104986.0,N,26S,A,A,M26S3FTRB1361,L0100,L0100L0120,L0100L0120L0120017,ZFRT,6.0,2,164272,164272,278000,278000,252726,180699,164272,0,0,0,40562,40562,40300,262,0,0,0,0,123710,88454,EA,KRW
10,V,105310.0,N,24F,C,C,V24FVUHD30144,L0100,L0100L0120,L0100L0120L0120004,ZFRT,5.0,1,127273,127273,280000,140000,127273,140000,127273,0,0,0,56920,56920,56920,0,0,0,0,0,70353,0,EA,KRW
10,X,104348.0,N,25S,C,C,X25SDKTP3A051,L0100,L0100L0130,L0100L0130L0130016,ZFRT,1.0,2,57741,57741,158000,94800,86181,63515,57741,0,0,0,35040,35040,35040,0,0,0,0,0,22701,28440,EA,KRW
10,ST,104976.0,N,25S,C,C,ST25STMSP20553,L0100,L0100L0130,L0100L0130L0130014,ZFRT,11.0,1,113727,113727,139000,125100,113727,125100,113727,0,0,0,31360,31360,31360,0,0,0,0,0,82367,0,EA,KRW
10,X,101118.0,N,23N,A,A,X23NDXBW3163N,A0100,A0100A0130,A0100A0130A0130005,ZFRT,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EA,KRW
10,X,101254.0,N,25S,C,C,X25SDMWJ3A051,L0100,L0100L0110,L0100L0110L0110027,ZFRT,7.0,2,282546,282546,518000,310800,282546,310801,282546,0,0,0,115920,115920,115920,0,0,0,0,0,166626,0,EA,KRW
10,I,103191.0,N,26S,A,A,I26S7AMTB0161,L0100,L0100L0120,L0100L0120L0120009,ZFRT,1.0,2,70800,70800,118000,118000,107272,77880,70800,0,0,0,29752,29752,29500,252,0,0,0,0,41048,36472,EA,KRW
10,I,100955.0,N,26S,A,A,I26S7AS2B0161,L0100,L0100L0160,L0100L0160L0160015,ZFRT,6.0,1,82136,82136,149000,139000,126363,90350,82136,0,0,0,33766,33766,33640,126,0,0,0,0,48370,44227,EA,KRW
10,M,100236.0,N,26S,A,A,M26S3FTSM0963,L0100,L0100L0120,L0100L0120L0120018,ZFRT,1.0,2,99108,99108,158000,158000,143636,109019,99108,0,0,0,22742,22742,22480,262,0,0,0,0,76366,44528,EA,KRW
10,X,105723.0,N,24F,C,C,X24FDMTP27044,L0100,L0100L0130,L0100L0130L0130016,ZFRT,7.0,1,49545,49545,109000,54500,49545,54500,49545,0,0,0,21000,21000,21000,0,0,0,0,0,28545,0,EA,KRW
10,X,100985.0,N,26N,A,A,X26NDXBK0126N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,1.0,4,374981,374981,676000,644500,585908,412479,374981,0,0,0,150000,150000,150000,0,0,0,0,0,224981,210927,EA,KRW
10,M,105402.0,N,25S,C,C,M25S3APQV0151,L0100,L0100L0120,L0100L0120L0120027,ZFRT,8.0,104,2812680,2812680,12376000,3093950,2812680,3093948,2812680,2812680,0,0,2091128,2091128,2077920,13208,2091128,0,0,0,721552,0,EA,KRW
10,I,104418.0,N,25F,A,A,I25F7AMFC0156,A0100,A0100A0120,A0100A0120A0120034,ZFRT,6.0,1,37227,37227,65000,65000,59091,40950,37227,0,0,0,10654,10654,10600,54,0,0,0,0,26573,21864,EA,KRW
10,X,101166.0,N,26S,A,A,X26SDMRL31061,L0100,L0100L0120,L0100L0120L0120011,ZFRT,1.0,2,63613,63613,118000,106200,96546,69974,63613,0,0,0,26620,26620,26620,0,0,0,0,0,36993,32933,EA,KRW
10,M,100266.0,N,26S,A,A,M26S3FTRV1261,L0100,L0100L0120,L0100L0120L0120017,ZFRT,4.0,8,947782,947782,1112000,1042560,947782,1042560,947782,0,0,0,166808,166808,165760,1048,0,0,0,0,780974,0,EA,KRW
10,I,106392.0,N,26N,A,A,I26N7ABKB016N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,11.0,3,513000,513000,627000,564300,513000,564300,513000,0,0,0,114162,114162,114000,162,0,0,0,0,398838,0,EA,KRW
10,I,104008.0,N,26S,A,A,I26S7FS2A0161,L0100,L0100L0160,L0100L0160L0160015,ZFRT,6.0,-1,-82627,-82627,-149000,-149000,-135454,-90890,-82627,0,0,0,-33856,-33856,-33730,-126,0,0,0,0,-48771,-52827,EA,KRW
10,M,104539.0,N,X,,,MXMU0000338,E0100,E0100E0110,E0100E0110E0110007,ZERS,6.0,1,13491,0,0,0,0,0,0,0,0,13491,13021,0,0,0,0,13021,13021,0,470,0,EA,KRW
