브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,1570000,1380920,1255365,800654,394326,406328
I,1.0,백화점,Acc_etc,머플러(스카프),MF,697000,602800,547998,345238,136779,208459
I,1.0,백화점,Acc_etc,양말,SO,4802000,4588950,4171663,2658700,1121618,1537082
I,1.0,백화점,Acc_etc,장갑,GL,1269000,1200090,1090998,691448,320352,371096
I,1.0,백화점,Bag,가방,BG,1023000,960920,873553,554088,257582,296506
I,1.0,백화점,Bag,백팩,BK,356789000,294712160,267920389,170600977,81098596,89502381
I,1.0,백화점,Bag,보조가방,UB,4704000,4172770,3793433,2411801,1167287,1244514
I,1.0,백화점,Bag,슬링백,SG,632000,584600,531454,335462,138632,196830
I,1.0,백화점,Bag,크로스백,CR,923699000,906321290,823928471,520785203,234802567,285982636
I,1.0,백화점,Bag,힙색,HS,295000,265500,241361,153988,57962,96026
I,1.0,백화점,Headwear,방한모,WM,5271000,4789190,4353806,2774564,1027273,1747291
I,1.0,백화점,Headwear,비니,BN,12052000,11257630,10234162,6506491,2262373,4244118
I,1.0,백화점,Headwear,와이어캡,WR,784000,701190,637435,405848,150785,255063
I,1.0,백화점,Headwear,운동모,CP,71400000,67183590,61075839,38967895,15066203,23901692
I,1.0,백화점,Headwear,햇,HT,1279000,1123340,1021230,652957,246175,406782
I,1.0,백화점,Shoes,런닝화,RN,112195000,90985670,82714264,52828124,27885176,24942948
I,1.0,백화점,Shoes,방한화,WB,7837000,6803280,6184787,3895573,1942682,1952891
I,1.0,백화점,Shoes,스니커즈,SX,20812000,18583450,16894034,10757772,4563798,6193974
I,1.0,백화점,Shoes,신발,SH,77186000,72463890,65876329,42053499,17672003,24381496
I,1.0,백화점,과시즌의류,맨투맨,MT,40002000,20000900,18182604,11782799,10291851,1490948
I,1.0,백화점,과시즌의류,맨투맨셋트,S2,116620000,58309830,53008903,35785862,31412569,4373293
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,1056000,999780,908908,574982,248424,326558
I,1.0,백화점,과시즌의류,베이비,BV,3127000,3040980,2764521,1753864,942658,811206
I,1.0,백화점,과시즌의류,점퍼,JP,8592000,4295990,3905426,2755776,2425271,330505
I,1.0,백화점,당시즌의류,다운베스트,DV,4358000,3945800,3587091,2267142,1198786,1068356
I,1.0,백화점,당시즌의류,다운점퍼,DJ,111593000,99262620,90238717,57558859,28400799,29158060
I,1.0,백화점,당시즌의류,레깅스,LG,158000,142200,129272,82878,44992,37886
I,1.0,백화점,당시즌의류,맨투맨,MT,18421000,16172340,14702088,9327658,5078176,4249482
I,1.0,백화점,당시즌의류,맨투맨셋트,S2,29978000,27070100,24609180,15680561,8204300,7476261
I,1.0,백화점,당시즌의류,반팔카라티셔츠,TS,234000,187200,170184,107214,62839,44375
I,1.0,백화점,당시즌의류,우븐팬츠,WP,9228000,7967210,7242894,4577557,2407195,2170362
I,1.0,백화점,당시즌의류,점퍼,JP,2405000,2144050,1949137,1234216,615440,618776
I,1.0,백화점,당시즌의류,진바지,DP,5016000,4434430,4031300,2562492,1227780,1334712
I,1.0,백화점,당시즌의류,패딩,PD,3021000,2918690,2653350,1681613,861862,819751
I,1.0,백화점,당시즌의류,팬츠,PT,7211000,6435970,5850845,3735154,1881630,1853524
I,1.0,백화점,당시즌의류,폴라폴리스점퍼,FD,1390000,1223200,1112000,708140,387790,320350
I,1.0,백화점,당시즌의류,후드티,HD,3615000,3278200,2980181,1882097,1006872,875225
I,1.0,백화점,차시즌의류,맨투맨,MT,69163000,64213130,58375570,37136703,17909169,19227534
I,1.0,백화점,차시즌의류,맨투맨셋트,S2,255046000,239215480,217468381,138746886,64544980,74201906
I,1.0,백화점,차시즌의류,반바지,SP,1480000,1265720,1150658,725758,311228,414530
I,1.0,백화점,차시즌의류,반팔카라티셔츠,TS,34166000,31186830,28351633,18052915,8175209,9877706
I,1.0,백화점,차시즌의류,반팔티 & 스웨트팬츠,S1,2298000,2140750,1946145,1236911,563821,673090
I,1.0,백화점,차시즌의류,방풍자켓,WJ,26862000,24940000,22672757,14442454,6488644,7953810
I,1.0,백화점,차시즌의류,스커트,SK,1925000,1805490,1641356,1040788,465068,575720
I,1.0,백화점,차시즌의류,우븐반바지,SM,1935000,1752830,1593481,1013707,455004,558703
I,1.0,백화점,차시즌의류,우븐셔츠,WS,3816000,3576070,3250979,2062367,799019,1263348
I,1.0,백화점,차시즌의류,우븐팬츠,WP,30442000,28171970,25610848,16324689,7448702,8875987
I,1.0,백화점,차시즌의류,원피스,OP,1188000,1111410,1010372,644975,308030,336945
I,1.0,백화점,차시즌의류,점퍼,JP,162845000,151244380,137494877,87564442,38976364,48588078
I,1.0,백화점,차시즌의류,진바지,DP,43181000,39943390,36312117,23100550,11107639,11992911
I,1.0,백화점,차시즌의류,진자켓,DK,199000,179100,162818,102575,35206,67369
I,1.0,백화점,차시즌의류,팬츠,PT,26117000,24091730,21901567,13962569,6272758,7689811
I,1.0,백화점,차시즌의류,폴로 티셔츠,PQ,4361000,4074150,3703770,2385647,993150,1392497
I,1.0,백화점,차시즌의류,후드티,HD,37021000,34232940,31120850,19855572,9120577,10734995
I,2.0,면세점,Acc_etc,머플러(스카프),MF,531000,531000,482733,289638,125751,163887
I,2.0,면세점,Acc_etc,양말,SO,840700,849650,772402,463437,207774,255663
I,2.0,면세점,Bag,백팩,BK,26239000,25275400,22977640,13786587,5803196,7983391
I,2.0,면세점,Bag,보조가방,UB,245000,245000,222725,133635,60796,72839
I,2.0,면세점,Bag,슬링백,SG,395000,395000,359090,215455,86646,128809
I,2.0,면세점,Bag,크로스백,CR,117243000,117242880,106584418,63950355,27799805,36150550
I,2.0,면세점,Headwear,방한모,WM,1480000,1459300,1326635,795978,275664,520314
I,2.0,면세점,Headwear,비니,BN,9194000,9194000,8358163,5014895,1901318,3113577
I,2.0,면세점,Headwear,와이어캡,WR,931000,931000,846355,507813,171461,336352
I,2.0,면세점,Headwear,운동모,CP,90576000,90575980,82341230,49404661,18728490,30676171
I,2.0,면세점,Headwear,햇,HT,1438000,1438000,1307282,784364,265697,518667
I,2.0,면세점,Shoes,런닝화,RN,18167000,18167000,16515407,9909224,4362756,5546468
I,2.0,면세점,Shoes,방한화,WB,247000,247000,224544,134726,59255,75471
I,2.0,면세점,Shoes,스니커즈,SX,12176000,12176000,11069038,6641415,2582610,4058805
I,2.0,면세점,Shoes,신발,SH,11146000,11146000,10132692,6079609,2516111,3563498
I,2.0,면세점,과시즌의류,반팔카라티셔츠,TS,-33000,-23100,-21000,-12600,-7355,-5245
I,2.0,면세점,과시즌의류,베이비,BV,236000,236000,214548,128728,71144,57584
I,2.0,면세점,과시즌의류,우븐반바지,SM,-49000,-24500,-22273,-13364,-10621,-2743
I,2.0,면세점,당시즌의류,다운베스트,DV,417000,417000,379089,227454,115349,112105
I,2.0,면세점,당시즌의류,다운점퍼,DJ,39741000,39741000,36128191,21676912,10174790,11502122
I,2.0,면세점,당시즌의류,맨투맨,MT,3815000,3815000,3468180,2080893,1060980,1019913
