브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
I,의류,Bottom,DP,진바지,1532405000,1.0958,6780000,1.4816,336920000,1.3965,0.5150,-0.0449,0.5954,336920000,654217000,241254000,430920000,256551000,430920000
I,의류,Bottom,LG,레깅스,69125000,0.2227,474000,0.1871,23937000,0.3864,0.3788,0.1386,0.2714,23937000,63200000,61943000,257969000,70017041,257969000
I,의류,Bottom,PT,팬츠,2740879000,0.5953,13816000,0.8681,681773000,0.8850,0.4412,0.0835,0.3812,681773000,1545156000,770393352,2153281000,820841352,2153281000
I,의류,Bottom,SK,스커트,573392000,0.4350,178000,0.3828,47882000,0.3862,0.1930,0.0329,0.1619,47882000,248043000,123997424,774354000,125332424,774354000
I,의류,Bottom,SM,우븐반바지,109710000,,0,,12144000,,0.1107,,,12144000,109710000,0,0,0,0
I,의류,Bottom,TP,트레이닝(하의),0,0.0000,0,,0,,,,,0,0,0,0,0,0
I,의류,Bottom,WP,우븐팬츠,3695398000,1.4957,16116000,1.6184,827396000,1.4193,0.4034,0.0734,0.3512,827396000,2051057000,582976000,1766745000,620426000,1766745000
I,의류,Inner,HD,후드티,2446992000,0.8543,8018000,1.0180,561795000,1.1359,0.4191,0.0128,0.4337,561795000,1340379000,494565089,1217259000,527973089,1217259000
I,의류,Inner,KP,니트풀오버,195391000,1.1336,0,0.0000,0,0.0000,,,0.3716,0,0,52820000,165688000,61577000,165688000
I,의류,Inner,MT,맨투맨,6266412000,0.7833,34785000,1.1326,1560952000,0.9526,0.3666,-0.0146,0.4078,1560952000,4257656000,1638630878,4297886000,1752870878,4297886000
I,의류,Inner,OP,원피스,115622000,0.2517,0,0.0000,0,0.0000,,,0.2226,0,0,24708000,120989000,26927000,120989000
I,의류,Inner,PQ,폴로 티셔츠,204700000,1.0122,178000,1.1266,103507000,1.7563,0.5057,-0.1109,0.6215,103507000,204700000,58934000,95590000,59408000,95590000
I,의류,Inner,TR,트레이닝(상의),212007000,1.2920,0,,0,,,,,0,0,0,0,0,0
I,의류,Inner,TS,반팔카라티셔츠,1328679000,1.5702,1961000,7.4280,363779000,2.3970,0.5650,0.2415,0.3335,363779000,643847000,151766000,469079000,156443000,469079000
I,의류,Inner,WS,우븐셔츠,335546000,0.5082,0,,68527000,0.8787,0.3630,-0.0487,0.4157,68527000,188762000,77985843,189401000,78740843,189401000
I,의류,Outer,DJ,다운점퍼,31519737000,1.1826,241934000,0.9636,6126493000,0.9205,0.3399,-0.1085,0.5247,6126493000,18021919000,6655362261,14839680000,7786664261,14839680000
I,의류,Outer,DK,진자켓,765808000,0.7216,0,,156228000,,0.3822,,,156228000,408776000,0,0,0,0
I,의류,Outer,DV,다운베스트,1922179000,0.8615,7326000,0.7027,347555000,0.9300,0.3815,-0.0354,0.4637,347555000,911095000,373704000,896402000,415677000,896402000
