브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고금액,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Acc_etc,AC,기타소품류,0,0,,0%,0,0,-26604,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,-231198,,,
A,Bag,BK,백팩,0,0,,0%,0,-3,-750900,,,
A,Bag,BG,가방,0,0,,0%,0,-3,-774638,,,
A,Bag,CR,크로스백,0,0,,0%,0,-1,2530500,,,
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,-1800000,,,
A,Bag,BW,보스톤백,0,0,,0%,0,0,71400,,,
A,Bag,SG,슬링백,0,0,,0%,0,-1,-198000,,,
A,Headwear,CP,운동모,0,0,,0%,0,-1,77700,,,
A,Headwear,HT,햇,0,0,,0%,0,0,17700,,,
I,Bag,BK,백팩,1876,304708821,143%,42%,1532,64834,11283748863,42.3,75.0,-32.7
I,Bag,CR,크로스백,1776,150004153,95%,21%,2050,59788,4434360800,29.2,38.1,-8.9
I,Shoes,WB,방한화,628,54944098,162%,8%,1477,18927,1781856000,12.8,15.7,-2.9
I,Headwear,CP,운동모,1358,50032533,102%,7%,1487,167701,6962627226,112.8,108.3,4.4
I,Headwear,BN,비니,1082,42277628,119%,6%,1501,16561,675890400,11.0,15.4,-4.4
I,Shoes,SH,신발,423,34687534,61%,5%,432,52564,5142799525,121.7,100.8,20.9
I,Headwear,WM,방한모,447,28104973,144%,4%,575,11201,734341559,19.5,14.4,5.1
I,Shoes,RN,런닝화,270,24951976,106%,3%,260,45221,4254377442,173.9,69.8,104.2
I,Shoes,SX,스니커즈,116,10662598,29%,1%,131,22741,2112379873,173.6,114.5,59.1
I,Bag,UB,보조가방,116,5286911,233%,1%,116,5884,289121600,50.7,215.1,-164.4
I,Acc_etc,SO,양말,495,5019407,168%,1%,434,87241,1025989773,201.0,220.7,-19.7
I,Acc_etc,ET,기타,44,3656220,437%,1%,59,9410,324407100,159.5,180.8,-21.3
I,Acc_etc,GL,장갑,54,2977690,107%,0%,75,6056,345409000,80.7,57.8,22.9
I,Bag,BG,가방,50,1568723,74%,0%,53,2706,89416000,51.1,38.3,12.8
I,Acc_etc,MF,머플러(스카프),21,1234790,48%,0%,61,1060,64160000,17.4,23.5,-6.1
I,Headwear,WR,와이어캡,24,1164070,102%,0%,24,2797,138329000,116.5,167.1,-50.5
I,Bag,SG,슬링백,12,933437,54%,0%,30,3385,262018200,112.8,136.9,-24.1
I,Bag,HS,힙색,4,221273,,0%,4,1815,107089800,453.8,1372.0,-918.3
I,Headwear,HT,햇,1,53000,14%,0%,6,16282,974277692,2713.7,4044.9,-1331.2
I,Shoes,SD,샌들,0,0,,0%,0,24172,1681863000,,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,643,31398600,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,-121600,,,
I,Bag,BM,버킷백,0,0,,0%,0,1,90600,,,
I,Acc_etc,PE,PET,0,0,0%,0%,0,-5,-186600,,334.6,
I,Acc_etc,GG,고글,0,0,,0%,0,7,623000,,,
I,Headwear,SC,선캡,0,0,,0%,0,9568,385961800,,,
I,Acc_etc,ML,토시,0,0,,0%,0,884,20331000,,,
I,Shoes,CV,캔버스화,0,0,,0%,0,-6,-403200,,,
M,Headwear,CP,운동모,34212,1290767994,93%,30%,50625,1338331,53463940076,26.4,17.6,8.8
M,Shoes,SX,스니커즈,7311,892616400,84%,21%,6681,252583,37930330441,37.8,48.0,-10.2
M,Headwear,BN,비니,14061,601409835,361%,14%,20753,76808,3424041878,3.7,10.6,-6.9
M,Shoes,SH,신발,6793,593797998,223%,14%,4931,273169,35272360019,55.4,121.1,-65.7
M,Bag,OR,쇼퍼백,1699,290782846,293%,7%,855,16478,2570126717,19.3,29.3,-10.0
M,Bag,BQ,숄더백,1491,152657218,51%,4%,2077,114952,13772427620,55.3,55.5,-0.1
M,Shoes,WB,방한화,902,98702879,134%,2%,1153,24836,2805043642,21.5,17.1,4.5
M,Shoes,RN,런닝화,646,87321372,26%,2%,683,112082,16070085672,164.1,35.6,128.5
M,Headwear,WM,방한모,829,61743911,414%,1%,930,6597,499511642,7.1,37.8,-30.7
M,Headwear,HT,햇,774,46552837,82%,1%,1083,41195,2470635169,38.0,84.5,-46.5
M,Bag,BM,버킷백,245,31390351,168%,1%,435,24772,3197329800,56.9,8.9,48.0
M,Acc_etc,MF,머플러(스카프),334,27722772,158%,1%,316,4547,449384200,14.4,32.5,-18.1
M,Bag,CR,크로스백,274,27532964,74%,1%,370,47297,5281280967,127.8,180.7,-52.9
M,Acc_etc,SO,양말,761,11410891,110%,0%,867,61338,1013494530,70.7,112.6,-41.8
M,Acc_etc,PO,파우치,296,9911111,151%,0%,291,13648,485903000,46.9,54.1,-7.2
M,Acc_etc,ET,기타,257,6011519,101%,0%,380,9666,218684700,25.4,41.1,-15.7
M,Bag,BK,백팩,37,4964637,61%,0%,48,15811,1927284475,329.4,355.2,-25.8
M,Bag,HS,힙색,58,4340977,12%,0%,144,12776,1253371126,88.7,90.3,-1.5
M,Bag,BG,가방,37,3839900,107%,0%,17,13675,2139483900,804.4,208.8,595.6
M,Shoes,LP,슬리퍼,38,2130910,146%,0%,27,46542,3203604500,1723.8,3022.4,-1298.7
M,Acc_etc,GL,장갑,49,1797857,,0%,42,1623,63296800,38.6,,
M,Headwear,MC,메시캡,26,1279710,,0%,9,6154,350489756,683.8,,
M,Acc_etc,HH,캐리어(하드케이스),5,1255000,126%,0%,4,847,211933000,211.8,85.5,126.3
M,Shoes,MU,뮬,19,743169,8%,0%,22,47434,3308319766,2156.1,416.6,1739.5
M,Shoes,SD,샌들,4,368500,162%,0%,3,53591,5580502862,17863.7,28224.5,-10360.8
M,Headwear,SC,선캡,2,65560,,0%,1,2279,95448400,2279.0,,
M,Shoes,SQ,아쿠아 슈즈,0,35545,,0%,0,9203,699180546,,,
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,435000,,,
M,Acc_etc,ML,토시,0,0,,0%,0,895,18474400,,,
M,Acc_etc,GA,선글라스,0,0,,0%,0,1961,297189000,,,
M,Acc_etc,JC,귀걸이,0,0,,0%,0,0,-200,,,
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,7,663694,,40.2,
M,Acc_etc,TW,타올,0,0,,0%,0,1,99000,,,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,1178200,,,
M,Bag,BW,보스톤백,0,0,,0%,0,727,130545537,,,
ST,Shoes,SH,신발,123,7288320,151%,49%,99,8697,1950283000,87.8,361.9,-274.1
ST,Headwear,CP,운동모,36,1735380,113%,12%,43,5341,278887000,124.2,57.5,66.7
ST,Headwear,SC,선캡,20,1093720,63%,7%,18,2710,198010000,150.6,91.4,59.1
ST,Bag,BW,보스톤백,6,889600,93%,6%,5,527,128473000,105.4,144.0,-38.6
ST,Acc_etc,SO,양말,47,855980,100%,6%,87,9832,189488300,113.0,70.8,42.2
ST,Bag,TG,토드백,8,830450,117%,6%,9,1501,231609000,166.8,209.6,-42.8
ST,Bag,BK,백팩,4,650500,47%,4%,6,1510,255100000,251.7,233.6,18.1
ST,Headwear,BN,비니,7,421590,265%,3%,6,646,42034000,107.7,36.4,71.2
ST,Bag,RB,라켓백,2,340100,16%,2%,6,956,178894000,159.3,135.4,23.9
ST,Acc_etc,AM,머플러,3,274100,80%,2%,3,391,36739000,130.3,60.0,70.3
ST,Acc_etc,HB,헤드밴드,3,98200,149%,1%,4,808,23532000,202.0,86.1,115.9
ST,Acc_etc,PR,보호대,4,93900,37%,1%,5,2059,54753000,411.8,279.5,132.3
ST,Shoes,LP,슬리퍼,1,89100,,1%,1,587,58113000,587.0,,
ST,Acc_etc,RK,라켓,1,71400,,0%,0,511,36609000,,41.0,
ST,Headwear,HT,햇,1,35400,-36%,0%,1,840,62530000,840.0,2265.0,-1425.0
ST,Bag,CR,크로스백,0,0,,0%,2,514,52146000,257.0,728.0,-471.0
ST,Acc_etc,TW,타올,0,0,,0%,0,1598,110262000,,,
ST,Acc_etc,LL,볼,0,0,,0%,0,34,510000,,,
ST,Acc_etc,AC,기타소품류,0,0,0%,0%,0,1290,36146700,,85.5,
ST,Bag,SG,슬링백,0,0,0%,0%,0,130,12870000,,169.5,
V,Shoes,WB,방한화,163,33175750,207%,55%,284,3660,859468000,12.9,7.4,5.5
V,Bag,TG,토드백,30,9382530,358%,15%,29,3313,1184310000,114.2,56.6,57.6
V,Headwear,BN,비니,26,2767600,117%,5%,22,886,168450000,40.3,38.7,1.6
V,Shoes,SH,신발,36,2751860,89%,5%,24,925,261435000,38.5,361.2,-322.6
V,Headwear,HT,햇,16,2374880,308%,4%,21,1454,265810000,69.2,218.1,-148.9
V,Bag,BK,백팩,7,2149000,67%,4%,10,411,153030000,41.1,17.0,24.1
V,Acc_etc,AG,장갑,13,1604000,869%,3%,22,307,51330000,14.0,76.0,-62.0
V,Acc_etc,ML,토시,12,1477440,,2%,12,176,25920000,14.7,13.8,0.9
V,Acc_etc,MF,머플러(스카프),5,1171000,,2%,7,712,209460000,101.7,,
V,Acc_etc,DC,다운 스카프,6,1092000,753%,2%,4,376,95400000,94.0,107.0,-13.0
V,Headwear,CP,운동모,12,1025540,149%,2%,17,603,78138000,35.5,141.6,-106.2
V,Bag,TA,벨트백,4,464000,160%,1%,2,25,7180000,12.5,55.0,-42.5
V,Headwear,WM,방한모,3,420000,-240%,1%,2,186,40100000,93.0,48.7,44.3
V,Bag,BG,가방,1,315000,,1%,3,457,131350000,152.3,,
V,Bag,CR,크로스백,2,211000,19%,0%,4,1159,305360000,289.8,97.2,192.6
V,Acc_etc,SO,양말,16,159930,74%,0%,15,1008,32568000,67.2,234.3,-167.1
V,Shoes,MU,뮬,1,107400,-32%,0%,1,112,20048000,112.0,,
V,Bag,HS,힙색,2,86000,,0%,3,102,23340000,34.0,,
V,Acc_etc,PO,파우치,0,0,,0%,0,10,3500000,,,
V,Bag,EB,기타가방,0,0,0%,0%,0,16,4000000,,46.0,
V,Shoes,LP,슬리퍼,0,0,,0%,0,405,70875000,,,
V,Headwear,SC,선캡,0,0,0%,0%,0,193,31170000,,,
V,Acc_etc,GL,장갑,0,0,,0%,0,21,2268000,,,
W,Shoes,SH,신발,43,2072200,17%,45%,53,2640,495141904,49.8,159.0,-109.2
W,Headwear,CP,운동모,75,1223100,65%,27%,76,4026,243553173,53.0,363.7,-310.7
W,Bag,BK,백팩,7,373000,59%,8%,6,1364,203166936,227.3,403.2,-175.9
