브랜드,구분,종료일,유통채널,채널명,실판매출
ST,당년,2025-11-16,01,백화점,1922670
ST,전년,2025-11-16,01,백화점,22814580
ST,당년,2025-11-16,02,면세점,28123820
ST,전년,2025-11-16,02,면세점,48639800
ST,당년,2025-11-16,03,직영점(가두),24598100
ST,당년,2025-11-16,04,자사몰,20084360
ST,전년,2025-11-16,04,자사몰,42433500
ST,당년,2025-11-16,05,제휴몰,64267700
ST,전년,2025-11-16,05,제휴몰,23210640
ST,당년,2025-11-16,07,아울렛,23474110
ST,전년,2025-11-16,07,아울렛,17338000
ST,당년,2025-11-16,11,직영몰,22720160
ST,전년,2025-11-16,11,직영몰,34482200
V,당년,2025-11-16,01,백화점,713205900
V,전년,2025-11-16,01,백화점,337845150
V,당년,2025-11-16,03,직영점(가두),19140000
V,당년,2025-11-16,04,자사몰,83229950
V,전년,2025-11-16,04,자사몰,21552400
V,당년,2025-11-16,05,제휴몰,244430800
V,전년,2025-11-16,05,제휴몰,134439800
V,당년,2025-11-16,07,아울렛,216581660
V,전년,2025-11-16,07,아울렛,216560400
V,당년,2025-11-16,11,직영몰,69985100
V,전년,2025-11-16,11,직영몰,34550100
W,전년,2025-11-16,02,면세점,19825600
W,전년,2025-11-16,03,직영점(가두),17739400
W,당년,2025-11-16,04,자사몰,22573856
W,전년,2025-11-16,04,자사몰,13206385
W,당년,2025-11-16,05,제휴몰,30095000
W,전년,2025-11-16,05,제휴몰,7563500
W,당년,2025-11-16,06,대리점,-179000
W,전년,2025-11-16,11,직영몰,10731600
X,당년,2025-11-16,01,백화점,3266689700
X,전년,2025-11-16,01,백화점,3531610500
X,당년,2025-11-16,02,면세점,614608100
X,전년,2025-11-16,02,면세점,508690100
X,당년,2025-11-16,03,직영점(가두),112195400
X,전년,2025-11-16,03,직영점(가두),29339700
X,당년,2025-11-16,04,자사몰,522510850
X,전년,2025-11-16,04,자사몰,534267000
X,당년,2025-11-16,05,제휴몰,1167645000
X,전년,2025-11-16,05,제휴몰,1531278100
X,당년,2025-11-16,06,대리점,4045058100
X,전년,2025-11-16,06,대리점,4277754120
X,당년,2025-11-16,07,아울렛,2685932400
X,전년,2025-11-16,07,아울렛,2823240820
X,당년,2025-11-16,11,직영몰,266211700
X,전년,2025-11-16,11,직영몰,329735200
X,당년,2025-11-16,12,아울렛,99387100
X,전년,2025-11-16,12,아울렛,95962200
I,당년,2025-11-23,01,백화점,736928320
I,전년,2025-11-23,01,백화점,880423440
I,당년,2025-11-23,02,면세점,165188200
I,전년,2025-11-23,02,면세점,459493200
I,당년,2025-11-23,03,직영점(가두),40731700
I,전년,2025-11-23,03,직영점(가두),48876282
I,당년,2025-11-23,04,자사몰,95238630
I,전년,2025-11-23,04,자사몰,144390155
I,당년,2025-11-23,05,제휴몰,539463200
I,전년,2025-11-23,05,제휴몰,311881400
I,당년,2025-11-23,06,대리점,359939474
I,전년,2025-11-23,06,대리점,283193276
I,당년,2025-11-23,08,사입,339735689
I,전년,2025-11-23,08,사입,277764430
I,당년,2025-11-23,11,직영몰,73577970
I,전년,2025-11-23,11,직영몰,70136320
M,당년,2025-11-23,01,백화점,1940723200
M,전년,2025-11-23,01,백화점,1877556050
M,당년,2025-11-23,02,면세점,2528477100
M,전년,2025-11-23,02,면세점,2136325600
M,당년,2025-11-23,03,직영점(가두),575498400
M,전년,2025-11-23,03,직영점(가두),348084718
M,당년,2025-11-23,04,자사몰,321596187
M,전년,2025-11-23,04,자사몰,229184396
M,당년,2025-11-23,05,제휴몰,744353900
M,전년,2025-11-23,05,제휴몰,637460400
M,당년,2025-11-23,06,대리점,1227074326
M,전년,2025-11-23,06,대리점,1440911044
M,당년,2025-11-23,08,사입,943436890
M,전년,2025-11-23,08,사입,630820770
M,당년,2025-11-23,11,직영몰,187300500
M,전년,2025-11-23,11,직영몰,174915800
M,당년,2025-11-23,RF,RF,293506350
M,전년,2025-11-23,RF,RF,368327460
ST,당년,2025-11-23,01,백화점,906670
ST,전년,2025-11-23,01,백화점,27655240
ST,당년,2025-11-23,02,면세점,19020910
ST,전년,2025-11-23,02,면세점,35989200
ST,당년,2025-11-23,03,직영점(가두),15867800
ST,당년,2025-11-23,04,자사몰,40954720
ST,전년,2025-11-23,04,자사몰,118264000
ST,당년,2025-11-23,05,제휴몰,86998600
ST,전년,2025-11-23,05,제휴몰,28755900
ST,당년,2025-11-23,07,아울렛,32828208
ST,전년,2025-11-23,07,아울렛,25746430
ST,당년,2025-11-23,11,직영몰,18443735
ST,전년,2025-11-23,11,직영몰,24549850
V,당년,2025-11-23,01,백화점,786600300
V,전년,2025-11-23,01,백화점,318789600
V,당년,2025-11-23,03,직영점(가두),23698100
V,당년,2025-11-23,04,자사몰,115112890
V,전년,2025-11-23,04,자사몰,50453300
V,당년,2025-11-23,05,제휴몰,349399200
V,전년,2025-11-23,05,제휴몰,130313900
V,당년,2025-11-23,07,아울렛,262078970
V,전년,2025-11-23,07,아울렛,254467670
V,당년,2025-11-23,11,직영몰,80688400
V,전년,2025-11-23,11,직영몰,57869900
W,전년,2025-11-23,02,면세점,15364300
W,전년,2025-11-23,03,직영점(가두),29052000
W,당년,2025-11-23,04,자사몰,21805200
W,전년,2025-11-23,04,자사몰,18809669
W,당년,2025-11-23,05,제휴몰,28311000
W,전년,2025-11-23,05,제휴몰,10644300
W,당년,2025-11-23,06,대리점,116002
W,전년,2025-11-23,11,직영몰,7959500
X,당년,2025-11-23,01,백화점,4320687000
X,전년,2025-11-23,01,백화점,5103700680
X,당년,2025-11-23,02,면세점,806877100
X,전년,2025-11-23,02,면세점,572025100
X,당년,2025-11-23,03,직영점(가두),147014000
X,전년,2025-11-23,03,직영점(가두),42967500
X,당년,2025-11-23,04,자사몰,757627336
X,전년,2025-11-23,04,자사몰,965256930
X,당년,2025-11-23,05,제휴몰,2285720400
X,전년,2025-11-23,05,제휴몰,2116670700
X,당년,2025-11-23,06,대리점,4980483600
X,전년,2025-11-23,06,대리점,6480461500
X,당년,2025-11-23,07,아울렛,3290044700
X,전년,2025-11-23,07,아울렛,4249414840
X,전년,2025-11-23,08,사입,-23030
X,당년,2025-11-23,11,직영몰,389033900
X,전년,2025-11-23,11,직영몰,471941600
X,당년,2025-11-23,12,아울렛,112535900
X,전년,2025-11-23,12,아울렛,145300400
I,당년,2025-11-30,01,백화점,761308560
I,전년,2025-11-30,01,백화점,1119309400
I,당년,2025-11-30,02,면세점,211434600
I,전년,2025-11-30,02,면세점,220358400
I,당년,2025-11-30,03,직영점(가두),34219500
I,전년,2025-11-30,03,직영점(가두),46793742
I,당년,2025-11-30,04,자사몰,85943936
I,전년,2025-11-30,04,자사몰,175594002
I,당년,2025-11-30,05,제휴몰,203633700
I,전년,2025-11-30,05,제휴몰,397418725
I,당년,2025-11-30,06,대리점,380005349
I,전년,2025-11-30,06,대리점,286007488
I,당년,2025-11-30,08,사입,300744060
I,전년,2025-11-30,08,사입,152563520
I,당년,2025-11-30,11,직영몰,57912650
I,전년,2025-11-30,11,직영몰,100837710
M,당년,2025-11-30,01,백화점,1808733900
M,전년,2025-11-30,01,백화점,1691628140
M,당년,2025-11-30,02,면세점,1892146200
M,전년,2025-11-30,02,면세점,2362900600
M,당년,2025-11-30,03,직영점(가두),690743400
M,전년,2025-11-30,03,직영점(가두),317085168
M,당년,2025-11-30,04,자사몰,254544721
M,전년,2025-11-30,04,자사몰,259729700
M,당년,2025-11-30,05,제휴몰,1080085900
M,전년,2025-11-30,05,제휴몰,794990010
M,당년,2025-11-30,06,대리점,1371068091
M,전년,2025-11-30,06,대리점,1227719892
M,당년,2025-11-30,08,사입,765938888
M,전년,2025-11-30,08,사입,1303175460
M,당년,2025-11-30,11,직영몰,140040700
M,전년,2025-11-30,11,직영몰,147266300
M,당년,2025-11-30,RF,RF,614355630
M,전년,2025-11-30,RF,RF,365464460
ST,당년,2025-11-30,01,백화점,1502370
ST,전년,2025-11-30,01,백화점,21330550
ST,당년,2025-11-30,02,면세점,20152910
ST,전년,2025-11-30,02,면세점,17733700
ST,당년,2025-11-30,03,직영점(가두),14050680
ST,당년,2025-11-30,04,자사몰,55735630
ST,전년,2025-11-30,04,자사몰,60848400
ST,당년,2025-11-30,05,제휴몰,81063500
ST,전년,2025-11-30,05,제휴몰,55648560
ST,당년,2025-11-30,07,아울렛,17667116
ST,전년,2025-11-30,07,아울렛,14614290
ST,당년,2025-11-30,11,직영몰,25052319
ST,전년,2025-11-30,11,직영몰,29155000
V,당년,2025-11-30,01,백화점,744892620
V,전년,2025-11-30,01,백화점,599220700
V,당년,2025-11-30,03,직영점(가두),20203000
V,당년,2025-11-30,04,자사몰,121637430
V,전년,2025-11-30,04,자사몰,91876740
V,당년,2025-11-30,05,제휴몰,345748638
V,전년,2025-11-30,05,제휴몰,173361000
V,당년,2025-11-30,07,아울렛,271696220
V,전년,2025-11-30,07,아울렛,326438540
V,당년,2025-11-30,11,직영몰,111797200
V,전년,2025-11-30,11,직영몰,58726450
W,당년,2025-11-30,01,백화점,156000
W,전년,2025-11-30,02,면세점,67116860
W,전년,2025-11-30,03,직영점(가두),23894800
W,당년,2025-11-30,04,자사몰,24454485
W,전년,2025-11-30,04,자사몰,24194141
W,당년,2025-11-30,05,제휴몰,17819000
W,전년,2025-11-30,05,제휴몰,30051300
W,전년,2025-11-30,11,직영몰,4016100
X,당년,2025-11-30,01,백화점,3217779700
X,전년,2025-11-30,01,백화점,5195833870
X,당년,2025-11-30,02,면세점,951382500
X,전년,2025-11-30,02,면세점,783692000
X,당년,2025-11-30,03,직영점(가두),136647900
X,전년,2025-11-30,03,직영점(가두),62323700
X,당년,2025-11-30,04,자사몰,584688804
X,전년,2025-11-30,04,자사몰,1084414920
X,당년,2025-11-30,05,제휴몰,1767408130
X,전년,2025-11-30,05,제휴몰,3245389570
X,당년,2025-11-30,06,대리점,4696153740
X,전년,2025-11-30,06,대리점,6480517900
X,당년,2025-11-30,07,아울렛,2866067100
X,전년,2025-11-30,07,아울렛,4516454600
X,전년,2025-11-30,08,사입,-167790
X,당년,2025-11-30,11,직영몰,347800600
X,전년,2025-11-30,11,직영몰,520140000
X,당년,2025-11-30,12,아울렛,82163600
X,전년,2025-11-30,12,아울렛,111829700
I,당년,2025-12-07,01,백화점,1260327360
I,전년,2025-12-07,01,백화점,825436130
I,당년,2025-12-07,02,면세점,324666600
I,전년,2025-12-07,02,면세점,267843300
I,당년,2025-12-07,03,직영점(가두),40430469
I,전년,2025-12-07,03,직영점(가두),33742600
I,당년,2025-12-07,04,자사몰,102077324
I,전년,2025-12-07,04,자사몰,55574050
I,당년,2025-12-07,05,제휴몰,288570200
I,전년,2025-12-07,05,제휴몰,103517300
I,당년,2025-12-07,06,대리점,269216320
I,전년,2025-12-07,06,대리점,222599799
I,당년,2025-12-07,08,사입,355683110
I,전년,2025-12-07,08,사입,565149175
I,당년,2025-12-07,11,직영몰,107694500
I,전년,2025-12-07,11,직영몰,61610900
M,당년,2025-12-07,01,백화점,1849795700
