브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
I,의류,Bottom,DP,진바지,1532405000,1.0958,11112000,1.7474,330140000,1.3949,0.5046,-0.0446,0.5954,330140000,654217000,236678000,430920000,256551000,430920000
I,의류,Bottom,LG,레깅스,69125000,0.2227,1738000,0.6886,23463000,0.3949,0.3713,0.1410,0.2714,23463000,63200000,59410000,257969000,70017041,257969000
I,의류,Bottom,PT,팬츠,2740879000,0.5953,28709000,1.3765,667957000,0.8853,0.4323,0.0819,0.3812,667957000,1545156000,754477352,2153281000,820841352,2153281000
I,의류,Bottom,SK,스커트,573392000,0.4350,0,0.0000,47704000,0.3862,0.1923,0.0328,0.1619,47704000,248043000,123532424,774354000,125332424,774354000
I,의류,Bottom,SM,우븐반바지,109710000,,0,,12144000,,0.1107,,,12144000,109710000,0,0,0,0
I,의류,Bottom,TP,트레이닝(하의),0,0.0000,0,,0,,,,,0,0,0,0,0,0
I,의류,Bottom,WP,우븐팬츠,3695398000,1.4957,23801000,1.2429,811280000,1.4158,0.3955,0.0712,0.3512,811280000,2051057000,573018000,1766745000,620426000,1766745000
I,의류,Inner,HD,후드티,2446992000,0.8543,12886000,0.9727,553777000,1.1378,0.4132,0.0133,0.4337,553777000,1340379000,486689089,1217259000,527973089,1217259000
I,의류,Inner,KP,니트풀오버,195391000,1.1336,0,0.0000,0,0.0000,,,0.3716,0,0,51013000,165688000,61577000,165688000
I,의류,Inner,MT,맨투맨,6266412000,0.7833,62641000,1.2271,1526167000,0.9492,0.3585,-0.0157,0.4078,1526167000,4257656000,1607919122,4297886000,1752870878,4297886000
I,의류,Inner,OP,원피스,115622000,0.2517,0,0.0000,0,0.0000,,,0.2226,0,0,24797000,120989000,26927000,120989000
I,의류,Inner,PQ,폴로 티셔츠,204700000,1.0122,89000,1.1266,103329000,1.7580,0.5048,-0.1101,0.6215,103329000,204700000,58776000,95590000,59408000,95590000
I,의류,Inner,TR,트레이닝(상의),212007000,1.2920,0,,0,,,,,0,0,0,0,0,0
I,의류,Inner,TS,반팔카라티셔츠,1328679000,1.5702,1733000,2.4864,361818000,2.3882,0.5620,0.2390,0.3335,361818000,643847000,151502000,469079000,156443000,469079000
I,의류,Inner,WS,우븐셔츠,335546000,0.5082,0,,68527000,0.8787,0.3630,-0.0487,0.4157,68527000,188762000,77985843,189401000,78740843,189401000
I,의류,Outer,DJ,다운점퍼,31519737000,1.1826,325757000,0.9833,5884559000,0.9188,0.3265,-0.1050,0.5247,5884559000,18021919000,6404279261,14839680000,7786664261,14839680000
I,의류,Outer,DK,진자켓,765808000,0.7216,139000,,156228000,,0.3822,,,156228000,408776000,0,0,0,0
I,의류,Outer,DV,다운베스트,1922179000,0.8615,10534000,0.8626,340229000,0.9366,0.3734,-0.0318,0.4637,340229000,911095000,363279000,896402000,415677000,896402000
I,의류,Outer,FD,폴라폴리스점퍼,250339000,0.1683,5143000,0.7892,55878000,0.2350,0.2627,-0.0492,0.3528,55878000,212670000,237731075,762119000,268875075,762119000
I,의류,Outer,JP,점퍼,2067551000,0.3929,4631000,3.2294,595991000,0.6079,0.3662,0.0888,0.2833,595991000,1627662000,980441000,3534413000,1001137675,3534413000
I,의류,Outer,KC,니트가디건,719220000,0.5828,-298000,-0.1176,51286000,0.3181,0.1399,-0.0900,0.2376,51286000,366660000,161205000,701248000,166603000,701248000
I,의류,Outer,PD,패딩,381600000,,1749000,,136581000,,0.3560,,,136581000,383667000,0,0,0,0
