브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Headwear,CP,운동모,0,0,,0%,0,-1,,,
A,Bag,SG,슬링백,0,0,,0%,0,-1,,,
A,Bag,CR,크로스백,0,0,,0%,0,-1,,,
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,,,
A,Bag,BG,가방,0,0,,0%,0,-3,,,
A,Bag,BK,백팩,0,0,,0%,0,-3,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,,,
I,Shoes,WB,방한화,2534,217077658,174%,30%,2977,22778,7.7,7.9,-0.2
I,Bag,BK,백팩,1199,168678861,164%,24%,892,73464,82.4,97.0,-14.6
I,Bag,CR,크로스백,1092,92090814,48%,13%,3473,51770,14.9,28.9,-14.0
I,Headwear,BN,비니,1539,61551141,85%,9%,1621,21293,13.1,17.0,-3.9
I,Headwear,CP,운동모,1206,44257812,111%,6%,1291,145254,112.5,111.6,1.0
I,Headwear,WM,방한모,597,37395469,69%,5%,736,13435,18.3,12.6,5.7
I,Shoes,SH,신발,389,33936770,96%,5%,435,47934,110.2,95.3,14.9
I,Shoes,RN,런닝화,234,22503994,69%,3%,290,27204,93.8,81.3,12.5
I,Shoes,SX,스니커즈,115,9432110,36%,1%,119,23412,196.7,94.5,102.3
I,Acc_etc,MF,머플러(스카프),89,5386000,200%,1%,94,1220,13.0,31.9,-18.9
I,Acc_etc,SO,양말,354,4793056,117%,1%,283,84309,297.9,175.7,122.2
I,Acc_etc,GL,장갑,81,4661571,70%,1%,115,6343,55.2,37.2,18.0
I,Acc_etc,ET,기타,44,3592096,128%,1%,81,9628,118.9,120.4,-1.5
I,Bag,SG,슬링백,48,3573207,172%,1%,20,3929,196.5,118.8,77.6
I,Bag,UB,보조가방,46,2097730,196%,0%,35,7055,201.6,341.3,-139.7
I,Headwear,WR,와이어캡,19,921850,138%,0%,16,2874,179.6,228.3,-48.7
I,Bag,BG,가방,28,892111,57%,0%,27,3043,112.7,80.6,32.1
I,Headwear,HT,햇,10,537280,145%,0%,10,15108,1510.8,4102.8,-2592.0
I,Bag,HS,힙색,2,112300,95%,0%,4,1911,477.8,672.8,-195.0
I,Shoes,SD,샌들,1,69000,,0%,0,24205,,,
I,Acc_etc,GG,고글,0,0,,0%,0,7,,,
I,Acc_etc,PE,PET,0,0,0%,0%,0,1,,290.9,
I,Bag,BM,버킷백,0,0,,0%,0,1,,,
I,Acc_etc,ML,토시,0,0,,0%,0,884,,,
I,Headwear,SC,선캡,0,0,0%,0%,0,8092,,10656.0,
I,Shoes,CV,캔버스화,0,0,,0%,0,-6,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,645,,,
M,Headwear,CP,운동모,54251,2041554677,144%,41%,53430,1306161,24.4,22.1,2.3
M,Headwear,BN,비니,21498,913276119,218%,18%,23387,103234,4.4,10.5,-6.0
M,Shoes,SX,스니커즈,5100,733241403,146%,15%,5099,257580,50.5,53.3,-2.8
M,Shoes,SH,신발,3766,390405610,165%,8%,3098,302895,97.8,112.1,-14.3
M,Bag,BQ,숄더백,1682,185139860,159%,4%,2126,101674,47.8,53.6,-5.8
M,Bag,OR,쇼퍼백,1109,159538128,139%,3%,1291,10308,8.0,32.0,-24.0
M,Shoes,WB,방한화,1405,148611517,107%,3%,1232,28205,22.9,15.7,7.2
M,Shoes,RN,런닝화,692,92064278,76%,2%,842,110508,131.2,49.9,81.4
M,Headwear,HT,햇,1296,80497012,91%,2%,1283,41408,32.3,63.2,-31.0
M,Headwear,WM,방한모,999,74368880,260%,1%,916,9431,10.3,34.8,-24.5
M,Bag,BM,버킷백,382,49859007,8%,1%,656,19795,30.2,10.7,19.5
M,Bag,CR,크로스백,417,41798658,98%,1%,371,43262,116.6,147.2,-30.6
M,Acc_etc,MF,머플러(스카프),352,27320788,100%,1%,452,5461,12.1,30.2,-18.1
