브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Bag,BK,백팩,0,0,,0%,0,-3,,,
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,,,
A,Bag,CR,크로스백,0,0,,0%,0,-1,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,,,
A,Bag,BG,가방,0,0,,0%,0,-3,,,
A,Bag,SG,슬링백,0,0,,0%,0,-1,,,
A,Headwear,CP,운동모,0,0,,0%,0,-1,,,
I,Bag,CR,크로스백,4693,397017718,747%,38%,2844,54421,19.1,38.8,-19.7
I,Bag,BK,백팩,1658,251965239,144%,24%,1376,68153,49.5,99.8,-50.3
I,Shoes,WB,방한화,1340,114804542,131%,11%,2466,19554,7.9,11.5,-3.6
I,Headwear,BN,비니,1728,67035436,93%,6%,1685,17644,10.5,14.3,-3.8
I,Headwear,CP,운동모,1710,62821697,120%,6%,1471,147199,100.1,119.0,-19.0
I,Shoes,SH,신발,501,43049346,76%,4%,430,49667,115.5,104.1,11.4
I,Headwear,WM,방한모,683,42715110,96%,4%,719,11647,16.2,11.9,4.3
I,Shoes,RN,런닝화,286,27003262,83%,3%,265,29411,111.0,66.6,44.4
I,Shoes,SX,스니커즈,139,12663434,42%,1%,125,22857,182.9,114.9,68.0
I,Acc_etc,ET,기타,68,5608639,141%,1%,75,9454,126.1,158.1,-32.0
I,Acc_etc,GL,장갑,97,5231571,71%,0%,116,6109,52.7,50.4,2.2
I,Acc_etc,SO,양말,466,4988105,106%,0%,396,83735,211.5,196.3,15.2
I,Acc_etc,MF,머플러(스카프),79,4543047,211%,0%,87,1081,12.4,24.7,-12.3
I,Bag,UB,보조가방,78,3539412,326%,0%,97,6270,64.6,291.3,-226.7
I,Bag,SG,슬링백,36,2632578,99%,0%,30,3563,118.8,145.5,-26.8
I,Bag,BG,가방,74,2356830,66%,0%,49,2809,57.3,47.9,9.5
I,Headwear,WR,와이어캡,28,1333330,257%,0%,22,2821,128.2,204.6,-76.3
I,Bag,HS,힙색,7,382650,649%,0%,5,1846,369.2,1542.5,-1173.3
I,Headwear,HT,햇,6,331150,79%,0%,10,16283,1628.3,4045.6,-2417.3
I,Acc_etc,GG,고글,0,0,,0%,0,7,,,
I,Bag,BM,버킷백,0,0,,0%,0,1,,,
I,Acc_etc,PE,PET,0,0,0%,0%,0,-5,,315.7,
I,Acc_etc,ML,토시,0,0,,0%,0,884,,,
I,Headwear,SC,선캡,0,0,,0%,0,8068,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,643,,,
I,Shoes,CV,캔버스화,0,0,,0%,0,-6,,,
I,Shoes,SD,샌들,-1,-69000,87%,0%,0,24172,,,
M,Headwear,CP,운동모,46786,1712578988,77%,32%,51994,1294639,24.9,18.4,6.5
M,Shoes,SX,스니커즈,8357,1075285855,142%,20%,6325,242510,38.3,58.0,-19.7
M,Headwear,BN,비니,24479,1034470346,236%,20%,23423,90914,3.9,8.8,-4.9
M,Shoes,SH,신발,5734,527623809,173%,10%,4031,278563,69.1,123.4,-54.3
M,Bag,BQ,숄더백,3709,387922686,173%,7%,2011,104392,51.9,54.9,-3.0
M,Shoes,WB,방한화,1186,128093849,113%,2%,1275,25740,20.2,15.1,5.0
M,Shoes,RN,런닝화,685,92423352,75%,2%,721,112729,156.4,49.8,106.6
M,Headwear,WM,방한모,982,71750149,263%,1%,1003,7427,7.4,34.9,-27.5
M,Bag,BM,버킷백,498,62902794,104%,1%,522,25017,47.9,8.4,39.6
M,Headwear,HT,햇,966,58283406,75%,1%,1228,41970,34.2,74.7,-40.5
M,Bag,CR,크로스백,407,40300026,127%,1%,379,42432,112.0,172.0,-60.0
M,Acc_etc,MF,머플러(스카프),256,20617849,74%,0%,381,4881,12.8,28.1,-15.2
M,Bag,OR,쇼퍼백,138,16737192,14%,0%,565,18177,32.2,25.1,7.1
M,Bag,HS,힙색,294,16510007,60%,0%,145,12834,88.5,96.0,-7.5
M,Acc_etc,SO,양말,928,13639050,122%,0%,927,63013,68.0,110.8,-42.8
M,Acc_etc,PO,파우치,289,9369736,118%,0%,240,14394,60.0,39.6,20.4
M,Acc_etc,ET,기타,364,8249692,117%,0%,408,10074,24.7,44.2,-19.5
M,Bag,BK,백팩,43,5776678,94%,0%,51,15848,310.7,296.8,13.9
M,Acc_etc,GL,장갑,51,1911494,,0%,42,1674,39.9,,
M,Bag,BG,가방,13,1638900,5%,0%,10,13712,1371.2,224.3,1146.9
M,Acc_etc,HH,캐리어(하드케이스),5,1159193,582%,0%,3,852,284.0,175.0,109.0
M,Shoes,LP,슬리퍼,15,827063,194%,0%,29,46580,1606.2,3402.2,-1796.0
M,Shoes,MU,뮬,19,600500,5%,0%,22,47453,2157.0,411.7,1745.2
M,Shoes,SD,샌들,3,162000,-293%,0%,7,53595,7656.4,56452.0,-48795.6
M,Headwear,MC,메시캡,2,126000,,0%,5,6187,1237.4,,
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,7,,35.6,
M,Headwear,SC,선캡,0,0,,0%,0,2285,,,
M,Shoes,SQ,아쿠아 슈즈,0,0,,0%,0,9203,,,
M,Acc_etc,ML,토시,0,0,,0%,0,895,,,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,,,
M,Acc_etc,TW,타올,0,0,,0%,0,1,,,
M,Acc_etc,GA,선글라스,0,0,,0%,0,4013,,,
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,,,
M,Bag,BW,보스톤백,0,0,,0%,1,727,727.0,,
ST,Shoes,SH,신발,76,6545220,92%,45%,85,8824,103.8,376.2,-272.4
ST,Headwear,CP,운동모,41,1907830,112%,13%,48,5377,112.0,86.0,26.0
ST,Acc_etc,SO,양말,85,1354940,53%,9%,95,9881,104.0,70.0,34.0
ST,Bag,TG,토드백,10,1083160,176%,7%,9,1509,167.7,171.1,-3.4
ST,Bag,BK,백팩,5,810300,60%,6%,6,1514,252.3,242.0,10.3
ST,Bag,BW,보스톤백,4,609100,78%,4%,5,533,106.6,149.0,-42.4
ST,Headwear,SC,선캡,9,591000,29%,4%,19,2730,143.7,89.6,54.1
ST,Bag,RB,라켓백,7,469200,46%,3%,6,958,159.7,110.8,48.9
ST,Acc_etc,AM,머플러,5,444270,110%,3%,3,394,131.3,85.7,45.7
ST,Headwear,BN,비니,5,296300,40%,2%,6,653,108.8,30.9,77.9
ST,Acc_etc,HB,헤드밴드,8,197680,95%,1%,6,811,135.2,105.5,29.7
ST,Acc_etc,PR,보호대,4,95000,31%,1%,5,2063,412.6,317.5,95.1
ST,Bag,CR,크로스백,2,83200,,1%,2,514,257.0,739.0,-482.0
ST,Bag,SG,슬링백,1,39600,14%,0%,0,130,,173.5,
ST,Headwear,HT,햇,1,28480,8%,0%,1,841,841.0,1138.0,-297.0
ST,Acc_etc,TW,타올,0,0,,0%,0,1598,,,
ST,Acc_etc,RK,라켓,0,0,,0%,0,512,,45.0,
ST,Acc_etc,LL,볼,0,0,,0%,0,34,,,
ST,Shoes,LP,슬리퍼,0,0,,0%,0,588,,,
ST,Acc_etc,AC,기타소품류,0,0,0%,0%,0,1290,,100.9,
V,Shoes,WB,방한화,289,60586450,167%,66%,329,3823,11.6,6.3,5.3
V,Bag,TG,토드백,27,8970000,168%,10%,29,3343,115.3,57.7,57.5
V,Headwear,BN,비니,23,4162280,228%,5%,21,912,43.4,42.7,0.8
V,Headwear,HT,햇,21,3310920,271%,4%,23,1470,63.9,175.3,-111.4
V,Acc_etc,AG,장갑,22,3007290,676%,3%,25,320,12.8,34.1,-21.3
V,Bag,BK,백팩,7,2394600,52%,3%,11,418,38.0,16.3,21.7
V,Acc_etc,ML,토시,17,2263270,317%,2%,12,188,15.7,13.8,1.9
V,Shoes,SH,신발,15,1608010,60%,2%,19,961,50.6,362.6,-312.0
V,Headwear,CP,운동모,12,1533190,482%,2%,18,615,34.2,114.3,-80.1
V,Acc_etc,MF,머플러(스카프),5,1198000,,1%,6,717,119.5,,
V,Bag,CR,크로스백,6,1177000,94%,1%,7,1161,165.9,82.3,83.5
V,Bag,BG,가방,2,665000,,1%,4,458,114.5,,
V,Acc_etc,DC,다운 스카프,2,475000,,1%,4,382,95.5,36.0,59.5
V,Bag,TA,벨트백,1,290000,204%,0%,1,29,29.0,112.0,-83.0
V,Acc_etc,SO,양말,13,180120,109%,0%,18,1024,56.9,235.5,-178.6
V,Bag,HS,힙색,2,152000,,0%,3,104,34.7,,
V,Headwear,WM,방한모,1,135000,27%,0%,2,189,94.5,36.3,58.3
V,Shoes,MU,뮬,0,0,,0%,1,113,113.0,423.0,-310.0
V,Bag,EB,기타가방,0,0,0%,0%,0,16,,47.0,
