브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
I,의류,Bottom,DP,진바지,1532405000,1.0958,12638000,3.1493,309186000,1.3801,0.4726,-0.0471,0.5954,309186000,654217000,224030000,431049000,256551000,430920000
I,의류,Bottom,LG,레깅스,69125000,0.2227,1185000,0.4189,19434000,0.3629,0.3075,0.0999,0.2714,19434000,63200000,53554000,257969000,70017041,257969000
I,의류,Bottom,PT,팬츠,2740879000,0.5953,28607000,0.9618,616814000,0.8775,0.3992,0.0727,0.3812,616814000,1545156000,702934352,2153281000,820841352,2153281000
I,의류,Bottom,SK,스커트,573392000,0.4350,-178000,-0.1827,47615000,0.3950,0.1920,0.0363,0.1619,47615000,248043000,120554424,774354000,125332424,774354000
I,의류,Bottom,SM,우븐반바지,109710000,,0,,12144000,,0.1107,,,12144000,109710000,0,0,0,0
I,의류,Bottom,TP,트레이닝(하의),0,0.0000,0,,0,,,,,0,0,0,0,0,0
I,의류,Bottom,WP,우븐팬츠,3695398000,1.4957,27813000,1.0748,765997000,1.4594,0.3857,0.0887,0.3512,765997000,1985766000,524883000,1766745000,620426000,1766745000
I,의류,Inner,HD,후드티,2446992000,0.8543,17697000,0.9627,527857000,1.1569,0.3938,0.0190,0.4337,527857000,1340379000,456267089,1217259000,527973089,1217259000
I,의류,Inner,KP,니트풀오버,195391000,1.1336,0,0.0000,0,0.0000,,,0.3716,0,0,45453000,165688000,61577000,165688000
I,의류,Inner,MT,맨투맨,6266412000,0.7833,72701000,1.0859,1399715000,0.9375,0.3288,-0.0186,0.4078,1399715000,4257656000,1493075122,4297886000,1752870878,4297886000
I,의류,Inner,OP,원피스,115622000,0.2517,0,0.0000,0,0.0000,,,0.2226,0,0,24619000,120989000,26927000,120989000
I,의류,Inner,PQ,폴로 티셔츠,204700000,1.0122,0,0.0000,103240000,1.7589,0.5043,-0.1097,0.6215,103240000,204700000,58697000,95590000,59408000,95590000
I,의류,Inner,TR,트레이닝(상의),212007000,1.2920,0,,0,,,,,0,0,0,0,0,0
I,의류,Inner,TS,반팔카라티셔츠,1328679000,1.5702,1087000,1.2610,359141000,2.3919,0.5578,0.2377,0.3335,359141000,643847000,150148000,469079000,156443000,469079000
I,의류,Inner,WS,우븐셔츠,335546000,0.5082,0,,68527000,0.8792,0.3630,-0.0485,0.4157,68527000,188762000,77945843,189401000,78740843,189401000
I,의류,Outer,DJ,다운점퍼,31519737000,1.1826,357568000,0.7112,5222923000,0.9463,0.2898,-0.0915,0.5247,5222923000,18021919000,5519431261,14476669000,7786664261,14839680000
I,의류,Outer,DK,진자켓,765808000,0.7216,308000,,156089000,,0.3818,,,156089000,408776000,0,0,0,0
I,의류,Outer,DV,다운베스트,1922179000,0.8615,8628000,0.6315,322985000,0.9564,0.3545,-0.0222,0.4637,322985000,911095000,337702000,896402000,415677000,896402000
I,의류,Outer,FD,폴라폴리스점퍼,250339000,0.1683,3753000,0.2870,48789000,0.2206,0.2294,-0.0607,0.3528,48789000,212670000,221120075,762119000,268875075,762119000
I,의류,Outer,JP,점퍼,2067551000,0.3929,3279000,1.4439,589841000,0.6039,0.3624,0.0861,0.2833,589841000,1627662000,976677000,3534413000,1001137675,3534413000
I,의류,Outer,KC,니트가디건,719220000,0.5828,258000,0.2181,51584000,0.3304,0.1407,-0.0820,0.2376,51584000,366660000,156145000,701248000,166603000,701248000
I,의류,Outer,PD,패딩,381600000,,4929000,,130539000,,0.3402,,,130539000,383667000,0,0,0,0
I,의류,Outer,WJ,방풍자켓,2672101000,2.2362,139000,0.1841,128992000,0.6464,0.3324,0.0632,0.2760,128992000,388088000,199552000,741412000,204597000,741412000
I,의류,Wear_etc,S1,반팔티 & 스웨트팬츠,1249379000,0.6166,2047000,0.2081,391248000,0.9366,0.3819,0.0419,0.3929,391248000,1024457000,417727000,1228643000,482730000,1228643000
I,의류,Wear_etc,S2,맨투맨셋트,7788432000,0.9688,108177000,0.9195,2663013000,1.1553,0.4087,0.0413,0.4665,2663013000,6515432000,2305031906,6273029000,2926648906,6273029000
M,의류,Bottom,DP,진바지,6927490000,1.2288,5260000,0.5676,222707000,0.7289,0.3241,0.0109,0.3929,222707000,687081000,305531000,975311000,383230000,975311000
M,의류,Bottom,DS,진스커트,1436642000,0.6021,2017000,3.6277,93172000,0.7363,0.2429,-0.2829,0.5410,93172000,383531000,126540267,240663000,130204267,240663000
M,의류,Bottom,LG,레깅스,92649000,0.0996,0,0.0000,0,0.0000,,,0.2577,0,0,24605000,121600000,31338000,121600000
M,의류,Bottom,PT,팬츠,40895898000,0.9721,174775000,1.0255,2655577000,0.9167,0.4144,-0.0683,0.5986,2655577000,6409017000,2896912758,6001489000,3592357030,6001489000
M,의류,Bottom,SK,스커트,2605312000,0.7497,2143000,0.4680,156699000,0.8704,0.3705,0.0167,0.3906,156699000,422907000,180037599,508799000,198726599,508799000
M,의류,Bottom,SM,우븐반바지,1505491000,,0,,0,,,,,0,0,0,0,0,0
M,의류,Bottom,SP,반바지,1373265000,1.1542,0,,0,,,,,0,0,0,0,0,0
M,의류,Bottom,WP,우븐팬츠,37058473000,1.8295,58567000,2.5364,1605820000,1.4405,0.4168,-0.0224,0.4908,1605820000,3853004000,1114771575,2538420000,1245768575,2538420000
M,의류,Inner,DD,데님원피스,0,0.0000,0,0.0000,0,0.0000,,,0.2023,0,0,18060000,104182000,21075000,104182000
M,의류,Inner,DR,데님셔츠,9840059000,0.5365,2835000,0.9861,67851000,0.2894,0.1632,-0.2018,0.4045,67851000,415800000,234471000,642445000,259862000,642445000
M,의류,Inner,HD,후드티,21826472000,0.8587,87327000,1.1404,1393022000,0.7118,0.3810,-0.0652,0.5233,1393022000,3656024000,1957069692,4385963000,2294989540,4385963000
M,의류,Inner,KP,니트풀오버,9758594000,1.1991,36245000,2.1669,541326000,0.7728,0.3994,-0.1093,0.5610,541326000,1355334000,700441000,1376937000,772482000,1376937000
M,의류,Inner,MT,맨투맨,52568038000,0.6848,130143000,1.0127,2923180000,0.7258,0.4803,0.0414,0.5140,2923180000,6086548000,4027417468,9177169000,4717176145,9177169000
M,의류,Inner,OP,원피스,270900000,0.2343,3741000,3.1411,72369000,0.9917,0.2881,0.2155,0.0812,72369000,251163000,72978000,1004723000,81594000,1004723000
M,의류,Inner,TO,TOP,183848000,,0,,0,,,,,0,0,0,0,0,0
M,의류,Inner,TR,트레이닝(상의),16175419000,0.7324,38531000,0.8743,1526900000,1.0015,0.6383,0.2535,0.4365,1526900000,2392131000,1524630797,3961775000,1729283797,3961775000
M,의류,Inner,TS,반팔카라티셔츠,44005259000,1.5526,22042000,4.0370,1907369000,2.2357,0.5509,-0.0890,0.6715,1907369000,3462190000,853149026,1333302000,895283026,1333302000
M,의류,Inner,WS,우븐셔츠,2434707000,1.2968,2197000,3.5608,121680000,2.0256,0.6545,0.3607,0.3709,121680000,185900000,60072000,204432000,75817000,204432000
M,의류,Outer,DJ,다운점퍼,329698294000,1.2579,1831975000,0.8389,15100609000,0.8236,0.3213,-0.1594,0.6520,15100609000,46993665000,18334245887,38141955000,24867949585,38141955000
M,의류,Outer,DK,진자켓,2481071000,0.3505,269000,0.4736,43504000,1.1920,0.2782,0.1625,0.1564,43504000,156400000,36498000,315475000,49325470,315475000
M,의류,Outer,DV,다운베스트,21108946000,0.8827,51069000,0.9660,697817000,0.6009,0.2831,-0.1185,0.5059,697817000,2465051000,1161282000,2891583000,1462920000,2891583000
M,의류,Outer,FD,폴라폴리스점퍼,2902405000,0.5370,13301000,1.2920,240667000,1.7574,0.4755,0.3061,0.2343,240667000,506105000,136945000,808191000,189376000,808191000
M,의류,Outer,JK,방수자켓,247572000,0.8151,0,,0,,,,,0,0,0,0,0,0
M,의류,Outer,JP,점퍼,14172444000,0.8446,28261000,0.6445,1338962000,0.7331,0.4555,0.0808,0.4143,1338962000,2939739000,1826515634,4875182000,2019774634,4875182000
M,의류,Outer,KC,니트가디건,11491431000,0.6868,21243000,1.0982,783840000,0.7125,0.6110,0.1543,0.5060,783840000,1282979000,1100073193,2408962000,1219053686,2408962000
M,의류,Outer,PD,패딩,2015074000,1.9674,36616000,6.6879,792219000,3.0579,0.3956,0.0374,0.4528,792219000,2002338000,259077000,723138000,327405000,723138000
M,의류,Outer,WJ,방풍자켓,50198139000,1.1724,556000,0.1050,1221888000,1.0470,0.4503,0.0027,0.4573,1221888000,2713401000,1167055763,2607315000,1192288763,2607315000
ST,의류,Bottom,LG,레깅스,6930000,0.0840,99000,0.3708,495000,0.0500,0.0714,-0.0471,0.1473,495000,6930000,9894000,83474000,12296000,83474000
ST,의류,Bottom,PT,팬츠,234595000,0.1795,5956000,0.2945,59263000,0.3210,0.2546,0.1113,0.2033,59263000,232777000,184609000,1288659000,261978000,1288659000
ST,의류,Bottom,SK,스커트,640002000,0.7793,17042000,0.7507,316769000,1.1093,0.5010,0.1451,0.4458,316769000,632217000,285549000,802253000,357660000,802253000
ST,의류,Bottom,SP,반바지,138634000,8.6538,841000,3.1498,58151000,5.7314,0.4153,-0.2251,0.7247,58151000,140020000,10146000,15842000,11481000,15842000
ST,의류,Inner,HD,후드티,58855000,0.3397,298000,0.1020,6705000,0.2090,0.1136,-0.0676,0.2501,6705000,59004000,32078000,177025000,44269000,177025000
ST,의류,Inner,KP,니트풀오버,341415000,0.9833,2943000,0.5280,79407000,1.8645,0.2295,0.1025,0.2043,79407000,345949000,42589000,335387000,68535000,335387000
ST,의류,Inner,KU,니트반팔티셔츠,175695000,,0,,20193000,,0.1143,,,20193000,176649000,0,0,0,0
