브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Bag,BG,가방,0,0,,0%,0,-3,,,
A,Bag,BK,백팩,0,0,,0%,0,-3,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,,,
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,,,
A,Headwear,CP,운동모,0,0,,0%,0,-1,,,
A,Bag,SG,슬링백,0,0,,0%,0,-1,,,
A,Bag,CR,크로스백,0,0,,0%,0,-1,,,
I,Bag,BK,백팩,1395,216712442,140%,33%,1119,72068,64.4,119.7,-55.3
I,Shoes,WB,방한화,1405,120594671,90%,18%,2637,20956,7.9,7.1,0.8
I,Headwear,BN,비니,1656,66300171,75%,10%,1635,18882,11.5,14.8,-3.2
I,Headwear,CP,운동모,1674,60698822,135%,9%,1392,145598,104.6,129.3,-24.7
I,Bag,CR,크로스백,638,50274278,78%,8%,3030,53930,17.8,38.5,-20.7
I,Shoes,SH,신발,414,36432752,94%,6%,411,47152,114.7,115.1,-0.4
I,Headwear,WM,방한모,572,36414573,56%,6%,693,12386,17.9,10.1,7.8
I,Shoes,RN,런닝화,248,23550717,60%,4%,262,26844,102.5,72.6,29.9
I,Shoes,SX,스니커즈,152,13842496,54%,2%,123,23204,188.7,114.6,74.0
I,Bag,UB,보조가방,225,10423775,688%,2%,86,6830,79.4,313.9,-234.5
I,Acc_etc,ET,기타,80,6277806,135%,1%,80,9534,119.2,128.8,-9.6
I,Acc_etc,SO,양말,422,4875884,87%,1%,332,84205,253.6,170.4,83.2
I,Acc_etc,GL,장갑,67,3747501,35%,1%,107,6213,58.1,33.7,24.4
I,Acc_etc,MF,머플러(스카프),54,3300254,62%,1%,88,1160,13.2,22.9,-9.7
I,Bag,BG,가방,59,1874910,53%,0%,37,2984,80.6,63.0,17.7
I,Bag,SG,슬링백,22,1629605,104%,0%,22,3907,177.6,141.8,35.8
I,Headwear,WR,와이어캡,23,1119350,139%,0%,18,2851,158.4,179.7,-21.3
I,Headwear,HT,햇,5,295000,56%,0%,10,15103,1510.3,3984.4,-2474.1
I,Bag,HS,힙색,3,167860,106%,0%,4,1908,477.0,1028.7,-551.7
I,Acc_etc,PE,PET,1,1450,0%,0%,0,1,,288.7,
I,Shoes,CV,캔버스화,0,0,,0%,0,-6,,,
I,Bag,BM,버킷백,0,0,,0%,0,1,,,
I,Acc_etc,ML,토시,0,0,,0%,0,884,,,
I,Headwear,SC,선캡,0,0,,0%,0,8092,,,
I,Acc_etc,GG,고글,0,0,,0%,0,7,,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,645,,,
I,Shoes,SD,샌들,0,0,,0%,0,24205,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,,,
M,Headwear,CP,운동모,67250,2374116720,161%,45%,55642,1325587,23.8,21.2,2.6
M,Headwear,BN,비니,22973,962554729,256%,18%,24517,91032,3.7,9.5,-5.8
M,Shoes,SX,스니커즈,5957,847508017,138%,16%,5106,251549,49.3,59.9,-10.6
M,Shoes,SH,신발,3432,365577567,128%,7%,3269,299222,91.5,120.2,-28.6
M,Bag,BQ,숄더백,1424,149325864,74%,3%,1878,108154,57.6,53.0,4.6
M,Shoes,WB,방한화,1118,119779021,87%,2%,1236,27011,21.9,14.2,7.6
M,Shoes,RN,런닝화,709,96718281,65%,2%,719,109798,152.7,48.7,104.0
M,Headwear,HT,햇,1294,81484430,86%,2%,1296,43052,33.2,68.8,-35.6
M,Bag,BM,버킷백,614,79583590,87%,1%,528,25521,48.3,9.1,39.2
M,Headwear,WM,방한모,911,67241853,197%,1%,949,8433,8.9,32.6,-23.8
M,Bag,OR,쇼퍼백,472,53881590,59%,1%,1358,15336,11.3,29.7,-18.4
M,Bag,CR,크로스백,383,40357246,128%,1%,354,42879,121.1,160.8,-39.7
M,Acc_etc,MF,머플러(스카프),322,28091094,61%,1%,430,5139,12.0,28.7,-16.7
M,Acc_etc,SO,양말,925,13808867,103%,0%,920,78232,85.0,113.6,-28.6
M,Acc_etc,PO,파우치,363,11794325,183%,0%,197,15631,79.3,37.5,41.8
M,Acc_etc,ET,기타,427,9905479,109%,0%,421,10291,24.4,48.3,-23.9
M,Bag,HS,힙색,132,9226386,40%,0%,105,13129,125.0,63.0,62.0
M,Bag,BK,백팩,62,8293091,96%,0%,52,15895,305.7,212.4,93.2
M,Acc_etc,GL,장갑,53,1983784,,0%,34,1725,50.7,,
M,Shoes,LP,슬리퍼,27,1536332,183%,0%,30,46749,1558.3,3024.7,-1466.4
M,Bag,BG,가방,11,1347500,40%,0%,9,13726,1525.1,872.4,652.7
M,Acc_etc,HH,캐리어(하드케이스),3,718580,139%,0%,3,858,286.0,176.0,110.0
M,Shoes,MU,뮬,14,507600,6%,0%,22,47524,2160.2,412.8,1747.4
M,Shoes,SD,샌들,2,273500,76%,0%,8,54110,6763.8,28225.5,-21461.8
M,Headwear,MC,메시캡,3,147000,,0%,4,6216,1554.0,,
M,Acc_etc,ML,토시,0,0,0%,0%,0,896,,,
M,Headwear,SC,선캡,0,0,,0%,0,2301,,,
M,Shoes,SQ,아쿠아 슈즈,0,0,,0%,0,9226,,,
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,9,,34.1,
M,Acc_etc,TW,타올,0,0,,0%,0,1,,,
M,Bag,BW,보스톤백,0,0,,0%,1,735,735.0,,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,,,
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,,,
ST,Shoes,SH,신발,74,6206600,78%,38%,230,8924,38.8,275.8,-237.0
ST,Acc_etc,SO,양말,128,2376660,92%,15%,89,10209,114.7,65.5,49.2
ST,Headwear,CP,운동모,48,2333100,91%,14%,53,3923,74.0,58.8,15.2
ST,Bag,RB,라켓백,10,1143800,82%,7%,7,968,138.3,111.8,26.5
ST,Headwear,SC,선캡,16,1061920,42%,7%,23,2744,119.3,93.3,26.1
ST,Bag,BK,백팩,8,1002120,49%,6%,7,1521,217.3,154.6,62.6
