브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고주수,전년재고주수,재고주수차이(당년-전년)
A,Bag,BK,백팩,0,0,,0%,0,-3,,,
A,Acc_etc,FN,패니팩,0,0,,0%,0,-10,,,
A,Bag,CR,크로스백,0,0,,0%,0,-1,,,
A,Bag,MR,메신저백,0,0,,0%,0,-3,,,
A,Bag,BG,가방,0,0,,0%,0,-3,,,
A,Bag,SG,슬링백,0,0,,0%,0,-1,,,
A,Headwear,CP,운동모,0,0,,0%,0,-1,,,
I,Bag,CR,크로스백,4952,434475184,336%,34%,3236,52892,16.3,34.0,-17.7
I,Shoes,WB,방한화,4585,390981269,207%,31%,2761,25358,9.2,7.3,1.9
I,Bag,BK,백팩,1250,150438156,184%,12%,671,74736,111.4,93.4,18.0
I,Headwear,BN,비니,1818,71823272,101%,6%,1530,20759,13.6,19.5,-6.0
I,Headwear,WM,방한모,1025,64948303,101%,5%,717,13454,18.8,14.2,4.5
I,Headwear,CP,운동모,1293,47440449,147%,4%,1338,146529,109.5,95.1,14.4
I,Shoes,SH,신발,416,36655955,113%,3%,513,46375,90.4,77.7,12.7
I,Shoes,RN,런닝화,293,28248612,91%,2%,331,27495,83.1,87.6,-4.5
I,Acc_etc,GL,장갑,218,12073970,175%,1%,102,6425,63.0,42.0,21.0
I,Acc_etc,ET,기타,108,9027350,333%,1%,90,9673,107.5,130.7,-23.2
I,Acc_etc,MF,머플러(스카프),126,7667522,356%,1%,90,1309,14.5,34.4,-19.8
I,Shoes,SX,스니커즈,92,7083115,28%,1%,122,23528,192.9,83.4,109.5
I,Acc_etc,SO,양말,342,4620453,83%,0%,239,84667,354.3,172.4,181.9
I,Bag,UB,보조가방,38,1770360,177%,0%,29,7101,244.9,450.4,-205.5
I,Headwear,HT,햇,20,1116067,387%,0%,11,15118,1374.4,3104.9,-1730.5
I,Bag,BG,가방,33,1071148,81%,0%,23,3071,133.5,97.6,35.9
I,Headwear,WR,와이어캡,19,929906,164%,0%,18,2893,160.7,193.5,-32.7
I,Bag,SG,슬링백,12,897722,35%,0%,10,3977,397.7,107.7,290.1
I,Bag,HS,힙색,7,394770,,0%,4,1913,478.3,448.8,29.4
I,Bag,BM,버킷백,0,0,,0%,0,1,,,
I,Acc_etc,PE,PET,0,0,0%,0%,0,5,,299.6,
I,Acc_etc,ML,토시,0,0,,0%,0,884,,,
I,Headwear,SC,선캡,0,0,0%,0%,0,8095,,10634.0,
I,Acc_etc,GG,고글,0,0,,0%,0,7,,,
I,Shoes,MU,뮬,0,0,,0%,0,-2,,,
I,Shoes,LP,슬리퍼,0,0,,0%,0,645,,,
I,Shoes,SD,샌들,0,0,,0%,0,24217,,,
I,Shoes,CV,캔버스화,0,0,,0%,0,-8,,,
M,Headwear,CP,운동모,39688,1508078919,118%,33%,55332,1260862,22.8,21.4,1.4
M,Headwear,BN,비니,24743,1058514107,200%,23%,22380,122980,5.5,11.9,-6.4
M,Shoes,SX,스니커즈,5884,844666430,135%,18%,4841,260703,53.9,49.1,4.8
M,Shoes,SH,신발,3191,358816642,154%,8%,2981,296915,99.6,93.0,6.6
M,Shoes,WB,방한화,1392,150205285,97%,3%,1066,29690,27.9,18.5,9.4
M,Bag,BQ,숄더백,1227,133166834,54%,3%,2093,103710,49.6,45.5,4.1
M,Shoes,RN,런닝화,799,108872581,83%,2%,908,109857,121.0,42.3,78.7
M,Headwear,HT,햇,1354,88866766,84%,2%,1228,43258,35.2,60.4,-25.1
M,Headwear,WM,방한모,1119,82978777,323%,2%,802,11630,14.5,40.8,-26.3
M,Bag,OR,쇼퍼백,541,76197329,39%,2%,1173,11472,9.8,35.7,-25.9
M,Bag,BM,버킷백,592,75134197,103%,2%,674,20178,29.9,70.4,-40.5
M,Acc_etc,MF,머플러(스카프),594,49048305,119%,1%,488,5815,11.9,31.8,-19.9
M,Bag,CR,크로스백,310,31527512,87%,1%,357,43790,122.7,119.8,2.9
M,Acc_etc,SO,양말,1000,15002120,157%,0%,873,66196,75.8,149.9,-74.0
M,Acc_etc,ET,기타,370,8623762,193%,0%,402,13744,34.2,76.0,-41.8
M,Bag,BK,백팩,51,6872413,101%,0%,53,16017,302.2,200.1,102.1
M,Bag,HS,힙색,61,5673061,19%,0%,197,13354,67.8,28.0,39.8
M,Acc_etc,PO,파우치,95,2662968,33%,0%,123,11745,95.5,25.0,70.5
M,Shoes,LP,슬리퍼,45,2554096,204%,0%,33,46813,1418.6,1961.1,-542.6
M,Acc_etc,GL,장갑,46,1680154,,0%,30,1795,59.8,,
M,Bag,BG,가방,11,1439100,207%,0%,10,13742,1374.2,989.4,384.8
M,Shoes,SD,샌들,22,926016,,0%,11,54140,4921.8,28794.5,-23872.7
M,Shoes,MU,뮬,19,888900,7%,0%,29,47603,1641.5,344.6,1296.9
M,Headwear,MC,메시캡,9,441000,,0%,7,6307,901.0,,
M,Bag,BW,보스톤백,4,318000,,0%,2,735,367.5,,
M,Acc_etc,TW,타올,0,0,,0%,0,1,,,
M,Headwear,SC,선캡,0,0,,0%,1,2301,2301.0,,
M,Shoes,SQ,아쿠아 슈즈,0,0,,0%,1,9226,9226.0,,
M,Acc_etc,ML,토시,0,0,,0%,0,897,,,
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,34,,27.4,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,,,
M,Acc_etc,HH,캐리어(하드케이스),0,0,,0%,2,865,432.5,180.0,252.5
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,,,
ST,Shoes,SH,신발,66,6614716,115%,42%,314,9190,29.3,249.7,-220.5
ST,Headwear,CP,운동모,57,2712430,142%,17%,51,4155,81.5,50.5,31.0
ST,Headwear,SC,선캡,24,1538970,68%,10%,22,2845,129.3,101.9,27.4
ST,Acc_etc,SO,양말,81,1519280,57%,10%,77,11363,147.6,50.9,96.7
ST,Bag,BW,보스톤백,4,714800,69%,4%,7,613,87.6,84.9,2.7
ST,Bag,TG,토드백,8,619700,30%,4%,10,1541,154.1,133.6,20.5
ST,Headwear,BN,비니,7,445400,87%,3%,4,669,167.3,62.0,105.3
ST,Bag,BK,백팩,3,403200,31%,3%,8,1552,194.0,122.9,71.1
ST,Bag,RB,라켓백,4,286400,10%,2%,7,949,135.6,87.8,47.8
ST,Acc_etc,AM,머플러,3,275210,,2%,2,404,202.0,135.0,67.0
ST,Headwear,HT,햇,4,252800,175%,2%,3,842,280.7,766.7,-486.0
ST,Acc_etc,HB,헤드밴드,9,242580,1213%,2%,5,848,169.6,166.3,3.4
ST,Bag,CR,크로스백,2,130500,120%,1%,1,523,523.0,148.4,374.6
ST,Acc_etc,PR,보호대,6,117500,38%,1%,7,2339,334.1,209.2,124.9
ST,Acc_etc,RK,라켓,1,68740,29%,0%,0,512,,23.5,
ST,Bag,SG,슬링백,0,0,,0%,0,131,,177.0,
ST,Acc_etc,TW,타올,0,0,,0%,0,3008,,,
ST,Acc_etc,LL,볼,0,0,,0%,0,34,,,
ST,Shoes,LP,슬리퍼,0,0,,0%,1,589,589.0,,
ST,Acc_etc,AC,기타소품류,-1,-35000,-41%,0%,2,1303,651.5,104.6,546.9
V,Shoes,WB,방한화,343,71533370,111%,67%,215,4818,22.4,12.6,9.8
V,Bag,TG,토드백,31,9926390,246%,9%,31,3036,97.9,59.5,38.5
V,Headwear,HT,햇,24,3921110,202%,4%,33,1439,43.6,99.0,-55.4
V,Bag,BK,백팩,11,3905000,62%,4%,15,454,30.3,26.8,3.5
V,Headwear,BN,비니,24,3693040,186%,3%,21,985,46.9,42.6,4.3
V,Acc_etc,AG,장갑,25,3203870,156%,3%,17,393,23.1,40.5,-17.4
V,Bag,CR,크로스백,13,2458000,88%,2%,17,1174,69.1,102.1,-33.0
V,Headwear,CP,운동모,16,2030620,173%,2%,20,680,34.0,83.8,-49.8
V,Shoes,SH,신발,16,1532400,60%,1%,17,1047,61.6,438.9,-377.3
V,Acc_etc,ML,토시,9,1101000,1059%,1%,13,227,17.5,29.0,-11.5
V,Bag,BG,가방,3,945000,,1%,2,469,234.5,,
V,Acc_etc,MF,머플러(스카프),4,918000,,1%,5,749,149.8,,
V,Acc_etc,DC,다운 스카프,5,630600,67%,1%,9,392,43.6,37.3,6.2
V,Headwear,WM,방한모,3,434880,60%,0%,4,195,48.8,53.0,-4.3
V,Acc_etc,SO,양말,28,382610,174%,0%,29,1090,37.6,133.2,-95.6
V,Shoes,MU,뮬,2,273660,,0%,1,116,116.0,425.0,-309.0
V,Bag,HS,힙색,2,190000,,0%,3,112,37.3,,
V,Headwear,SC,선캡,1,78000,52%,0%,1,199,199.0,142.0,57.0
V,Shoes,LP,슬리퍼,0,0,,0%,0,405,,,
V,Acc_etc,PO,파우치,0,0,,0%,0,10,,,
