브랜드,구분,종료일,유통채널,채널명,실판매출
I,당년,2025-10-19,01,백화점,667623870
I,전년,2025-10-19,01,백화점,555028530
I,당년,2025-10-19,02,면세점,182221800
I,전년,2025-10-19,02,면세점,218465200
I,당년,2025-10-19,03,직영점(가두),22949600
I,전년,2025-10-19,03,직영점(가두),41103420
I,당년,2025-10-19,04,자사몰,77994010
I,전년,2025-10-19,04,자사몰,58061630
I,당년,2025-10-19,05,제휴몰,283934900
I,전년,2025-10-19,05,제휴몰,107521000
I,당년,2025-10-19,06,대리점,165571291
I,전년,2025-10-19,06,대리점,149012429
I,당년,2025-10-19,08,사입,243598390
I,전년,2025-10-19,08,사입,427379680
I,당년,2025-10-19,11,직영몰,54587200
I,전년,2025-10-19,11,직영몰,58280120
M,당년,2025-10-19,01,백화점,1297617040
M,전년,2025-10-19,01,백화점,1392010550
M,당년,2025-10-19,02,면세점,3078163600
M,전년,2025-10-19,02,면세점,3599396200
M,당년,2025-10-19,03,직영점(가두),415892800
M,전년,2025-10-19,03,직영점(가두),370410310
M,당년,2025-10-19,04,자사몰,159407013
M,전년,2025-10-19,04,자사몰,161267326
M,당년,2025-10-19,05,제휴몰,423497700
M,전년,2025-10-19,05,제휴몰,336671000
M,당년,2025-10-19,06,대리점,1200187909
M,전년,2025-10-19,06,대리점,1276176361
M,당년,2025-10-19,08,사입,687420771
M,전년,2025-10-19,08,사입,914375490
M,당년,2025-10-19,11,직영몰,96319100
M,전년,2025-10-19,11,직영몰,121179800
M,당년,2025-10-19,RF,RF,348396320
M,전년,2025-10-19,RF,RF,310843640
ST,당년,2025-10-19,01,백화점,5357240
ST,전년,2025-10-19,01,백화점,19773290
ST,당년,2025-10-19,02,면세점,19279700
ST,전년,2025-10-19,02,면세점,23878800
ST,당년,2025-10-19,03,직영점(가두),16755300
ST,당년,2025-10-19,04,자사몰,134684590
ST,전년,2025-10-19,04,자사몰,89101900
ST,당년,2025-10-19,05,제휴몰,46169500
ST,전년,2025-10-19,05,제휴몰,27586400
ST,당년,2025-10-19,07,아울렛,41183640
ST,전년,2025-10-19,07,아울렛,7254370
ST,당년,2025-10-19,11,직영몰,52706230
ST,전년,2025-10-19,11,직영몰,27958620
V,당년,2025-10-19,01,백화점,270335300
V,전년,2025-10-19,01,백화점,129051700
V,당년,2025-10-19,03,직영점(가두),3013000
V,당년,2025-10-19,04,자사몰,31525460
V,전년,2025-10-19,04,자사몰,30445000
V,당년,2025-10-19,05,제휴몰,171937500
V,전년,2025-10-19,05,제휴몰,19770000
