브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비 합계,직접이익
I,1.0,백화점,3795676200.0,3527188660.0,3206534572.0,2039754646.0,940643352.0,1099111294.0,451230278.0,0.0,0.0,0.0,42555241.0,25493010.0,77826290.0,0.0,0.0,122385279.0,0.0,0.0,0.0,37042000.0,756532098,342579196
I,2.0,면세점,1019829300.0,1018677080.0,926069114.0,555640129.0,239770256.0,315869873.0,0.0,0.0,0.0,78228130.0,12120752.0,7260730.0,22166857.0,0.0,0.0,33338408.0,0.0,1275000.0,0.0,2153000.0,156542877,159326996
I,3.0,직영점(가두),150371200.0,149960570.0,136327725.0,136327725.0,37444765.0,98882960.0,0.0,0.0,7465662.0,0.0,1784084.0,1068833.0,3262368.0,0.0,0.0,5316781.0,11747612.0,0.0,0.0,1048000.0,31693340,67189620
I,4.0,자사몰,362701700.0,311520706.0,283219340.0,283219340.0,89855510.0,193363830.0,0.0,0.0,0.0,0.0,14903002.0,0.0,7856504.0,0.0,0.0,11045554.0,0.0,0.0,0.0,0.0,33805060,159558770
I,5.0,제휴몰,1046083100.0,1032391560.0,938537263.0,938537263.0,257169158.0,681368105.0,0.0,0.0,0.0,0.0,49394366.0,6564765.0,26041064.0,0.0,275753825.0,36602953.0,0.0,0.0,0.0,0.0,394356973,287011132
I,6.0,대리점,897572500.0,844221490.0,767474227.0,496954981.0,224358431.0,272596550.0,0.0,0.0,0.0,0.0,10195601.0,6107980.0,18646838.0,0.0,0.0,29817299.0,0.0,0.0,0.0,0.0,64767718,207828832
I,8.0,사입,1291328200.0,334962070.0,304510857.0,304510857.0,285721149.0,18789708.0,0.0,0.0,0.0,0.0,3992750.0,2391631.0,7305527.0,0.0,0.0,18270651.0,0.0,0.0,0.0,0.0,31960559,-13170851
I,11.0,직영몰,401490100.0,373777880.0,339797717.0,339797717.0,97867617.0,241930100.0,0.0,51970787.0,0.0,0.0,4531700.0,2715681.0,8290803.0,4031784.0,0.0,13252111.0,81027088.0,0.0,12505302.0,5853000.0,184178256,57751844
I,99.0,기타,289937000.0,8000110.0,7272801.0,7272801.0,24531857.0,-17259056.0,0.0,0.0,0.0,0.0,95361.0,57121.0,0.0,0.0,0.0,436368.0,0.0,0.0,0.0,0.0,588850,-17847906
M,1.0,RF,1071369700.0,974408370.0,885825279.0,563414208.0,175559434.0,387854774.0,86534183.0,0.0,0.0,0.0,16606710.0,5890441.0,18605588.0,0.0,0.0,39438995.0,0.0,316852.0,0.0,10533152.0,177925921,209928853
M,1.0,백화점,7657106200.0,6944432650.0,6313114785.0,4110374952.0,1292365185.0,2818009767.0,616713296.0,0.0,0.0,0.0,118352985.0,41980097.0,132598623.0,0.0,0.0,287726247.0,0.0,2258148.0,0.0,75067848.0,1274697244,1543312523
M,2.0,면세점,11698884400.0,10737632050.0,9761482840.0,6052126141.0,1919513302.0,4132612839.0,0.0,0.0,0.0,526107438.0,183000630.0,64909991.0,205026955.0,0.0,0.0,423648830.0,0.0,6525000.0,0.0,11758000.0,1420976844,2711635995
M,3.0,RF,917667000.0,745032520.0,677302106.0,677302106.0,154434592.0,522867514.0,0.0,0.0,46411508.0,0.0,12697500.0,4503704.0,14225752.0,15565147.0,0.0,31155897.0,4814394.0,121590691.0,13721790.0,13718151.0,278404534,244462980
M,3.0,직영점(가두),2855083600.0,2792615470.0,2538736627.0,2538736627.0,465511475.0,2073225152.0,0.0,0.0,173964608.0,0.0,47594137.0,16881269.0,53322493.0,58342959.0,0.0,116781885.0,18045830.0,455759309.0,51433489.0,51419849.0,1043545828,1029679324
M,4.0,RF,403013000.0,253898140.0,230816484.0,230816484.0,69098977.0,161717507.0,0.0,0.0,0.0,0.0,4327113.0,1534762.0,4848133.0,7986950.0,0.0,10617558.0,0.0,0.0,0.0,0.0,29314516,132402991
M,4.0,자사몰,1200175600.0,1029826916.0,937680210.0,937680210.0,195241447.0,742438763.0,0.0,0.0,0.0,0.0,17578677.0,6234892.0,19695295.0,32446578.0,0.0,43133290.0,0.0,0.0,0.0,0.0,119088732,623350031
M,5.0,제휴몰,2762366700.0,2722643020.0,2475130184.0,2475130184.0,455706747.0,2019423437.0,0.0,0.0,0.0,0.0,46401982.0,16458813.0,51986771.0,0.0,612276811.0,113855988.0,0.0,0.0,0.0,0.0,840980365,1178443072
M,6.0,RF,608205200.0,528416940.0,480378734.0,300974969.0,103589055.0,197385914.0,0.0,0.0,0.0,0.0,9005712.0,3194341.0,10089739.0,0.0,0.0,21068248.0,0.0,0.0,0.0,0.0,43358040,154027874
M,6.0,대리점,5464845000.0,5070408100.0,4609459816.0,2938626590.0,963034306.0,1975592284.0,0.0,0.0,0.0,0.0,86414045.0,30651201.0,96815794.0,0.0,0.0,205703861.0,0.0,0.0,0.0,0.0,419584901,1556007383
M,8.0,사입,467665000.0,116916150.0,106287469.0,106287469.0,62887190.0,43400279.0,0.0,0.0,0.0,0.0,1992539.0,706553.0,2231998.0,0.0,0.0,7440123.0,0.0,0.0,0.0,0.0,12371213,31029066
M,11.0,직영몰,716412000.0,669258630.0,608416601.0,608416601.0,120324921.0,488091680.0,0.0,72425113.0,0.0,0.0,11406436.0,4045638.0,12779193.0,4986749.0,0.0,27987164.0,137111737.0,2907000.0,32848628.0,20599000.0,327096658,160995022
M,99.0,기타,2858028600.0,18559510.0,16872233.0,16872233.0,64938457.0,-48066224.0,0.0,0.0,0.0,0.0,316299.0,112159.0,0.0,0.0,0.0,1181056.0,0.0,0.0,0.0,0.0,1609514,-49675738
ST,1.0,백화점,11306900.0,8785460.0,7986778.0,5332397.0,2294393.0,3038004.0,1996914.0,0.0,0.0,0.0,240719.0,264440.0,416426.0,0.0,0.0,287524.0,0.0,0.0,0.0,8628000.0,11834023,-8796019
ST,2.0,면세점,100836400.0,81652500.0,74229573.0,42310819.0,20232785.0,22078034.0,0.0,0.0,0.0,14227531.0,2234563.0,2460468.0,3872153.0,0.0,0.0,2672265.0,0.0,0.0,0.0,2948000.0,28414980,-6336946
ST,3.0,직영점(가두),62059800.0,51651200.0,46955482.0,46955482.0,13729373.0,33226109.0,0.0,0.0,11295532.0,0.0,1413520.0,1556421.0,2449412.0,0.0,0.0,1690397.0,1643654.0,0.0,0.0,0.0,20048936,13177173
ST,4.0,자사몰,70536600.0,60364320.0,54876646.0,54876646.0,15477170.0,39399476.0,0.0,0.0,0.0,0.0,1651966.0,1818973.0,2862468.0,1701062.0,0.0,1975559.0,0.0,0.0,0.0,0.0,10010028,29389448
ST,5.0,제휴몰,346550900.0,161629500.0,146935617.0,146935617.0,38507248.0,108428369.0,0.0,0.0,0.0,0.0,4424231.0,4870916.0,7664162.0,0.0,46694670.0,5289682.0,0.0,0.0,0.0,0.0,68943661,39484708
ST,7.0,아울렛,181919900.0,78255730.0,71141430.0,71141430.0,22330285.0,48811145.0,0.0,13658585.0,0.0,0.0,2141507.0,2358464.0,3710938.0,0.0,0.0,2561091.0,8564410.0,0.0,869987.0,2198000.0,36062982,12748163
ST,11.0,직영몰,183113600.0,102948080.0,93589214.0,93589214.0,38666615.0,54922599.0,0.0,13334017.0,0.0,0.0,2817760.0,3102499.0,4881741.0,1083213.0,0.0,3369212.0,28482429.0,3635000.0,4048616.0,13324000.0,78078487,-23155888
ST,99.0,기타,71103800.0,363350.0,330314.0,330314.0,6388200.0,-6057886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11891.0,0.0,0.0,0.0,0.0,11891,-6069777
V,1.0,백화점,4324353000.0,3667904720.0,3334459153.0,2466693622.0,786494697.0,1680198925.0,260026439.0,0.0,0.0,0.0,14099714.0,17278199.0,29398233.0,0.0,0.0,83361479.0,0.0,0.0,0.0,18059000.0,422223064,1257975861
V,3.0,직영점(가두),77009000.0,76870000.0,69881765.0,69881765.0,14974935.0,54906830.0,0.0,0.0,0.0,0.0,295950.0,362251.0,615923.0,0.0,0.0,1747044.0,14675488.0,0.0,0.0,0.0,17696656,37210174
V,4.0,자사몰,608383000.0,517096560.0,470087758.0,470087758.0,116437884.0,353649874.0,0.0,0.0,0.0,0.0,1987535.0,2436000.0,4144302.0,12222306.0,0.0,11752194.0,0.0,0.0,0.0,0.0,32542337,321107537
V,5.0,제휴몰,1312120000.0,992769500.0,902517737.0,902517737.0,234857635.0,667660102.0,0.0,0.0,0.0,0.0,3816368.0,4676768.0,7957041.0,188726154.0,0.0,22562943.0,0.0,0.0,0.0,0.0,227739274,439920828
V,7.0,아울렛,1834366000.0,1028593260.0,935084341.0,935084341.0,291131198.0,643953143.0,0.0,102405350.0,0.0,0.0,3953550.0,4845813.0,8244249.0,955938.0,0.0,0.0,101006954.0,0.0,9839384.0,4168000.0,235419238,408533905
V,11.0,직영몰,540325000.0,470543600.0,427766948.0,427766948.0,98756981.0,329009967.0,0.0,33966986.0,0.0,0.0,1809398.0,2217202.0,3771879.0,7762090.0,0.0,10694174.0,85553641.0,0.0,7263941.0,7188000.0,160227311,168782656
V,99.0,기타,219469000.0,1267320.0,1152123.0,1152123.0,19559096.0,-18406973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28803.0,0.0,0.0,0.0,0.0,28803,-18435776
W,4.0,자사몰,234066000.0,57048532.0,51936670.0,51936670.0,32213243.0,19723427.0,0.0,0.0,0.0,0.0,4777376.0,4235907.0,2948567.0,1249253.0,0.0,1921657.0,0.0,0.0,0.0,0.0,15132760,4590667
W,5.0,제휴몰,197456000.0,57106000.0,51914649.0,51914649.0,30058050.0,21856599.0,0.0,0.0,0.0,0.0,4775433.0,4234284.0,2947221.0,0.0,14780157.0,1972757.0,0.0,0.0,0.0,0.0,28709852,-6853253
W,99.0,기타,26799000.0,0.0,0.0,0.0,2479702.0,-2479702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2479702
X,1.0,백화점,21961565000.0,16547353750.0,15043043426.0,10056776092.0,4992478799.0,5064297293.0,1352511056.0,0.0,0.0,0.0,140108766.0,19965038.0,144583997.0,0.0,0.0,315903912.0,0.0,770000.0,0.0,90382000.0,2064224769,3000072524
X,2.0,면세점,3312286000.0,3006986690.0,2733622482.0,1640172978.0,967548394.0,672624584.0,0.0,0.0,0.0,80530311.0,25460224.0,3627887.0,26273735.0,0.0,0.0,57406072.0,0.0,0.0,0.0,2971000.0,196269229,476355355
X,3.0,직영점(가두),694152000.0,656482000.0,596800618.0,596800618.0,173847989.0,422952629.0,0.0,50530144.0,56797199.0,0.0,5558558.0,791902.0,5736131.0,11340427.0,0.0,12532813.0,32032110.0,160000000.0,0.0,2000.0,335321284,87631345
X,4.0,자사몰,3113997000.0,2655833822.0,2414639088.0,2414639088.0,765163664.0,1649475424.0,0.0,0.0,0.0,0.0,22489480.0,3204460.0,23207484.0,69894917.0,0.0,50707421.0,0.0,0.0,0.0,0.0,169503762,1479971662
X,5.0,제휴몰,9372577000.0,7546849290.0,6860770742.0,6860770742.0,2049401303.0,4811369439.0,0.0,0.0,0.0,0.0,63900106.0,9105272.0,65941529.0,0.0,1642406401.0,144076186.0,0.0,0.0,0.0,0.0,1925429494,2885939945
X,6.0,대리점,21642253000.0,18023631250.0,16385112614.0,10969495303.0,5157237186.0,5812258117.0,0.0,0.0,0.0,0.0,152608522.0,21745616.0,157483034.0,0.0,0.0,344087365.0,0.0,0.0,0.0,0.0,675924537,5136333580
X,7.0,아울렛,17721821000.0,11845954030.0,10769044824.0,10769044824.0,3547665409.0,7221379415.0,0.0,702387548.0,0.0,0.0,100301262.0,14292116.0,103504587.0,75383348.0,0.0,226149941.0,2049872865.0,0.0,113404031.0,86053000.0,3471348698,3750030717
X,8.0,사입,2015948000.0,262073220.0,238248434.0,238248434.0,204695397.0,33553037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21442359.0,0.0,0.0,0.0,0.0,21442359,12110678
