브랜드코드,채널명,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익,영업비
I,공통,0,0,0,307026617,-307026617,0,0,0,0,0,0,0,0,0,0,0,-307026617,1110559002
I,백화점,2941331100,2689085260,2444622838,722903488,836241602,390571095,0,0,66758089,54182164,0,0,93548606,0,55146845,660206799,176034803,0
I,면세점,1101049600,1100754750,1000686111,267599002,332811632,0,0,81744098,26858601,22176689,0,0,36024558,0,4643427,171447373,161364259,0
I,직영점(가두),118750300,117783670,107076051,28931007,78145044,0,0,0,2876564,2371897,0,0,4175963,0,0,9424424,68720620,0
I,대리점,482601800,463177640,421070496,119798417,151978856,0,0,0,12349654,9332521,0,0,16306716,0,0,37988891,113989965,0
I,제휴몰,617403600,601062270,546420220,156229496,390190724,0,0,0,26344208,12110799,0,146497841,21310376,0,0,206263224,183927500,0
I,자사몰,245292100,212535570,193214141,62689701,130524440,0,0,0,9309707,4283122,0,0,7538626,0,0,21131455,109392985,0
I,직영몰,311691700,301016060,273650943,75424326,198226617,0,41029412,0,7378467,6067656,3407799,0,10672397,90553869,10695169,169804769,28421848,0
I,사입,5659235000,1185788560,1077989615,1315974583,-237984968,0,0,0,40897337,23888868,0,0,64679402,0,0,129465607,-367450575,0
I,기타,13889000,6699970,6090889,-2347268,8438157,0,0,0,0,137220,0,0,365449,0,0,502669,7935488,0
M,공통,0,0,0,984853212,-984853212,0,0,0,0,0,0,0,0,0,0,0,-984853212,3550964549
M,백화점,6798092300,6455881530,5868983426,1214632605,2622495894,679807808,0,0,121258966,168304934,0,0,268598635,0,126652373,1364622716,1257873178,0
M,면세점,9708050100,9646347570,8769406873,1646813562,3775402186,0,0,443396546,179592316,251433308,0,0,379555007,0,12014780,1265991957,2509410229,0
M,RF,1946547600,1565032850,1422757156,358599462,758345533,33649157,42977946,0,37411786,40793231,13728818,0,63869310,119878123,15212821,367521192,390824341,0
M,직영점(가두),1313431700,1255821560,1141655979,235821913,905834066,0,114857601,0,23388318,32744769,28890273,0,51945378,408097418,45996247,705920004,199914062,0
M,대리점,4717092000,4506353760,4096685385,869837911,1741643890,0,0,0,85826464,117480896,0,0,182803666,0,0,386111026,1355532864,0
M,제휴몰,1965365600,1806065100,1641877389,315442503,1326434886,0,0,0,99962533,47076142,0,461675399,74705467,0,0,683419541,643015345,0
M,자사몰,601987600,532179793,483799813,109142495,374657318,0,0,0,29596677,13876947,19521490,0,22034248,0,0,85029362,289627956,0
M,직영몰,535843400,517581080,470528281,95605476,374922805,0,71934552,0,9647980,13495127,3705603,0,21409058,190717027,33866932,344776279,30146526,0
M,사입,7072341000,1247413090,1134011922,720039966,413971956,0,0,0,45357619,32529068,0,0,79380803,0,0,157267490,256704466,0
M,기타,12968200,6556690,5960631,-649289,6609920,0,0,0,704,200963,0,0,417239,0,0,618906,5991014,0
ST,공통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530538584
ST,백화점,81732200,54426430,49478577,20301239,13837591,50714072,0,0,3710851,2355084,0,0,1781219,0,16057572,74618798,-60781207,0
ST,면세점,56103700,52199990,47454539,12891466,14157648,0,0,18676364,3516188,2258867,0,0,1708366,0,2947917,29107702,-14950054,0
