브랜드,2025-01-04,2025-01-11,2025-01-18,2025-01-25,2025-01-31
I,892124290,2516600415,4250524455,5742589015,6685256320
M(면세),596303310,2986052090,6938449660,9321650020,9646347570
M(면세제외),2364495348,5423489266,9687362995,15351468325,17902731393
ST,52392240,114451120,233745640,339869810,433946140
V,352178580,910539150,1527401430,1974263120,2325473870
W,24977100,59982857,105285837,137520617,172218858
X,6361503770,16661128640,25619590850,32275075260,39587269520
