브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
M,아이템-채널,Acc_etc,백화점,23256200,22053090,27,5.2,16.2
M,아이템-채널,Acc_etc,사입,0,0,0,0.0,0.0
M,아이템-채널,Acc_etc,자사몰,2312100,2042213,2,11.7,78.4
M,아이템-채널,Acc_etc,제휴몰,5132200,5132200,6,0.0,63.8
M,아이템-채널,Acc_etc,직영몰,1752200,1560860,2,10.9,2.6
M,아이템-채널,Acc_etc,직영점(가두),11749700,11653340,14,0.8,45.9
M,아이템,Bag,전체,582365000,558109360,6,4.2,-46.4
M,아이템-채널,Bag,RF,19604000,15250160,3,22.2,-50.9
M,아이템-채널,Bag,기타,307000,153500,0,50.0,-43.8
M,아이템-채널,Bag,대리점,69589000,66836910,12,4.0,-69.3
M,아이템-채널,Bag,면세점,237953000,237953190,43,-0.0,30.7
M,아이템-채널,Bag,백화점,179586000,166020920,30,7.6,-69.8
M,아이템-채널,Bag,자사몰,11761000,9854890,2,16.2,14.6
M,아이템-채널,Bag,제휴몰,15040000,13926900,2,7.4,-39.7
M,아이템-채널,Bag,직영몰,4271000,3954560,1,7.4,-13.8
M,아이템-채널,Bag,직영점(가두),44254000,44158330,8,0.2,76.2
M,아이템,Headwear,전체,4165390000,4064017023,40,2.4,36.4
M,아이템-채널,Headwear,RF,315219000,277838400,7,11.9,238.4
M,아이템-채널,Headwear,기타,1265000,694180,0,45.1,5.1
M,아이템-채널,Headwear,대리점,465910000,452084170,11,3.0,106.9
M,아이템-채널,Headwear,면세점,1545463000,1545438950,38,0.0,-16.4
M,아이템-채널,Headwear,백화점,708588000,680268680,17,4.0,87.9
M,아이템-채널,Headwear,사입,-69000,-17250,0,75.0,-40.1
M,아이템-채널,Headwear,자사몰,133604000,116334643,3,12.9,114.3
M,아이템-채널,Headwear,제휴몰,401674000,401673680,10,0.0,77.7
M,아이템-채널,Headwear,직영몰,77382000,75746110,2,2.1,45.8
M,아이템-채널,Headwear,직영점(가두),516354000,513955460,13,0.5,284.2
M,아이템,Shoes,전체,3595828000,2980045995,29,17.1,-4.6
M,아이템-채널,Shoes,RF,286194000,242331590,8,15.3,-8.6
M,아이템-채널,Shoes,기타,373000,186070,0,50.1,-76.1
M,아이템-채널,Shoes,대리점,878689000,816724810,27,7.1,13.3
M,아이템-채널,Shoes,면세점,865235000,550230290,18,36.4,4.4
M,아이템-채널,Shoes,백화점,1211306000,1042591440,35,13.9,-12.3
M,아이템-채널,Shoes,자사몰,56492000,43403355,1,23.2,-18.9
M,아이템-채널,Shoes,제휴몰,97626000,87930210,3,9.9,-59.6
M,아이템-채널,Shoes,직영몰,33829000,31736410,1,6.2,-13.5
M,아이템-채널,Shoes,직영점(가두),166084000,164911820,6,0.7,45.2
M,아이템,과시즌의류,전체,46867000,36518860,0,22.1,-103.8
M,아이템-채널,과시즌의류,RF,368000,312200,1,15.2,143.9
M,아이템-채널,과시즌의류,기타,59000,29500,0,50.0,100.0
M,아이템-채널,과시즌의류,대리점,8280000,6980720,19,15.7,21.8
M,아이템-채널,과시즌의류,면세점,14356000,14356000,39,0.0,-57.3
M,아이템-채널,과시즌의류,백화점,7686000,4902760,13,36.2,-84.3
M,아이템-채널,과시즌의류,사입,0,40,0,0.0,-100.0
M,아이템-채널,과시즌의류,자사몰,5298000,3170740,9,40.2,-60.9
M,아이템-채널,과시즌의류,제휴몰,10137000,6295000,17,37.9,-57.9
M,아이템-채널,과시즌의류,직영몰,565000,353900,1,37.4,-76.5
M,아이템-채널,과시즌의류,직영점(가두),118000,118000,0,0.0,-82.3
M,아이템,당시즌의류,전체,2183092000,2046029769,20,6.3,0.7
M,아이템-채널,당시즌의류,RF,128064000,114693430,6,10.4,-8.7
M,아이템-채널,당시즌의류,기타,1839000,919500,0,50.0,-31.5
M,아이템-채널,당시즌의류,대리점,495289000,449011880,22,9.3,6.2
M,아이템-채널,당시즌의류,면세점,234799000,234799010,11,-0.0,-27.2
M,아이템-채널,당시즌의류,백화점,743316000,684080430,33,8.0,-6.9
M,아이템-채널,당시즌의류,자사몰,84077000,76800569,4,8.7,-3.5
M,아이템-채널,당시즌의류,제휴몰,190017000,190016960,9,0.0,10.0
M,아이템-채널,당시즌의류,직영몰,85614000,79202100,4,7.5,28.9
M,아이템-채널,당시즌의류,직영점(가두),220077000,216505890,11,1.6,96.5
M,아이템,차시즌의류,전체,371733000,359937538,4,3.2,-53.4
M,아이템-채널,차시즌의류,RF,23720000,21756210,6,8.3,-6.3
M,아이템-채널,차시즌의류,기타,99000,49500,0,50.0,-89.9
M,아이템-채널,차시즌의류,대리점,59680000,57049470,16,4.4,-53.8
M,아이템-채널,차시즌의류,면세점,127201000,127200670,35,0.0,-60.2
M,아이템-채널,차시즌의류,백화점,89596000,83583720,23,6.7,-61.0
M,아이템-채널,차시즌의류,자사몰,9190000,8521098,2,7.3,-59.2
M,아이템-채널,차시즌의류,제휴몰,8690000,8690000,2,0.0,-37.5
M,아이템-채널,차시즌의류,직영몰,8009000,7764010,2,3.1,-49.2
