브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
I,아이템,Acc_etc,전체,29604400,28133922,1,5.0,-19.6
I,아이템-채널,Acc_etc,기타,187700,66390,0,64.6,-35.9
I,아이템-채널,Acc_etc,대리점,2424700,2326780,8,4.0,10.5
I,아이템-채널,Acc_etc,면세점,5135400,5135420,18,-0.0,21.8
I,아이템-채널,Acc_etc,백화점,13043400,12074830,43,7.4,-28.6
I,아이템-채널,Acc_etc,사입,-59000,-14750,0,75.0,100.0
I,아이템-채널,Acc_etc,자사몰,2393900,2133272,8,10.9,36.3
I,아이템-채널,Acc_etc,제휴몰,4150300,4145850,15,0.1,-17.3
I,아이템-채널,Acc_etc,직영몰,1551600,1489730,5,4.0,-57.3
I,아이템-채널,Acc_etc,직영점(가두),776400,776400,3,0.0,-51.0
I,아이템,Bag,전체,4508713000,2301770010,52,48.9,34.5
I,아이템-채널,Bag,기타,408000,204000,0,50.0,-61.4
I,아이템-채널,Bag,대리점,58529000,54059140,2,7.6,-14.0
I,아이템-채널,Bag,면세점,368469000,367505000,16,0.3,-11.6
I,아이템-채널,Bag,백화점,1378402000,1260536740,55,8.6,201.7
I,아이템-채널,Bag,사입,2455192000,399526080,17,83.7,-36.6
I,아이템-채널,Bag,자사몰,57603000,46618600,2,19.1,-0.1
I,아이템-채널,Bag,제휴몰,106661000,98986210,4,7.2,29.0
I,아이템-채널,Bag,직영몰,73005000,64032440,3,12.3,36.2
I,아이템-채널,Bag,직영점(가두),10444000,10301800,0,1.4,-21.6
I,아이템,Headwear,전체,424968000,353109176,8,16.9,22.4
I,아이템-채널,Headwear,기타,441000,216910,0,50.8,14.1
I,아이템-채널,Headwear,대리점,31181000,30281080,9,2.9,22.8
I,아이템-채널,Headwear,면세점,113255000,113192980,32,0.1,21.9
I,아이템-채널,Headwear,백화점,118299000,111562740,32,5.7,-5.0
I,아이템-채널,Headwear,사입,84722000,22942220,6,72.9,-9207.7
I,아이템-채널,Headwear,자사몰,8555000,7365286,2,13.9,28.6
I,아이템-채널,Headwear,제휴몰,29398000,29357000,8,0.1,26.3
I,아이템-채널,Headwear,직영몰,27353000,26446960,7,3.3,65.2
I,아이템-채널,Headwear,직영점(가두),11764000,11744000,3,0.2,35.5
I,아이템,Shoes,전체,328043000,311945843,7,4.9,-36.1
I,아이템-채널,Shoes,기타,494000,339370,0,31.3,-27.3
I,아이템-채널,Shoes,대리점,36066000,34402020,11,4.6,-17.1
I,아이템-채널,Shoes,면세점,40918000,40917990,13,0.0,-68.5
I,아이템-채널,Shoes,백화점,153440000,143467710,46,6.5,-32.2
I,아이템-채널,Shoes,사입,-89000,-22250,0,75.0,-74.0
I,아이템-채널,Shoes,자사몰,14067000,11301023,4,19.7,-3.7
I,아이템-채널,Shoes,제휴몰,49105000,48819990,16,0.6,-13.4
I,아이템-채널,Shoes,직영몰,24856000,23543190,8,5.3,-7.7
I,아이템-채널,Shoes,직영점(가두),9186000,9176800,3,0.1,-19.7
I,아이템,과시즌의류,전체,727713000,201384319,5,72.3,-47.6
I,아이템-채널,과시즌의류,기타,1185000,357290,0,69.8,-85.7
I,아이템-채널,과시즌의류,대리점,305000,339000,0,-11.1,-261.4
I,아이템-채널,과시즌의류,면세점,446000,436100,0,2.2,100.0
I,아이템-채널,과시즌의류,백화점,6902000,4787110,2,30.6,-89.6
I,아이템-채널,과시즌의류,사입,683021000,172446680,86,74.8,-47.9
I,아이템-채널,과시즌의류,자사몰,3432000,2850919,1,16.9,100.0
I,아이템-채널,과시즌의류,제휴몰,30281000,18090560,9,40.3,284.4
I,아이템-채널,과시즌의류,직영몰,1374000,1309660,1,4.7,100.0
I,아이템-채널,과시즌의류,직영점(가두),767000,767000,0,0.0,100.0
I,아이템,당시즌의류,전체,963092000,903134130,20,6.2,-16.2
I,아이템-채널,당시즌의류,기타,16367000,5068610,1,69.0,170.7
I,아이템-채널,당시즌의류,대리점,94245000,87526150,10,7.1,-2.0
I,아이템-채널,당시즌의류,면세점,141027000,141026990,16,0.0,-32.1
I,아이템-채널,당시즌의류,백화점,448833000,413785330,46,7.8,-19.6
I,아이템-채널,당시즌의류,자사몰,35602000,32350000,4,9.1,-43.3
I,아이템-채널,당시즌의류,제휴몰,140300000,140299980,16,0.0,-9.2
I,아이템-채널,당시즌의류,직영몰,60455000,56834070,6,6.0,102.1
I,아이템-채널,당시즌의류,직영점(가두),26263000,26243000,3,0.1,8.3
I,아이템,차시즌의류,전체,357617000,342386480,8,4.3,-13.6
I,아이템-채널,차시즌의류,기타,0,0,0,0.0,-100.0
I,아이템-채널,차시즌의류,대리점,39980000,38517460,11,3.7,30.9
I,아이템-채널,차시즌의류,면세점,52844000,52843990,15,0.0,-12.0
I,아이템-채널,차시즌의류,백화점,196948000,185380840,54,5.9,-26.7
