브랜드,2025-01-04,2025-01-11,2025-01-18,2025-01-25,2025-01-31
I,4.14,11.67,19.71,26.63,31.0
M(면세),1.92,9.6,22.3,29.96,31.0
M(면세제외),4.09,9.39,16.77,26.58,31.0
ST,3.74,8.18,16.7,24.28,31.0
V,4.69,12.14,20.36,26.32,31.0
W,4.5,10.8,18.95,24.75,31.0
X,4.98,13.05,20.06,25.27,31.0
