브랜드,X,X,X,X,X,X,X,X,X,X,X,X
Version,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,아울렛(직영),사입,수출,직영(가두)2,아울렛(직영)2
Measure units,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],52981556,13820857,1386373,494461,1542715,4851728,8135411,8015101,7820292,4690947,958843,1264828
실판매액 [v+],35228955,10597524,1250000,466000,1333143,3926857,7418330,5453506,1318030,2110926,887000,467640
실판매액 [v-],32218225,9634112,1136364,423636,1211948,3569870,6743936,4957733,1198209,2110926,806364,425127
수수료차감매출 [v-],26175283,6347321,681818,423636,1211948,3569870,4442331,4957733,1198209,2110926,806364,425127
할인율(%),33.51,23.32,9.84,5.76,13.58,19.06,8.81,31.96,83.15,55,7.49,63.03
출고율(%),81.73,65.88,60,100,100,100,65.87,100,100,100,100,100
매출(출고),26175283,6347321,681818,423636,1211948,3569870,4442331,4957733,1198209,2110926,806364,425127
매출원가,11887481,3139515,319543,113760,354852,1097700,1875610,1760306,1653687,1089072,221436,261999
재고평가감_환입,466288,124565,473,290,926,36107,25043,202050,,,583,76252
재고평가감_설정,535522,,,,,,,,,,,
재고자산평가,69234,-124565,-473,-290,-926,-36107,-25043,-202050,,,-583,-76252
원가,11956715,3014950,319069,113470,353926,1061593,1850567,1558256,1653687,1089072,220853,185748
매출원가율(%),37.12,32.59,28.12,26.85,29.28,30.75,27.81,35.51,138.01,56.75,27.46,61.63
직접제조원가율(%),24.68,24.99,25.35,25.31,25.3,24.89,25.36,24.16,23.26,25.54,25.4,22.79
매출총이익,14218568,3332370,362749,310166,858022,2508277,2591763,3399477,-455478,1021854,585510,239380
매출총이익율(%),44.4,34.59,31.92,73.22,70.8,70.26,38.43,68.57,-38.01,53.25,72.61,56.31
지급수수료_중간관리수수료,1108453,1108453,,,,,,,,,,
지급수수료_중간관리수수료(직영),675485,,,39431,,,,511115,,,99782,25157
지급수수료_판매사원도급비(직영),54131,,,54131,,,,,,,,
지급수수료_판매사원도급비(면세),77181,,77181,,,,,,,,,
지급수수료_물류용역비,589423,188611,22247,8294,23727,69889,132029,97060,23458,,15787,8323
지급수수료_물류운송비,116348,37230,4391,1637,4683,13796,26062,19159,4630,,3116,1643
지급수수료_이천보관료,668424,213891,25229,9405,26907,79256,149725,110069,26602,,17902,9438
지급수수료_카드수수료,100961,,,8050,35082,,,34704,,,14197,8928
지급수수료_온라인위탁판매수수료,854594,,,,,854594,,,,,,
지급수수료_로열티,755229,202316,23864,8896,25451,74967,141623,104112,107839,40299,16934,8928
지급임차료_매장(변동),1140330,,,22738,,,,943697,,,173895,
지급임차료_매장(고정),160770,770,,160000,,,,,,,,
지급임차료_관리비,181551,,,,,,,147697,,,33854,
감가상각비_임차시설물,209310,95672,3592,235,,,,88763,,,20813,236
직접비,6692192,1846944,156504,312817,115850,1092502,449438,2056376,162529,40299,396280,62652
직접이익,7526376,1485426,206244,-2651,742172,1415775,2142325,1343101,-618007,981554,189230,176728
직접이익율(%),23.36,15.42,18.15,-0.63,61.24,39.66,31.77,27.09,-51.58,46.5,23.47,41.57
일반 관리비,4636335,1290914,152266,132670,360378,527612,894690,670996,158961,3149,250412,69986
영업이익,2890041,194512,53978,-135321,381794,888163,1247636,672105,-776968,978405,-61182,106742
영업이익율(%),9.02,2.02,4.75,-31.94,31.5,24.88,18.5,13.56,-64.84,50.98,-7.59,25.11
