브랜드,Version,채널,TAG가 [v+],실판매액 [v+],실판매액 [v-],수수료차감매출 [v-],할인율(%),출고율(%),매출(출고),매출원가,재고평가감_환입,재고평가감_설정,재고자산평가,매출원가(환입후),매출원가율(%),직접제조원가율(%),매출총이익,매출총이익율(%),지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비,직접이익,직접이익율(%),영업비,영업이익,영업이익율(%)
I,F02_2026_R,내수합계,"13,599,283,000","8,061,600,000","7,328,727,000","5,777,804,000",40.7,78.8,"5,777,804,000",3341955000.0,"258,079,000","117,655,000","-140,424,000","3,201,531,000",43.7,25.9,"2,576,273,000",35.1,"423,001,000","51,981,000","25,564,000","86,201,000","182,908,000","46,804,000","170,938,000","4,767,000","298,888,000","307,189,000","105,034,000","1,275,000","13,483,000","51,636,000","1,769,667,000","806,606,000",11.0,"1,198,035,000","-391,429,000",-5.3
I,F02_2026_R,백화점,"3,789,529,000","3,537,000,000","3,215,454,000","2,048,554,000",6.7,63.7,"2,048,554,000",970089000.0,"1,754,000",0,"-1,754,000","968,335,000",30.1,28.1,"1,080,219,000",33.6,"423,001,000",,,,"80,250,000","20,535,000","74,998,000",,,"122,913,000",,,,"41,316,000","763,013,000","317,205,000",9.9,"472,565,000","-155,360,000",-4.8
I,F02_2026_R,면세점,"524,365,000","517,000,000","470,000,000","282,000,000",1.4,60.0,"282,000,000",134155000.0,"42,000",0,"-42,000","134,112,000",28.5,28.1,"147,888,000",31.5,,,,"86,201,000","11,730,000","3,002,000","10,962,000",,,"16,920,000",,"1,275,000",,"2,719,000","132,809,000","15,078,000",3.2,"69,073,000","-53,994,000",-11.5
I,F02_2026_R,직영점(가두),"131,402,000","126,000,000","114,545,000","114,545,000",4.1,100.0,"114,545,000",33625000.0,"34,000",0,"-34,000","33,591,000",29.3,28.1,"80,954,000",70.7,,,"25,564,000",,"2,859,000","732,000","2,672,000",,,"4,467,000","9,870,000",,,"1,191,000","47,355,000","33,599,000",29.3,"23,377,000","10,222,000",8.9
I,F02_2026_R,대리점,"654,565,000","614,000,000","558,182,000","362,159,000",6.2,64.9,"362,159,000",167549000.0,"-60,000",0,"60,000","167,609,000",30.0,28.2,"194,551,000",34.9,,,,,"13,931,000","3,565,000","13,019,000",,,"21,730,000",,,,,"52,244,000","142,306,000",25.5,"80,700,000","61,607,000",11.0
I,F02_2026_R,제휴몰,"1,144,255,000","1,119,000,000","1,017,273,000","1,017,273,000",2.2,100.0,"1,017,273,000",292737000.0,"8,105,000",0,"-8,105,000","284,631,000",28.0,27.4,"732,641,000",72.0,,,,,"25,389,000","6,497,000","23,727,000",,"298,888,000","39,674,000",,,,,"394,174,000","338,468,000",33.3,"159,576,000","178,892,000",17.6
I,F02_2026_R,자사몰,"439,998,000","381,000,000","346,364,000","346,364,000",13.4,100.0,"346,364,000",112491000.0,"55,000",0,"-55,000","112,436,000",32.5,28.1,"233,927,000",67.5,,,,,"8,644,000","2,212,000","8,079,000",,,"13,508,000",,,,,"32,443,000","201,484,000",58.2,"106,028,000","95,456,000",27.6
I,F02_2026_R,직영몰,"474,442,000","442,000,000","401,818,000","401,818,000",6.8,100.0,"401,818,000",121475000.0,"45,000",0,"-45,000","121,429,000",30.2,28.1,"280,389,000",69.8,,"51,981,000",,,"10,028,000","2,566,000","9,372,000","4,767,000",,"15,671,000","95,164,000",,"13,483,000","6,409,000","209,442,000","70,947,000",17.7,"82,232,000","-11,285,000",-2.8
I,F02_2026_R,사입,"6,440,727,000","1,325,600,000","1,205,091,000","1,205,091,000",79.4,100.0,"1,205,091,000",1509835000.0,"248,104,000",0,"-248,104,000","1,261,732,000",104.7,21.6,"-56,641,000",-4.7,,,,,"30,076,000","7,696,000","28,108,000",,,"72,305,000",,,,,"138,186,000","-194,826,000",-16.2,"174,227,000","-369,054,000",-30.6
M,F02_2026_R,내수합계,"39,872,355,000","29,159,055,000","26,508,232,000","19,758,795,000",26.9,74.5,"19,758,795,000",7030321000.0,"148,126,000","208,568,000","60,442,000","7,090,764,000",26.8,19.6,"12,668,031,000",47.8,"690,270,000","76,710,000","173,940,000","496,711,000","508,824,000","199,502,000","601,071,000","84,671,000","377,129,000","1,257,074,000","138,797,000","589,357,000","84,480,000","192,673,000","5,471,209,000","7,196,822,000",27.1,"3,701,123,000","3,495,699,000",13.2
M,F02_2026_R,백화점,"6,657,241,000","6,402,680,000","5,820,618,000","3,795,589,000",3.8,65.2,"3,795,589,000",1121924000.0,0,0,,"1,121,924,000",19.3,18.5,"2,673,666,000",45.9,"650,807,000",,,,"111,726,000","43,806,000","131,982,000",,,"265,691,000",,"700,000",,"80,049,000","1,284,763,000","1,388,903,000",23.9,"713,947,000","674,956,000",11.6
M,F02_2026_R,면세점,"8,895,675,000","8,750,000,000","7,954,545,000","4,931,818,000",1.6,62.0,"4,931,818,000",1498804000.0,0,0,,"1,498,804,000",18.8,18.5,"3,433,014,000",43.2,,,,"496,711,000","152,687,000","59,866,000","180,368,000",,,"345,227,000",,"6,525,000",,"11,870,000","1,253,254,000","2,179,760,000",27.4,"975,756,000","1,204,004,000",15.1
M,F02_2026_R,RF,"2,098,069,000","1,923,490,000","1,748,628,000","1,314,211,000",8.3,75.2,"1,314,211,000",352878000.0,0,0,,"352,878,000",20.2,18.5,"961,334,000",55.0,"39,463,000","40,894",,,"33,565,000","13,160,000","39,649,000","12,080,000",,"77,829,000",,"81,225,000","41,935,000","16,731,000","396,533,000","564,802,000",32.3,"268,486,000","296,315,000",16.9
M,F02_2026_R,직영점(가두),"2,521,124,000","2,168,142,000","1,971,039,000","1,971,039,000",14.0,100.0,"1,971,039,000",423853000.0,0,0,,"423,853,000",21.5,18.5,"1,547,186,000",78.5,,,"173,940,000",,"37,834,000","14,835,000","44,694,000","46,710,000",,"89,683,000","16,679,000","498,000,000","10,887,000","51,611,000","943,976,000","603,210,000",30.6,"349,876,000","253,335,000",12.8
M,F02_2026_R,대리점,"4,429,245,000","4,210,813,000","3,828,011,000","2,560,747,000",4.9,66.9,"2,560,747,000",746077000.0,0,0,,"746,077,000",19.5,18.5,"1,814,670,000",47.4,,,,,"73,478,000","28,810,000","86,799,000",,,"179,252,000",,,,,"368,340,000","1,446,330,000",37.8,"468,635,000","977,695,000",25.5
M,F02_2026_R,제휴몰,"1,723,323,000","1,677,000,000","1,524,545,000","1,524,545,000",2.7,100.0,"1,524,545,000",290541000.0,0,0,,"290,541,000",19.1,18.6,"1,234,004,000",80.9,,,,,"29,264,000","11,474,000","34,569,000",,"377,129,000","69,367,000",,,,,"521,802,000","712,202,000",46.7,"228,593,000","483,608,000",31.7
M,F02_2026_R,자사몰,"763,989,000","622,875,000","566,250,000","566,250,000",18.5,100.0,"566,250,000",127448000.0,0,0,,"127,448,000",22.5,18.4,"438,801,000",77.5,,,,,"10,869,000","4,261,000","12,840,000","21,745,000",,"25,765,000",,,,,"75,480,000","363,321,000",64.2,"170,988,000","192,333,000",34.0
M,F02_2026_R,직영몰,"673,357,000","555,000,000","504,545,000","504,545,000",17.6,100.0,"504,545,000",114586000.0,0,0,,"114,586,000",22.7,18.7,"389,960,000",77.3,,"76,710,000",,,"9,685,000","3,797,000","11,441,000","4,136,000",,"22,957,000","122,119,000","2,907,000","31,658,000","20,612,000","306,020,000","83,939,000",16.6,"85,129,000","-1,189,000",-0.2
M,F02_2026_R,사입,"12,110,332,000","2,849,055,000","2,590,050,000","2,590,050,000",76.5,100.0,"2,590,050,000",2354211000.0,"148,126,000",0,"-148,126,000","2,206,085,000",85.2,20.0,"383,965,000",14.8,,,,,"49,716,000","19,493,000","58,729,000",,,"181,303,000",,,,,"309,241,000","74,724,000",2.9,"317,081,000","-242,357,000",-9.4
ST,F02_2026_R,내수합계,"933,773,000","590,000,000","536,364,000","506,009,000",36.8,94.3,"506,009,000",226903000.0,"177,262,000","122,755,000","-54,507,000","172,396,000",32.1,20.3,"333,613,000",62.2,"2,273,000","40,261,000","18,545,000","13,955,000","31,619,000","85,507,000","37,935,000","4,171,000","37,557,000","19,309,000","54,235,000","3,635,000","9,674,000","27,098,000","385,774,000","-52,161,000",-9.7,"667,185,000","-719,346,000",-134.1
ST,F02_2026_R,백화점,"11,685,000","10,000,000","9,091,000","6,100,000",14.4,67.1,"6,100,000",2911000.0,"594,000",0,"-594,000","2,317,000",25.5,21.8,"3,783,000",41.6,"2,273,000",,,,"536,000","1,449,000","643,000",,,"327,000",,,,"8,628,000","13,856,000","-10,074,000",-110.8,"10,645,000","-20,719,000",-227.9
ST,F02_2026_R,면세점,"73,526,000","70,000,000","63,636,000","36,273,000",4.8,57.0,"36,273,000",18284000.0,"15,755,000",0,"-15,755,000","2,529,000",4.0,3.8,"33,743,000",53.0,,,,"13,955,000","3,751,000","10,145,000","4,501,000",,,"2,291,000",,,,"2,948,000","37,590,000","-3,847,000",-6.0,"74,516,000","-78,363,000",-123.1
ST,F02_2026_R,직영점(가두),"85,289,000","80,000,000","72,727,000","72,727,000",6.2,100.0,"72,727,000",21229000.0,0,0,,"21,229,000",29.2,27.4,"51,498,000",70.8,,,"18,545,000",,"4,287,000","11,594,000","5,144,000",,,"2,618,000","2,545,000",,,,"44,734,000","6,764,000",9.3,"99,368,000","-92,604,000",-127.3
ST,F02_2026_R,제휴몰,"258,757,000","130,000,000","118,182,000","118,182,000",49.8,100.0,"118,182,000",61898000.0,"80,095,000",0,"-80,095,000","-18,197,000",-15.4,-7.7,"136,379,000",115.4,,,,,"6,967,000","18,840,000","8,359,000",,"37,557,000","4,255,000",,,,,"75,978,000","60,401,000",51.1,"144,244,000","-83,842,000",-70.9
ST,F02_2026_R,자사몰,"167,767,000","120,000,000","109,091,000","109,091,000",28.5,100.0,"109,091,000",42446000.0,"28,709,000",0,"-28,709,000","13,737,000",12.6,9.0,"95,354,000",87.4,,,,,"6,431,000","17,391,000","7,716,000","3,382,000",,"3,927,000",,,,,"38,847,000","56,507,000",51.8,"133,482,000","-76,975,000",-70.6
ST,F02_2026_R,직영몰,"84,971,000","75,000,000","68,182,000","68,182,000",11.7,100.0,"68,182,000",21136000.0,"22,451,000",0,"-22,451,000","-1,316,000",-1.9,-1.7,"69,498,000",101.9,,"16,346,000",,,"4,019,000","10,870,000","4,822,000","789,000",,"2,455,000","40,198,000","3,635,000","8,062,000","13,324,000","104,520,000","-35,022,000",-51.4,"93,158,000","-128,180,000",-188.0
ST,F02_2026_R,아울렛,"251,779,000","105,000,000","95,455,000","95,455,000",58.3,100.0,"95,455,000",59000000.0,"29,658,000",0,"-29,658,000","29,341,000",30.7,12.8,"66,113,000",69.3,,"23,915,000",,,"5,627,000","15,217,000","6,751,000",,,"3,436,000","11,492,000",,"1,612,000","2,198,000","70,249,000","-4,135,000",-4.3,"111,773,000","-115,909,000",-121.4
V,F02_2026_R,내수합계,"4,013,744,000","2,650,000,000","2,409,091,000","2,120,965,000",34.0,88.0,"2,120,965,000",809555000.0,"160,305,000","82,736,000","-77,570,000","731,986,000",30.4,20.1,"1,388,980,000",57.7,"151,081,000","97,544,000",,,"16,966,000","74,899,000","54,502,000","99,837,000",,"60,227,000","101,255,000",,"17,842,000","29,415,000","703,569,000","685,411,000",28.4,"682,125,000","3,286,000",0.1
V,F02_2026_R,백화점,"1,489,429,000","1,245,000,000","1,131,818,000","843,693,000",16.4,74.5,"843,693,000",309099000.0,"18,499,000",0,"-18,499,000","290,600,000",25.7,21.5,"553,092,000",48.9,"151,081,000",,,,"7,971,000","35,189,000","25,606,000",,,"28,295,000",,,,"18,059,000","266,201,000","286,892,000",25.4,"300,810,000","-13,918,000",-1.2
