브랜드,V,V,V,V,V,V,V
Version,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R
채널,Unassigned,(브랜드) 백화점,직영점(가두),온라인(자사),온라인(제휴),아울렛(직영),직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],4013744,1489429,167390,221541,734453,1352861,48069
실판매액 [v+],2650000,1245000,145000,185000,496074,538926,40000
실판매액 [v-],2409091,1131818,131818,168182,450976,489933,36364
수수료차감매출 [v-],2120965,843693,131818,168182,450976,489933,36364
할인율(%),33.98,16.41,13.38,16.49,32.46,60.16,16.79
출고율(%),88.04,74.54,100,100,100,100,100
매출(출고),2120965,843693,131818,168182,450976,489933,36364
매출원가,809555,309099,34556,45943,148532,261447,9977
재고평가감_환입,160305,18499,,27694,23952,88791,1370
재고평가감_설정,82736,,,,,,
재고자산평가,-77570,-18499,,-27694,-23952,-88791,-1370
원가,731986,290600,34556,18250,124580,172657,8607
매출원가율(%),33.6,27.31,26.21,27.32,32.94,53.36,27.44
직접제조원가율(%),22.19,22.83,22.71,22.81,22.25,21.26,22.83
매출총이익,1388980,553092,97262,149932,326396,317276,27757
매출총이익율(%),57.66,48.87,73.79,89.15,72.38,64.76,76.33
지급수수료_중간관리수수료,151081,151081,,,,,
지급수수료_중간관리수수료(직영),97544,,,,,87758,9786
지급수수료_물류용역비,16966,7971,928,1184,3176,3450,256
지급수수료_물류운송비,74899,35189,4098,5229,14021,15232,1131
지급수수료_이천보관료,54502,25606,2982,3805,10203,11084,823
지급수수료_카드수수료,99837,,,4373,94304,501,660
지급수수료_로열티,60227,28295,3295,4205,11274,12248,909
지급임차료_매장(변동),101255,,27682,,,52922,20651
지급임차료_관리비,17842,,,,,12053,5789
감가상각비_임차시설물,29415,18059,,,,4168,7188
직접비,703569,266201,38986,18795,132978,199417,47192
직접이익,685411,286892,58276,131137,193418,117860,-19435
직접이익율(%),28.45,25.35,44.21,77.97,42.89,24.06,-53.45
일반 관리비,682125,300810,69947,43966,117894,130212,19296
영업이익,3286,-13918,-11671,87171,75524,-12353,-38731
영업이익율(%),0.14,-1.23,-8.85,51.83,16.75,-2.52,-106.51
