브랜드,ST,ST,ST,ST,ST,ST,ST,ST
Version,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),아울렛(직영),직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],933773,11685,73526,85289,167767,258757,251779,84971
실판매액 [v+],590000,10000,70000,80000,120000,130000,105000,75000
실판매액 [v-],536364,9091,63636,72727,109091,118182,95455,68182
수수료차감매출 [v-],506009,6100,36273,72727,109091,118182,95455,68182
할인율(%),36.82,14.42,4.8,6.2,28.47,49.76,58.3,11.73
출고율(%),94.34,67.1,57,100,100,100,100,100
매출(출고),506009,6100,36273,72727,109091,118182,95455,68182
매출원가,226903,2911,18284,21229,42446,61898,59000,21136
재고평가감_환입,177262,594,15755,,28709,80095,29658,22451
재고평가감_설정,122755,,,,,,,
재고자산평가,-54507,-594,-15755,,-28709,-80095,-29658,-22451
원가,172396,2317,2529,21229,13737,-18197,29341,-1316
매출원가율(%),42.3,32.02,28.73,29.19,38.91,52.38,61.81,31
직접제조원가율(%),26.73,27.4,27.35,27.38,27.83,26.31,25.78,27.36
매출총이익,333613,3783,33743,51498,95354,136379,66113,69498
매출총이익율(%),62.2,41.61,53.03,70.81,87.41,115.4,69.26,101.93
지급수수료_중간관리수수료,2273,2273,,,,,,
지급수수료_중간관리수수료(직영),40261,,,,,,23915,16346
지급수수료_판매사원도급비(직영),18545,,,18545,,,,
지급수수료_판매사원도급비(면세),13955,,13955,,,,,
지급수수료_물류용역비,31619,536,3751,4287,6431,6967,5627,4019
지급수수료_물류운송비,85507,1449,10145,11594,17391,18840,15217,10870
지급수수료_이천보관료,37935,643,4501,5144,7716,8359,6751,4822
지급수수료_카드수수료,4171,,,,3382,,,789
지급수수료_온라인위탁판매수수료,37557,,,,,37557,,
지급수수료_로열티,19309,327,2291,2618,3927,4255,3436,2455
지급임차료_매장(변동),54235,,,2545,,,11492,40198
지급임차료_매장(고정),3635,,,,,,,3635
지급임차료_관리비,9674,,,,,,1612,8062
감가상각비_임차시설물,27098,8628,2948,,,,2198,13324
직접비,385774,13856,37590,44734,38847,75978,70249,104520
직접이익,-52161,-10074,-3847,6764,56507,60401,-4135,-35022
직접이익율(%),-9.72,-110.81,-6.05,9.3,51.8,51.11,-4.33,-51.37
일반 관리비,667185,10645,74516,99368,133482,144244,111773,93158
영업이익,-719346,-20719,-78363,-92604,-76975,-83842,-115909,-128180
영업이익율(%),-134.12,-227.91,-123.14,-127.33,-70.56,-70.94,-121.43,-188
