브랜드,유통채널,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급임차료_매장(변동),지급임차료_관리비
I,1,13.16%,0%,0%,0%,2.50%,0.64%,2.33%,0%,0%,0%,0%
I,2,0%,0%,0%,18.34%,2.50%,0.64%,2.33%,0%,0%,0%,0%
I,3,0%,0%,22.32%,0%,2.50%,0.64%,2.33%,0%,0%,8.62%,0%
I,4,0%,0%,0%,0%,2.50%,0.64%,2.33%,0%,0%,0%,0%
I,5,0%,0%,0%,0%,2.50%,0.64%,2.33%,0%,29.38%,0%,0%
I,6,0%,0%,0%,0%,2.50%,0.64%,2.33%,0%,0%,0%,0%
I,8,0%,0%,0%,0%,2.50%,0.64%,2.33%,0%,0%,0%,0%
I,11,0%,12.94%,0%,0%,2.50%,0.64%,2.33%,1.19%,0%,23.68%,3.36%
I,99,0%,0%,0%,0%,2.50%,0.64%,0%,0%,0%,0%,0%
M,1,10.51%,0%,0%,0%,1.92%,0.75%,2.27%,0%,0%,0%,0%
M,2,0%,0%,0%,6.24%,1.92%,0.75%,2.27%,0%,0%,0%,0%
M,3,0%,0%,7.41%,0%,1.92%,0.75%,2.27%,2.30%,0%,0.71%,2.25%
M,4,0%,0%,0%,0%,1.92%,0.75%,2.27%,3.46%,0%,0%,0%
M,5,0%,0%,0%,0%,1.92%,0.75%,2.27%,0%,24.74%,0%,0%
M,6,0%,0%,0%,0%,1.92%,0.75%,2.27%,0%,0%,0%,0%
M,8,0%,0%,0%,0%,1.92%,0.75%,2.27%,0%,0%,0%,0%
M,11,0%,15.20%,0%,0%,1.92%,0.75%,2.27%,0.82%,0%,24.20%,6.27%
M,99,0%,0%,0%,0%,1.92%,0.75%,0%,0%,0%,0%,0%
ST,1,25.00%,0%,0%,0%,5.90%,15.94%,7.07%,0%,0%,0%,0%
ST,2,0%,0%,0%,21.93%,5.89%,15.94%,7.07%,0%,0%,0%,0%
ST,3,0%,0%,25.50%,0%,5.89%,15.94%,7.07%,0%,0%,3.50%,0%
ST,4,0%,0%,0%,0%,5.90%,15.94%,7.07%,3.10%,0%,0%,0%
ST,5,0%,0%,0%,0%,5.90%,15.94%,7.07%,0%,31.78%,0%,0%
ST,7,0%,25.05%,0%,0%,5.89%,15.94%,7.07%,0%,0%,12.04%,1.69%
ST,11,0%,23.97%,0%,0%,5.89%,15.94%,7.07%,1.16%,0%,58.96%,11.82%
V,1,13.35%,0%,0%,0%,0.70%,3.11%,2.26%,0%,0%,0%,0%
V,3,0%,0%,0%,0%,0.70%,3.11%,2.26%,0%,0%,21.00%,0%
V,4,0%,0%,0%,0%,0.70%,3.11%,2.26%,2.60%,0%,0%,0%
V,5,0%,0%,0%,0%,0.70%,3.11%,2.26%,20.91%,0%,0%,0%
V,7,0%,17.91%,0%,0%,0.70%,3.11%,2.26%,0.10%,0%,10.80%,2.46%
V,11,0%,26.91%,0%,0%,0.70%,3.11%,2.26%,1.81%,0%,56.79%,15.92%
W,4,0%,0%,0%,0%,14.83%,16.61%,15.48%,2.41%,0%,0%,0%
W,5,0%,0%,0%,0%,14.83%,16.61%,15.48%,0%,28.47%,0%,0%
X,1,11.51%,0%,0%,0%,1.96%,0.39%,2.22%,0%,0%,0%,0%
X,2,0%,0%,0%,6.79%,1.96%,0.39%,2.22%,0%,0%,0%,0%
X,3,0%,9.31%,12.78%,0%,1.96%,0.39%,2.22%,1.90%,0%,5.37%,0%
X,4,0%,0%,0%,0%,1.96%,0.39%,2.22%,2.89%,0%,0%,0%
X,5,0%,0%,0%,0%,1.96%,0.39%,2.22%,0%,23.94%,0%,0%
X,6,0%,0%,0%,0%,1.96%,0.39%,2.22%,0%,0%,0%,0%
X,7,0%,10.31%,0%,0%,1.96%,0.39%,2.22%,0.70%,0%,19.03%,2.98%
X,8,0%,0%,0%,0%,1.96%,0.39%,2.22%,0%,0%,0%,0%
X,11,0%,12.37%,0%,0%,1.96%,0.39%,2.22%,1.76%,0%,21.57%,4.20%
X,12,0%,5.92%,0%,0%,1.96%,0.39%,2.22%,2.10%,0%,0%,0%
X,99,0%,0%,0%,0%,1.96%,0.39%,0%,0%,0%,0%,0%
