브랜드,유통채널,채널,직접비항목,직접비값,실판매액V-,비율
I,1,(브랜드) 백화점,지급수수료_중간관리수수료,423001.0,3215454.0,13.155249616383877
I,1,(브랜드) 백화점,지급수수료_물류용역비,80250.0,3215454.0,2.4957595412654014
I,1,(브랜드) 백화점,지급수수료_물류운송비,20535.0,3215454.0,0.6386345442976327
I,1,(브랜드) 백화점,지급수수료_이천보관료,74998.0,3215454.0,2.332423352969752
I,1,(브랜드) 백화점,지급수수료_로열티,122913.0,3215454.0,3.8225706229975613
I,2,(브랜드) 면세점,지급수수료_판매사원도급비(면세),86201.0,470000.0,18.340638297872342
I,2,(브랜드) 면세점,지급수수료_물류용역비,11730.0,470000.0,2.4957446808510637
I,2,(브랜드) 면세점,지급수수료_물류운송비,3002.0,470000.0,0.6387234042553191
I,2,(브랜드) 면세점,지급수수료_이천보관료,10962.0,470000.0,2.332340425531915
I,2,(브랜드) 면세점,지급수수료_로열티,16920.0,470000.0,3.5999999999999996
I,3,직영점(가두),지급수수료_판매사원도급비(직영),25564.0,114545.0,22.31786634073945
I,3,직영점(가두),지급수수료_물류용역비,2859.0,114545.0,2.4959622855646253
I,3,직영점(가두),지급수수료_물류운송비,732.0,114545.0,0.6390501549609324
I,3,직영점(가두),지급수수료_이천보관료,2672.0,114545.0,2.3327076694748787
I,3,직영점(가두),지급수수료_로열티,4467.0,114545.0,3.8997773800689686
I,3,직영점(가두),지급임차료_매장(변동),9870.0,114545.0,8.616700859924048
I,4,온라인(자사),지급수수료_물류용역비,8644.0,346364.0,2.4956404245244888
I,4,온라인(자사),지급수수료_물류운송비,2212.0,346364.0,0.6386345001212597
I,4,온라인(자사),지급수수료_이천보관료,8079.0,346364.0,2.3325172362023765
I,4,온라인(자사),지급수수료_로열티,13508.0,346364.0,3.899943412132901
I,5,온라인(제휴),지급수수료_물류용역비,25389.0,1017273.0,2.4957902156058402
I,5,온라인(제휴),지급수수료_물류운송비,6497.0,1017273.0,0.6386682827520243
I,5,온라인(제휴),지급수수료_이천보관료,23727.0,1017273.0,2.3324122433211145
I,5,온라인(제휴),지급수수료_온라인위탁판매수수료,298888.0,1017273.0,29.38129685934847
I,5,온라인(제휴),지급수수료_로열티,39674.0,1017273.0,3.9000347006162555
I,6,대리점,지급수수료_물류용역비,13931.0,558182.0,2.495780945999692
I,6,대리점,지급수수료_물류운송비,3565.0,558182.0,0.6386805737196829
I,6,대리점,지급수수료_이천보관료,13019.0,558182.0,2.332393377070561
I,6,대리점,지급수수료_로열티,21730.0,558182.0,3.8929954745943083
I,8,사입,지급수수료_물류용역비,30076.0,1205091.0,2.495745134599794
I,8,사입,지급수수료_물류운송비,7696.0,1205091.0,0.6386239711357897
I,8,사입,지급수수료_이천보관료,28108.0,1205091.0,2.3324379652656937
I,8,사입,지급수수료_로열티,72305.0,1205091.0,5.999961828608794
I,11,직영(가두)2,지급수수료_중간관리수수료(직영),51981.0,401818.0,12.936453817399919
I,11,직영(가두)2,지급수수료_물류용역비,10028.0,401818.0,2.4956572378539534
I,11,직영(가두)2,지급수수료_물류운송비,2566.0,401818.0,0.6385975740260516
I,11,직영(가두)2,지급수수료_이천보관료,9372.0,401818.0,2.3323992454295226
I,11,직영(가두)2,지급수수료_카드수수료,4767.0,401818.0,1.1863580028769245
I,11,직영(가두)2,지급수수료_로열티,15671.0,401818.0,3.900024389151308
I,11,직영(가두)2,지급임차료_매장(변동),95164.0,401818.0,23.68335913274169
I,11,직영(가두)2,지급임차료_관리비,13483.0,401818.0,3.355499255882016
M,1,(브랜드) 백화점,지급수수료_중간관리수수료,690270.0,6569091.0,10.507846519404284
M,1,(브랜드) 백화점,지급수수료_물류용역비,126093.0,6569091.0,1.919489317471778
M,1,(브랜드) 백화점,지급수수료_물류운송비,49439.0,6569091.0,0.7526003217187888
M,1,(브랜드) 백화점,지급수수료_이천보관료,148953.0,6569091.0,2.2674826699767134
M,1,(브랜드) 백화점,지급수수료_로열티,298988.0,6569091.0,4.5514364163930745
M,2,(브랜드) 면세점,지급수수료_판매사원도급비(면세),496711.0,7954545.0,6.244367213963841
M,2,(브랜드) 면세점,지급수수료_물류용역비,152687.0,7954545.0,1.9194938239710757
M,2,(브랜드) 면세점,지급수수료_물류운송비,59866.0,7954545.0,0.7526011858629249
M,2,(브랜드) 면세점,지급수수료_이천보관료,180368.0,7954545.0,2.267483558141918
M,2,(브랜드) 면세점,지급수수료_로열티,345227.0,7954545.0,4.33999681942839
M,3,직영점(가두),지급수수료_판매사원도급비(직영),173940.0,2346364.0,7.413172039802861
M,3,직영점(가두),지급수수료_물류용역비,45038.0,2346364.0,1.9194805239084813
M,3,직영점(가두),지급수수료_물류운송비,17659.0,2346364.0,0.7526112742950369
M,3,직영점(가두),지급수수료_이천보관료,53204.0,2346364.0,2.2675083661358597
M,3,직영점(가두),지급수수료_카드수수료,53922.0,2346364.0,2.2981089038188447
M,3,직영점(가두),지급수수료_로열티,106760.0,2346364.0,4.550018667180369
M,3,직영점(가두),지급임차료_매장(변동),16679.0,2346364.0,0.7108445236970904
M,3,직영점(가두),지급임차료_관리비,52822.0,2346364.0,2.251227857229313
M,4,온라인(자사),지급수수료_물류용역비,14763.0,769091.0,1.919538780196362
M,4,온라인(자사),지급수수료_물류운송비,5788.0,769091.0,0.7525767431942384
M,4,온라인(자사),지급수수료_이천보관료,17439.0,769091.0,2.267482001479669
