브랜드,M,M,M,M,M,M,M,M,M,M,M
Version,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R,F02_2026_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,아울렛(직영),사입,수출,직영(가두)2
TAG가 [v+],115314194,7513295,8895675,3001197,1037664,1723323,4917512,,12110332,75441839,673357
실판매액 [v+],59883706,7226000,8750000,2581000,846000,1677000,4675000,,2849055,30724651,555000
실판매액 [v-],57232883,6569091,7954545,2346364,769091,1524545,4250000,,2590050,30724651,504545
수수료차감매출 [v-],50483446,4271261,4931818,2346364,769091,1524545,2821120,,2590050,30724651,504545
할인율(%),48.07,3.82,1.64,14,18.47,2.69,4.93,,76.47,59.27,17.58
출고율(%),92.73,65.02,62,100,100,100,66.38,,100,100,100
매출(출고),50483446,4271261,4931818,2346364,769091,1524545,2821120,,2590050,30724651,504545
매출원가,20055447,1266192,1498804,504563,173103,290541,828322,,2354211,13025126,114586
재고평가감_환입,148126,,,,,,,,148126,,
재고평가감_설정,208568,,,,,,,,,,
재고자산평가,60442,,,,,,,,-148126,,
원가,20115890,1266192,1498804,504563,173103,290541,828322,,2206085,13025126,114586
매출원가율(%),36.84,19.27,18.84,21.5,22.51,19.06,19.49,,90.89,46.63,22.71
직접제조원가율(%),19.13,18.54,18.53,18.49,18.35,18.55,18.53,,21.38,18.99,18.72
매출총이익,30367556,3005070,3433014,1841801,595988,1234004,1992798,,383965,17699525,389960
매출총이익율(%),55.78,45.75,43.16,78.5,77.49,80.94,46.89,,14.82,63.37,77.29
지급수수료_중간관리수수료,690270,690270,,,,,,,,,
지급수수료_중간관리수수료(직영),76710,,,,,,,,,,76710
지급수수료_판매사원도급비(직영),173940,,,173940,,,,,,,
지급수수료_판매사원도급비(면세),496711,,496711,,,,,,,,
지급수수료_물류용역비,508824,126093,152687,45038,14763,29264,81578,,49716,,9685
지급수수료_물류운송비,199502,49439,59866,17659,5788,11474,31986,,19493,,3797
지급수수료_이천보관료,601071,148953,180368,53204,17439,34569,96368,,58729,,11441
지급수수료_카드수수료,84671,,,53922,26613,,,,,,4136
지급수수료_온라인위탁판매수수료,377129,,,,,377129,,,,,
지급수수료_로열티,4329539,298988,345227,106760,34994,69367,197478,,181303,3072465,22957
지급임차료_매장(변동),138797,,,16679,,,,,,,122119
지급임차료_매장(고정),589357,2575,6525,577350,,,,,,,2907
지급임차료_관리비,84480,,,52822,,,,,,,31658
감가상각비_임차시설물,192673,83168,11870,65223,,,,11799,,,20612
직접비,8543674,1399488,1253254,1162596,99597,521802,407411,11799,309241,3072465,306020
직접이익,21823882,1605582,2179760,679205,496391,712202,1585388,-11799,74724,14627060,83939
직접이익율(%),38.13,24.44,27.4,28.95,64.54,46.72,37.3,,2.89,47.61,16.64
영업비,3701123,805758,975756,414200,231677,228593,520297,13,317081,13177,85129
영업이익,18122760,799824,1204004,265005,264714,483608,1065091,-11812,-242357,14613883,-1189
영업이익율(%),33.29,12.18,15.14,11.29,34.42,31.72,25.06,,-9.36,52.32,-0.24
