브랜드,아이템_중분류, 실판매액 
I,Bag,"1,930,248"
I,Headwear,"619,988"
I,Shoes,"1,131,639"
I,과시즌의류,"961,720"
I,당시즌의류,"799,998"
I,차시즌의류,"2,618,007"
M,Bag,"2,652,613"
M,Headwear,"10,110,045"
M,Shoes,8886416
M,과시즌의류,1458678
M,당시즌의류,"1,052,401"
M,차시즌의류,"4,998,902"
ST,Acc_etc,60
ST,Bag,30
ST,Headwear,527
ST,과시즌의류,"345,471"
ST,당시즌의류,83912
ST,차시즌의류,"160,000"
V,Acc_etc,"10,007"
V,Bag,"58,225"
V,Headwear,"6,573"
V,Shoes,"87,592"
V,과시즌의류,"696,821"
V,당시즌의류,1540782
V,차시즌의류,"250,000"
W,Bag,"3,763"
W,Headwear,"1,302"
W,Shoes,"30,437"
W,과시즌의류,"74,242"
W,당시즌의류,256
X,Acc_etc,"766,800"
X,Bag,"4,446,859"
X,Headwear,"864,943"
X,Shoes,"5,911,942"
X,과시즌의류,"6,021,694"
X,당시즌의류,"11,649,997"
X,차시즌의류,"3,455,794"
