브랜드코드,시즌,채널코드,채널명,매장코드 (SAP기준),제품계층1(대분류),제품계층2(중분류),아이템_중분류,제품계층3(소분류),아이템코드,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_로열티,지급수수료_물류용역비,지급수수료_카드수수료,지급임차료_매장(고정),감가상각비_임차시설물,지급수수료_중간관리수수료,지급수수료_판매사원도급비(면세),지급수수료_판매사원도급비(직영),지급수수료_온라인위탁판매수수료,지급수수료_이천보관료,직접비 합계,직접이익
M,24N,5,제휴몰,104642.0,ACC,Headwear,Headwear,운동모,CP,5862000,5862030,5329120,930552,4398568,242477,368448,0,0,0,0,0,0,1456106,144887,2211918,2186650
M,24N,5,제휴몰,104642.0,ACC,Shoes,Shoes,런닝화,RN,5282000,5282000,4801818,1278853,3522965,218483,331989,0,0,0,0,0,0,1312028,130547,1993047,1529918
M,24N,5,제휴몰,104642.0,ACC,Shoes,Shoes,스니커즈,SX,517000,517000,469999,87437,382562,21385,32495,0,0,0,0,0,0,128421,12784,195085,187477
M,24N,5,제휴몰,104807.0,ACC,Acc_etc,Acc_etc,양말,SO,16000,16000,14545,2497,12048,662,1006,0,0,0,0,0,0,4168,394,6230,5818
M,24N,5,제휴몰,104807.0,ACC,Bag,Bag,백팩,BK,149000,149000,135455,24861,110594,6163,9364,0,0,0,0,0,0,38816,3684,58027,52567
M,24N,5,제휴몰,104807.0,ACC,Bag,Bag,쇼퍼백,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,24N,5,제휴몰,104807.0,ACC,Bag,Bag,숄더백,BQ,2433000,2433000,2211819,406840,1804979,100638,152922,0,0,0,0,0,0,633826,60085,947471,857508
M,24N,5,제휴몰,104807.0,ACC,Bag,Bag,크로스백,CR,367000,367000,333636,64071,269565,15180,23067,0,0,0,0,0,0,95607,9060,142914,126651
M,24N,5,제휴몰,104807.0,ACC,Bag,Bag,힙색,HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,24N,5,제휴몰,104807.0,ACC,Headwear,Headwear,운동모,CP,1985000,1985000,1804548,307598,1496950,82107,124765,0,0,0,0,0,0,517115,49079,773066,723884
M,24N,5,제휴몰,104807.0,ACC,Headwear,Headwear,햇,HT,69000,69000,62727,10436,52291,2854,4337,0,0,0,0,0,0,17975,1715,26881,25410
M,24N,5,제휴몰,104807.0,ACC,Shoes,Shoes,런닝화,RN,99000,99000,90000,24453,65547,4095,6222,0,0,0,0,0,0,25791,2456,38564,26983
M,24N,5,제휴몰,104807.0,ACC,Shoes,Shoes,스니커즈,SX,1817000,1817000,1651818,350180,1301638,75158,114204,0,0,0,0,0,0,473350,44884,707596,594042
M,24N,5,제휴몰,104807.0,ACC,Shoes,Shoes,슬리퍼,LP,98000,98000,89091,23232,65859,4054,6160,0,0,0,0,0,0,25530,2410,38154,27705
M,24N,5,제휴몰,104807.0,ACC,Shoes,Shoes,신발,SH,7433000,7433010,6757282,1575691,5181591,307456,467185,0,0,0,0,0,0,1936382,183570,2894593,2286998
M,24N,5,제휴몰,104826.0,ACC,Acc_etc,Acc_etc,양말,SO,16000,16000,14545,2486,12059,662,1006,0,0,0,0,0,0,4690,400,6758,5301
M,24N,5,제휴몰,104826.0,ACC,Bag,Bag,숄더백,BQ,258000,258000,234546,43406,191140,10672,16214,0,0,0,0,0,0,75629,6345,108860,82280
M,24N,5,제휴몰,104826.0,ACC,Headwear,Headwear,운동모,CP,1033000,1033000,939091,157057,782034,42730,64927,0,0,0,0,0,0,302809,25457,435923,346111
M,24N,5,제휴몰,104826.0,ACC,Headwear,Headwear,햇,HT,-59000,-59000,-53636,-8095,-45541,-2440,-13,0,0,0,0,0,0,0,-1448,-3901,-41640
M,24N,5,제휴몰,104826.0,ACC,Shoes,Shoes,런닝화,RN,159000,159000,144545,28877,115668,6577,9993,0,0,0,0,0,0,46608,3912,67090,48578
M,24N,5,제휴몰,104826.0,ACC,Shoes,Shoes,스니커즈,SX,139000,139000,126364,27511,98853,5750,8736,0,0,0,0,0,0,40746,3419,58651,40202
M,24N,5,제휴몰,104826.0,ACC,Shoes,Shoes,신발,SH,495000,495000,450000,118387,331613,20475,31112,0,0,0,0,0,0,145102,12197,208886,122727
M,24N,5,제휴몰,104902.0,ACC,Headwear,Headwear,운동모,CP,987000,987000,897272,148959,748313,40827,62040,0,0,0,0,0,0,217144,24407,344418,403895
M,24N,5,제휴몰,104902.0,ACC,Headwear,Headwear,햇,HT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,24N,5,제휴몰,104902.0,ACC,Shoes,Shoes,런닝화,RN,159000,159000,144545,28877,115668,6577,9993,0,0,0,0,0,0,34981,3932,55483,60185
M,24N,5,제휴몰,104902.0,ACC,Shoes,Shoes,스니커즈,SX,616000,616000,559999,108722,451277,25480,38717,0,0,0,0,0,0,135523,15229,214949,236328
