브랜드코드,채널명,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익,영업비
I,공통,0,0,0,170753241,-170753241,0,0,0,0,0,0,0,0,0,0,0,-170753241,1089316137
I,백화점,3408043100,3078626000,2798750856,831934184,952637277,408285464,0,0,80235175,60168422,0,0,107043730,0,55146847,710879638,241757639,0
I,면세점,654066100,647465030,588604563,151438157,201724107,0,0,63788103,16649731,12653761,0,0,21187138,0,4643428,118922161,82801946,0
I,직영점(가두),101511000,99315430,90286748,24515971,65770777,0,0,0,2555460,1942663,0,0,3521183,0,0,8019306,57751471,0
I,대리점,527576300,493064870,448240733,130882035,160806509,0,0,0,13264936,9639463,0,0,17501342,0,0,40405741,120400768,0
I,제휴몰,914369900,825012900,750011700,216843002,533168698,0,0,0,42766910,16123709,0,221698446,29250479,0,0,309839544,223329154,0
I,자사몰,318483000,271967587,247243255,79912678,167330577,0,0,0,14085749,5315783,0,0,9638402,0,0,29039934,138290643,0
I,직영몰,317939900,296340830,269400748,76884074,192516674,0,38822171,0,7629972,5788663,3095390,0,10501000,86884895,10695171,163417262,29099412,0
I,사입,5816377700,1187333410,1079394007,1075022387,4371620,0,0,0,30584107,23205152,0,0,64763659,0,0,118552918,-114181298,0
I,기타,8376200,3383180,3075615,1349281,1726334,0,0,0,0,64750,0,0,184534,0,0,249284,1477050,0
M,공통,0,0,0,430782862,-430782862,0,0,0,0,0,0,0,0,0,0,0,-430782862,3730775667
M,백화점,6777861400,6460690860,5873355373,1248949938,2582333995,666228692,0,0,144294571,159531243,0,0,268180156,0,126648968,1364883630,1217450365,0
M,면세점,9909791000,9839154720,8944686106,1660661246,3873730010,0,0,441404266,217204127,242955673,0,0,387381463,0,12035355,1300980884,2572749126,0
M,RF,2150627600,1729279370,1572072163,398478662,820798812,33479755,47408088,0,46452857,42714472,11782151,0,70165254,121763828,15224249,388990654,431808158,0
M,직영점(가두),1257848300,1145329040,1041208221,221146958,820061263,0,98431440,0,25341525,28290638,24073228,0,47341153,408398070,45977171,677853225,142208038,0
