브랜드코드,채널명,아이템_중분류,제품계층3(소분류),아이템코드,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익
I,공통,Acc_etc,PET,PE,0,0,0,252572,-252572,0,0,0,0,0,0,0,0,0,0,0,-252572
I,공통,Acc_etc,고글,GG,0,0,0,203850,-203850,0,0,0,0,0,0,0,0,0,0,0,-203850
I,공통,Acc_etc,기타,ET,0,0,0,2561510,-2561510,0,0,0,0,0,0,0,0,0,0,0,-2561510
I,공통,Acc_etc,머플러(스카프),MF,0,0,0,1615719,-1615719,0,0,0,0,0,0,0,0,0,0,0,-1615719
I,공통,Acc_etc,장갑,GL,0,0,0,3204855,-3204855,0,0,0,0,0,0,0,0,0,0,0,-3204855
I,공통,Bag,크로스백,CR,0,0,0,98280,-98280,0,0,0,0,0,0,0,0,0,0,0,-98280
I,공통,Headwear,방한모,WM,0,0,0,3945872,-3945872,0,0,0,0,0,0,0,0,0,0,0,-3945872
I,공통,Headwear,비니,BN,0,0,0,4154742,-4154742,0,0,0,0,0,0,0,0,0,0,0,-4154742
I,공통,Headwear,운동모,CP,0,0,0,54617,-54617,0,0,0,0,0,0,0,0,0,0,0,-54617
I,공통,Headwear,햇,HT,0,0,0,700438,-700438,0,0,0,0,0,0,0,0,0,0,0,-700438
I,공통,Shoes,방한화,WB,0,0,0,5866244,-5866244,0,0,0,0,0,0,0,0,0,0,0,-5866244
I,공통,Shoes,스니커즈,SX,0,0,0,589680,-589680,0,0,0,0,0,0,0,0,0,0,0,-589680
I,공통,Shoes,신발,SH,0,0,0,14808,-14808,0,0,0,0,0,0,0,0,0,0,0,-14808
I,공통,과시즌의류,니트가디건,KC,0,0,0,13695301,-13695301,0,0,0,0,0,0,0,0,0,0,0,-13695301
I,공통,과시즌의류,니트풀오버,KP,0,0,0,6963807,-6963807,0,0,0,0,0,0,0,0,0,0,0,-6963807
I,공통,과시즌의류,다운베스트,DV,0,0,0,408361,-408361,0,0,0,0,0,0,0,0,0,0,0,-408361
I,공통,과시즌의류,다운점퍼,DJ,0,0,0,25048746,-25048746,0,0,0,0,0,0,0,0,0,0,0,-25048746
I,공통,과시즌의류,레깅스,LG,0,0,0,1339208,-1339208,0,0,0,0,0,0,0,0,0,0,0,-1339208
I,공통,과시즌의류,맨투맨,MT,0,0,0,10379028,-10379028,0,0,0,0,0,0,0,0,0,0,0,-10379028
I,공통,과시즌의류,맨투맨셋트,S2,0,0,0,3128579,-3128579,0,0,0,0,0,0,0,0,0,0,0,-3128579
I,공통,과시즌의류,반팔카라티셔츠,TS,0,0,0,1606454,-1606454,0,0,0,0,0,0,0,0,0,0,0,-1606454
I,공통,과시즌의류,반팔티 & 스웨트팬츠,S1,0,0,0,1403367,-1403367,0,0,0,0,0,0,0,0,0,0,0,-1403367
I,공통,과시즌의류,방풍자켓,WJ,0,0,0,3327641,-3327641,0,0,0,0,0,0,0,0,0,0,0,-3327641
I,공통,과시즌의류,보드바지,BP,0,0,0,358284,-358284,0,0,0,0,0,0,0,0,0,0,0,-358284
I,공통,과시즌의류,스커트,SK,0,0,0,10845298,-10845298,0,0,0,0,0,0,0,0,0,0,0,-10845298
I,공통,과시즌의류,우븐셔츠,WS,0,0,0,2149802,-2149802,0,0,0,0,0,0,0,0,0,0,0,-2149802
I,공통,과시즌의류,우븐팬츠,WP,0,0,0,13438079,-13438079,0,0,0,0,0,0,0,0,0,0,0,-13438079
I,공통,과시즌의류,원피스,OP,0,0,0,9067238,-9067238,0,0,0,0,0,0,0,0,0,0,0,-9067238
I,공통,과시즌의류,점퍼,JP,0,0,0,23658182,-23658182,0,0,0,0,0,0,0,0,0,0,0,-23658182
I,공통,과시즌의류,진바지,DP,0,0,0,240799,-240799,0,0,0,0,0,0,0,0,0,0,0,-240799
I,공통,과시즌의류,진자켓,DK,0,0,0,1447040,-1447040,0,0,0,0,0,0,0,0,0,0,0,-1447040
I,공통,과시즌의류,트레이닝 세트,S5,0,0,0,1198228,-1198228,0,0,0,0,0,0,0,0,0,0,0,-1198228
I,공통,과시즌의류,트레이닝(상의),TR,0,0,0,1320168,-1320168,0,0,0,0,0,0,0,0,0,0,0,-1320168
I,공통,과시즌의류,트레이닝(하의),TP,0,0,0,980280,-980280,0,0,0,0,0,0,0,0,0,0,0,-980280
I,공통,과시즌의류,팬츠,PT,0,0,0,9955561,-9955561,0,0,0,0,0,0,0,0,0,0,0,-9955561
I,공통,과시즌의류,폴라폴리스점퍼,FD,0,0,0,2143601,-2143601,0,0,0,0,0,0,0,0,0,0,0,-2143601
I,공통,과시즌의류,폴로 티셔츠,PQ,0,0,0,1693440,-1693440,0,0,0,0,0,0,0,0,0,0,0,-1693440
I,공통,과시즌의류,후드티,HD,0,0,0,1693562,-1693562,0,0,0,0,0,0,0,0,0,0,0,-1693562
I,공통,차시즌의류,반바지,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,공통,차시즌의류,반팔카라티셔츠,TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,공통,차시즌의류,반팔티 & 스웨트팬츠,S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,공통,차시즌의류,폴로 티셔츠,PQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,Acc_etc,PET,PE,69000,69000,62727,622,62105,0,0,0,0,1327,0,0,3764,0,0,5091,57014
I,기타,Acc_etc,양말,SO,186200,97340,88489,41921,46568,0,0,0,0,338,0,0,5311,0,0,5649,40919
I,기타,Acc_etc,장갑,GL,148000,77280,70254,24840,45414,0,0,0,0,1135,0,0,4215,0,0,5350,40064
I,기타,Bag,백팩,BK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,Bag,보조가방,UB,235000,142980,129982,61611,68371,0,0,0,0,0,0,0,7799,0,0,7799,60572
I,기타,Bag,크로스백,CR,59000,59000,53636,13264,40372,0,0,0,0,1135,0,0,3218,0,0,4353,36019
I,기타,Headwear,방한모,WM,69000,13000,11818,11381,437,0,0,0,0,0,0,0,709,0,0,709,-272
I,기타,Headwear,비니,BN,35000,22050,20045,4391,15654,0,0,0,0,0,0,0,1203,0,0,1203,14451
I,기타,Headwear,운동모,CP,-10000,-6300,-5727,-450,-5277,0,0,0,0,337,0,0,-344,0,0,-7,-5270
I,기타,Shoes,런닝화,RN,99000,35330,32118,21843,10275,0,0,0,0,3547,0,0,1927,0,0,5474,4801
I,기타,Shoes,방한화,WB,0,0,0,-15513,15513,0,0,0,0,0,0,0,0,0,0,0,15513
I,기타,Shoes,스니커즈,SX,119000,59500,54091,24053,30038,0,0,0,0,1392,0,0,3245,0,0,4637,25401
I,기타,Shoes,신발,SH,247000,164570,149609,46517,103092,0,0,0,0,2293,0,0,8976,0,0,11269,91823
I,기타,과시즌의류,니트가디건,KC,199000,31450,28591,9549,19042,0,0,0,0,1349,0,0,1715,0,0,3064,15978
I,기타,과시즌의류,다운점퍼,DJ,518000,114990,104536,-464604,569140,0,0,0,0,2407,0,0,6272,0,0,8679,560461
I,기타,과시즌의류,맨투맨셋트,S2,159000,24120,21927,11183,10744,0,0,0,0,0,0,0,1316,0,0,1316,9428
I,기타,과시즌의류,점퍼,JP,219000,46270,42064,-13404,55468,0,0,0,0,1035,0,0,2524,0,0,3559,51909
I,기타,당시즌의류,다운점퍼,DJ,4501000,1828490,1662265,1203275,458990,0,0,0,0,36235,0,0,99735,0,0,135970,323020
I,기타,당시즌의류,맨투맨,MT,59000,16950,15409,14289,1120,0,0,0,0,379,0,0,924,0,0,1303,-183
I,기타,당시즌의류,맨투맨셋트,S2,546000,152770,138881,131741,7140,0,0,0,0,2860,0,0,8332,0,0,11192,-4052
I,기타,당시즌의류,반팔카라티셔츠,TS,108000,42820,38928,25991,12937,0,0,0,0,343,0,0,2335,0,0,2678,10259
I,기타,당시즌의류,스커트,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,당시즌의류,우븐팬츠,WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,당시즌의류,점퍼,JP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,당시즌의류,진바지,DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,당시즌의류,팬츠,PT,138000,138000,125454,33964,91490,0,0,0,0,2654,0,0,7528,0,0,10182,81308
I,기타,당시즌의류,폴로 티셔츠,PQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,차시즌의류,맨투맨,MT,266000,126630,115118,65615,49503,0,0,0,0,3857,0,0,6907,0,0,10764,38739
I,기타,차시즌의류,맨투맨셋트,S2,139000,45030,40936,37463,3473,0,0,0,0,843,0,0,2456,0,0,3299,174
I,기타,차시즌의류,반팔카라티셔츠,TS,49000,24500,22273,12448,9825,0,0,0,0,0,0,0,1336,0,0,1336,8489
I,기타,차시즌의류,반팔티 & 스웨트팬츠,S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,기타,차시즌의류,점퍼,JP,219000,57410,52191,47291,4900,0,0,0,0,1284,0,0,3131,0,0,4415,485
I,대리점,Acc_etc,PET,PE,29000,29000,26364,-6739,21767,0,0,0,746,569,0,0,902,0,0,2217,19550
I,대리점,Acc_etc,기타,ET,64000,57720,52472,15424,18161,0,0,0,1485,1129,0,0,2015,0,0,4629,13532
