브랜드,W,W,W
Version,F11_2025_R,F11_2025_R,F11_2025_R
채널,Unassigned,온라인(자사),온라인(제휴)
Measure units,합계,합계,합계
TAG가 [v+],1800000,500000,1300000
실판매액 [v+],360000,100000,260000
실판매액 [v-],327273,90909,236364
수수료차감매출 [v-],327273,90909,236364
할인율(%),80,80,80
출고율(%),100,100,100
매출(출고),327273,90909,236364
매출원가,485274,134799,350476
재고자산평가_환입,166891,46359,120532
재고자산평가_설정,40821,,
재고자산평가,-126070,-46359,-120532
원가,359204,88440,229943
매출원가율(%),148.28,148.28,148.28
직접제조원가율(%),29.66,29.66,29.66
매출총이익,-31932,2469,6420
매출총이익율(%),-9.76,2.72,2.72
지급수수료_물류용역비,29640,8233,21407
지급수수료_물류운송비,36490,10136,26354
지급수수료_이천보관료,15483,4301,11182
지급수수료_카드수수료,2187,2187,
지급수수료_온라인위탁판매수수료,67293,,67293
지급수수료_로열티,12273,3409,8864
직접비,163365,28266,135099
직접이익,-195296,-25797,-128678
직접이익율(%),-59.67,-28.38,-54.44
일반 관리비,51115,15127,35988
영업이익,-246411,-40924,-164666
영업이익율(%),-75.29,-45.02,-69.67
