브랜드,아이템_중분류, 실판매액 
M,당시즌의류,"14,190,000"
M,과시즌의류,"1,135,724"
M,차시즌의류,
M,Headwear,"9,908,927"
M,Bag,"2,686,215"
M,Shoes,"6,908,071"
M,Acc_etc,
I,당시즌의류,"5,682,995"
I,과시즌의류,"1,690,999"
I,차시즌의류,
I,Headwear,"698,003"
I,Bag,"1,130,002"
I,Shoes,"1,328,001"
I,Acc_etc,
X,당시즌의류,"47,899,998"
X,과시즌의류,"22,499,679"
X,차시즌의류,
X,Headwear,"585,105"
X,Bag,"2,033,176"
X,Shoes,"3,301,719"
X,Acc_etc,"462,910"
V,당시즌의류,"3,933,171"
V,과시즌의류,"1,880,659"
V,차시즌의류,
V,Headwear,"24,403"
V,Bag,"139,990"
V,Shoes,"179,962"
V,Acc_etc,"41,815"
ST,당시즌의류,"577,999"
ST,과시즌의류,"548,641"
ST,차시즌의류,
ST,Headwear,"57,471"
ST,Bag,"81,615"
ST,Shoes,"19,274"
ST,Acc_etc,
