브랜드,V,V,V,V,V,V,V
Version,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R
채널,Unassigned,(브랜드) 백화점,직영점(가두),온라인(자사),온라인(제휴),아울렛(직영),직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],9851995,3729570,47790,717121,1901119,2996110,460285
실판매액 [v+],6200000,2960000,40000,450000,1200000,1270000,280000
실판매액 [v-],5636364,2690909,36364,409091,1090909,1154545,254545
수수료차감매출 [v-],5055147,2109693,36364,409091,1090909,1154545,254545
할인율(%),37.07,20.63,16.3,37.25,36.88,57.61,39.17
출고율(%),89.69,78.4,100,100,100,100,100
매출(출고),5055147,2109693,36364,409091,1090909,1154545,254545
매출원가,1978753,766339,9468,143945,381756,584766,92479
재고자산평가_환입,325551,64486,,23446,63286,157784,16550
재고자산평가_설정,133381,,,,,,
재고자산평가,-192170,-64486,,-23446,-63286,-157784,-16550
원가,1786584,701853,9468,120499,318471,426982,75929
매출원가율(%),35.11,28.48,26.04,35.19,34.99,50.65,36.33
직접제조원가율(%),22.09,22.6,21.79,22.08,22.09,21.47,22.1
매출총이익,3268564,1407840,26896,288592,772439,727563,178616
매출총이익율(%),57.99,52.32,73.96,70.54,70.81,63.02,70.17
지급수수료_중간관리수수료,225996,225996,,,,,
지급수수료_중간관리수수료(직영),150235,,,,,125058,25176
지급수수료_물류용역비,28438,13577,183,2064,5504,5825,1284
지급수수료_물류운송비,63294,30218,408,4594,12251,12965,2858
지급수수료_이천보관료,54502,26020,352,3956,10549,11164,2461
지급수수료_카드수수료,244555,,,10636,228121,1180,4619
지급수수료_로열티,140909,67273,909,10227,27273,28864,6364
지급임차료_매장(변동),184401,,7636,,,124713,52052
지급임차료_관리비,17842,,,,,12053,5789
감가상각비_임차시설물,29268,17889,4,,,4160,7216
직접비,1139442,380973,9493,31477,283697,325982,107820
직접이익,2129122,1026867,17403,257114,488742,401581,70797
직접이익율(%),37.77,38.16,47.86,62.85,44.8,34.78,27.81
일반 관리비,1126249,510383,16824,71535,190761,218982,117765
영업이익,1002873,516484,579,185579,297981,182599,-46968
영업이익율(%),17.79,19.19,1.59,45.36,27.31,15.82,-18.45
