브랜드,M,M,M,M,M,M,M,M,M,M,M
Version,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R,F11_2025_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,아울렛(직영),사입,수출,직영(가두)2
TAG가 [v+],214421287,9348281,10918718,2964483,1450138,2571476,6534429,,8547585,171423536,662640
실판매액 [v+],106237146,8970000,10600000,2831000,1210000,2489000,6260000,,1828938,71408209,640000
실판매액 [v-],103070879,8154545,9636364,2573636,1100000,2262727,5690909,,1662671,71408209,581818
수수료차감매출 [v-],94645184,5302133,5974545,2573636,1100000,2262727,3779444,,1662671,71408209,581818
할인율(%),50.45,4.05,2.92,4.5,16.56,3.21,4.2,,78.6,58.34,3.42
출고율(%),98,65.02,62,100,100,100,66.41,,100,100,100
매출(출고),94645184,5302133,5974545,2573636,1100000,2262727,3779444,,1662671,71408209,581818
매출원가,39114595,1569165,1834778,498312,241176,432199,1096948,,1539200,31791564,111254
재고평가감_환입,131306,3150,3550,974,427,834,2205,,119944,,222
재고평가감_설정,466254,,,,,,,,,,
재고자산평가,334948,-3150,-3550,-974,-427,-834,-2205,,-119944,,-222
원가,39449543,1566015,1831228,497337,240748,431365,1094743,,1419256,31791564,111033
매출원가율(%),40.5,19.24,19.04,19.36,21.93,19.1,19.28,,92.57,48.97,19.12
직접제조원가율(%),20.07,18.46,18.48,18.49,18.29,18.49,18.47,,19.81,20.4,18.47
매출총이익,55195640,3736118,4143318,2076299,859252,1831362,2684701,,243415,39616645,470786
매출총이익율(%),57.15,45.82,43,80.68,78.11,80.94,47.18,,14.64,61.03,80.92
지급수수료_중간관리수수료,767591,767591,,,,,,,,,
지급수수료_중간관리수수료(직영),70883,,,,,,,,,,70883
지급수수료_판매사원도급비(직영),178107,,,178107,,,,,,,
지급수수료_판매사원도급비(면세),519364,,519364,,,,,,,,
지급수수료_물류용역비,478828,123320,145729,38921,16635,34219,86062,,25144,,8799
지급수수료_물류운송비,186173,47948,56661,15133,6468,13305,33462,,9776,,3421
지급수수료_이천보관료,601071,154802,182933,48857,20882,42955,108034,,31563,,11045
지급수수료_카드수수료,101978,,,59145,38064,,,,,,4769
지급수수료_온라인위탁판매수수료,559734,,,,,559734,,,,,
지급수수료_로열티,8607714,371149,418218,117100,50050,102954,264561,,116387,7140821,26473
지급임차료_매장(변동),149876,,,18294,,,,,,,131582
지급임차료_매장(고정),589357,2575,6525,577350,,,,,,,2907
지급임차료_관리비,84480,,,52822,,,,,,,31658
감가상각비_임차시설물,190242,82204,10818,64880,,,,11799,,,20542
직접비,13085398,1549589,1340248,1170609,132099,753166,492119,11799,182871,7140821,312078
직접이익,42110242,2186529,2803070,905690,727153,1078196,2192581,-11799,60544,32475824,158708
직접이익율(%),40.86,26.81,29.09,35.19,66.1,47.65,38.53,,3.64,45.48,27.28
영업비,3903034,901472,1065346,422610,221089,279438,628007,13,183480,17484,91396
영업이익,38207207,1285057,1737724,483080,506063,798758,1564574,-11812,-122936,32458340,67312
영업이익율(%),39.56,15.76,18.03,18.77,46.01,35.3,27.49,,-7.39,50,11.57
