브랜드,Version,채널,TAG가 [v+],실판매액 [v+],실판매액 [v-],수수료차감매출 [v-],할인율(%),출고율(%),매출(출고),매출원가,재고평가감_환입,재고평가감_설정,재고자산평가,원가,매출원가율(%),직접제조원가율(%),매출총이익,매출총이익율(%),인건비,물류운송비,로열티,임차관리비,감가상각비,기타,직접비,직접이익,직접이익율(%),영업비,영업이익,영업이익율(%)
M,F11_2025_R,자사몰,1450138000.0,1210000000.0,1100000000.0,1100000000.0,16.56,100.0,1100000000.0,241176000.0,427000.0,,-427000.0,240748000.0,21.89,18.26,859252000.0,78.11,0.0,1.6635646820882e+16,50050000.0,0.0,0.0,38064000.0,132099000.0,727153000.0,66.1,221089000.0,506063000.0,46.01
M,F11_2025_R,직영몰,662640000.0,640000000.0,581818000.0,581818000.0,3.42,100.0,581818000.0,111254000.0,222000.0,,-222000.0,111033000.0,19.08,18.43,470786000.0,80.92,70883000.0,8799342111045000.0,26473000.0,1.31582290731658e+17,20542000.0,4769000.0,312078000.0,158708000.0,27.28,91396000.0,67312000.0,11.57
M,F11_2025_R,사입,8547585000.0,1828938000.0,1662671000.0,1662671000.0,78.6,100.0,1662671000.0,1539200000.0,119944000.0,,-119944000.0,1419256000.0,85.36,18.26,243415000.0,14.64,0.0,2.5144977631563e+16,116387000.0,0.0,0.0,0.0,182871000.0,60544000.0,3.64,183480000.0,-122936000.0,-7.39
ST,F11_2025_R,내수합계,2237676000.0,1285000000.0,1168182000.0,1099195000.0,42.57,94.09,1099195000.0,545829000.0,,,-1152000.0,544676000.0,46.63,26.78,554519000.0,47.47,77973000.0,158721000.0,42055000.0,80277000.0,27098000.0,136320000.0,522443000.0,32076000.0,2.75,683950000.0,-651874000.0,-55.8
ST,F11_2025_R,백화점,20280000.0,15000000.0,13636000.0,9150000.0,26.04,67.1,9150000.0,4993000.0,,,-234000.0,4760000.0,34.91,25.82,4390000.0,32.19,3409000.0,586824443000.0,491000.0,0.0,8628000.0,0.0,14381000.0,-9991000.0,-73.27,7639000.0,-17630000.0,-129.29
ST,F11_2025_R,면세점,257627000.0,165000000.0,150000000.0,85500000.0,35.95,57.0,85500000.0,64362000.0,,,-6006000.0,58356000.0,38.9,24.92,27144000.0,18.1,20076000.0,644690634871000.0,5400000.0,0.0,2948000.0,0.0,48804000.0,-21660000.0,-14.44,84027000.0,-105687000.0,-70.46
ST,F11_2025_R,제휴몰,766091000.0,430000000.0,390909000.0,390909000.0,43.87,100.0,390909000.0,187442000.0,,,-45721000.0,141721000.0,36.25,20.35,249188000.0,63.75,0.0,1.67992361912694e+17,14073000.0,0.0,0.0,124228000.0,191413000.0,57775000.0,14.78,224642000.0,-166867000.0,-42.69
ST,F11_2025_R,자사몰,534292000.0,360000000.0,327273000.0,327273000.0,32.62,100.0,327273000.0,130069000.0,,,-22474000.0,107596000.0,32.88,22.15,219677000.0,67.12,0.0,1.40651977410628e+17,11782000.0,0.0,0.0,10145000.0,66394000.0,153283000.0,46.84,188406000.0,-35123000.0,-10.73
ST,F11_2025_R,직영몰,339879000.0,185000000.0,168182000.0,168182000.0,45.57,100.0,168182000.0,81951000.0,,,-21783000.0,60168000.0,35.78,19.47,108013000.0,64.22,27792000.0,7228101625461000.0,6055000.0,5274036358062000.0,13324000.0,1946000.0,136405000.0,-28391000.0,-16.88,113034000.0,-141425000.0,-84.09
ST,F11_2025_R,아울렛,319509000.0,130000000.0,118182000.0,118182000.0,59.31,100.0,118182000.0,77011000.0,,,-30513000.0,46499000.0,39.35,16.01,71683000.0,60.65,26696000.0,507971413838000.0,4255000.0,142281612000.0,2198000.0,0.0,65046000.0,6637000.0,5.62,66203000.0,-59565000.0,-50.4
V,F11_2025_R,내수합계,9851995000.0,6200000000.0,5636364000.0,5055147000.0,37.07,89.69,5055147000.0,1978753000.0,,,-192170000.0,1786584000.0,31.7,19.95,3268564000.0,57.99,376231000.0,146234000.0,140909000.0,202243000.0,29268000.0,244555000.0,1139442000.0,2129122000.0,37.77,1126249000.0,1002873000.0,17.79
V,F11_2025_R,백화점,3729570000.0,2960000000.0,2690909000.0,2109693000.0,20.63,78.4,2109693000.0,766339000.0,,,-64486000.0,701853000.0,26.08,20.7,1407840000.0,52.32,225996000.0,1.3577302182602e+17,67273000.0,0.0,17889000.0,0.0,380973000.0,1026867000.0,38.16,510383000.0,516484000.0,19.19
V,F11_2025_R,직영점(가두),47790000.0,40000000.0,36364000.0,36364000.0,16.3,100.0,36364000.0,9468000.0,,,,9468000.0,26.04,21.79,26896000.0,73.96,0.0,183408352000.0,909000.0,7636000.0,4000.0,0.0,9493000.0,17403000.0,47.86,16824000.0,579000.0,1.59
V,F11_2025_R,제휴몰,1901119000.0,1200000000.0,1090909000.0,1090909000.0,36.88,100.0,1090909000.0,381756000.0,,,-63286000.0,318471000.0,29.19,18.43,772439000.0,70.81,0.0,5.5041225110549e+16,27273000.0,0.0,0.0,228121000.0,283697000.0,488742000.0,44.8,190761000.0,297981000.0,27.31
V,F11_2025_R,자사몰,717121000.0,450000000.0,409091000.0,409091000.0,37.25,100.0,409091000.0,143945000.0,,,-23446000.0,120499000.0,29.46,18.48,288592000.0,70.54,0.0,206445943956000.0,10227000.0,0.0,0.0,10636000.0,31477000.0,257114000.0,62.85,71535000.0,185579000.0,45.36
V,F11_2025_R,직영몰,460285000.0,280000000.0,254545000.0,254545000.0,39.17,100.0,254545000.0,92479000.0,,,-16550000.0,75929000.0,29.83,18.15,178616000.0,70.17,25176000.0,128428582461000.0,6364000.0,520525789000.0,7216000.0,4619000.0,107820000.0,70797000.0,27.81,117765000.0,-46968000.0,-18.45
V,F11_2025_R,아울렛,2996110000.0,1270000000.0,1154545000.0,1154545000.0,57.61,100.0,1154545000.0,584766000.0,,,-157784000.0,426982000.0,36.98,15.68,727563000.0,63.02,125058000.0,5.8251296511164e+16,28864000.0,12471312053000.0,4160000.0,1180000.0,325982000.0,401581000.0,34.78,218982000.0,182599000.0,15.82
W,F11_2025_R,내수합계,1800000000.0,360000000.0,327273000.0,327273000.0,80.0,100.0,327273000.0,485274000.0,,,-126070000.0,359204000.0,109.76,21.95,-31932000.0,-9.76,,81613000.0,12273000.0,,,69480000.0,163365000.0,-195296000.0,-59.67,51115000.0,-246411000.0,-75.29
