브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,직접비 합계,직접이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물
ST,2.0,면세점,97886315.0,73455134.0,66777454.0,38063114.0,18875377.0,19187737,22894642,-3706905,0.0,0.0,0.0,8937494.0,2869650.0,4034694.0,1700816.0,0.0,0.0,2403988.0,0.0,0.0,0.0,2948000.0
ST,3.0,직영점(가두),96640416.0,84890323.0,77172757.0,77172757.0,22267446.0,54905311,2778219,52127092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2778219.0,0.0,0.0,0.0,0.0
ST,4.0,자사몰,212625669.0,110144981.0,100131831.0,100131831.0,32011529.0,68120302,19612441,48507861,0.0,0.0,0.0,0.0,4303301.0,6050016.0,2550433.0,3103945.0,0.0,3604746.0,0.0,0.0,0.0,0.0
ST,5.0,제휴몰,628741606.0,296643098.0,269675034.0,269675034.0,75010378.0,194664656,130160597,64504059,0.0,0.0,0.0,0.0,11589068.0,16293957.0,6868532.0,0.0,85700739.0,9708301.0,0.0,0.0,0.0,0.0
ST,7.0,아울렛,303399575.0,135477692.0,123161289.0,123161289.0,39737459.0,83423830,59151979,24271851,0.0,21820751.0,0.0,0.0,5292990.0,7441867.0,3137105.0,0.0,0.0,4433806.0,14827460.0,0.0,0.0,2198000.0
ST,11.0,직영몰,165965916.0,107455181.0,97686551.0,97686551.0,31635541.0,66051010,77489316,-11438306,0.0,12661228.0,0.0,0.0,4198299.0,5902479.0,2487870.0,1130311.0,0.0,3516716.0,30633413.0,3635000.0,0.0,13324000.0
ST,99.0,기타,1239269.0,527072.0,479155.0,479155.0,287939.0,191216,17250,173966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17250.0,0.0,0.0,0.0,0.0
V,1.0,백화점,3952673272.0,3170333664.0,2882121186.0,2134136806.0,612040596.0,1522096210,398124272,1123971938,242054956.0,0.0,0.0,0.0,14541762.0,32365248.0,19220276.0,0.0,0.0,72053030.0,0.0,0.0,0.0,17889000.0
V,3.0,직영점(가두),81880135.0,80434654.0,73122357.0,73122357.0,13913716.0,59208641,18863439,40345202,0.0,0.0,0.0,0.0,367985.0,820425.0,488160.0,0.0,0.0,1828059.0,15354810.0,0.0,0.0,4000.0
V,4.0,자사몰,570619140.0,461879000.0,419890038.0,419890038.0,90341091.0,329548947,31048116,298500831,0.0,0.0,0.0,0.0,2118485.0,4715271.0,2800344.0,10916765.0,0.0,10497251.0,0.0,0.0,0.0,0.0
V,5.0,제휴몰,2049004350.0,1426867873.0,1297152550.0,1297152550.0,287677873.0,1009474677,333440044,676034633,0.0,0.0,0.0,0.0,6544568.0,14567132.0,8650749.0,271248781.0,0.0,32428814.0,0.0,0.0,0.0,0.0
V,7.0,아울렛,2630124215.0,1209811885.0,1099828311.0,1099828311.0,356509817.0,743318494,231481480,511837014,0.0,82160816.0,0.0,0.0,5548939.0,12350557.0,7334543.0,1124077.0,0.0,0.0,118802548.0,0.0,0.0,4160000.0
V,11.0,직영몰,337855969.0,297564186.0,270512923.0,270512923.0,52980751.0,217532172,98862693,118669479,0.0,18452252.0,0.0,0.0,1364547.0,3037286.0,1803743.0,4908756.0,0.0,6762823.0,55317286.0,0.0,0.0,7216000.0
V,99.0,기타,2537458.0,544350.0,494875.0,494875.0,431147.0,63728,12372,51356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12372.0,0.0,0.0,0.0,0.0
W,4.0,자사몰,459303468.0,108675764.0,98807942.0,98807942.0,62780717.0,36027225,29232865,6794360,0.0,0.0,0.0,0.0,8948353.0,11016701.0,3234892.0,2377025.0,0.0,3655894.0,0.0,0.0,0.0,0.0
W,5.0,제휴몰,548375723.0,142722543.0,129748087.0,129748087.0,81059678.0,48688409,72335001,-23646592,0.0,0.0,0.0,0.0,11751017.0,14466590.0,4247594.0,0.0,36939373.0,4930427.0,0.0,0.0,0.0,0.0
W,6.0,대리점,-1200867.0,-91040.0,-82776.0,-50499.0,-275831.0,225332,0,225332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,99.0,기타,128613.0,44277.0,40247.0,40247.0,33540.0,6707,1489,5218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489.0,0.0,0.0,0.0,0.0
X,1.0,백화점,22155013630.0,17121404980.0,15564911075.0,10539578209.0,4755954060.0,5783624149,2153545830,3630078319,1441939065.0,0.0,0.0,0.0,153488323.0,22331707.0,109352602.0,0.0,0.0,326863133.0,0.0,770000.0,0.0,98801000.0
X,2.0,면세점,3097533394.0,2847986143.0,2589076806.0,1553445829.0,894813985.0,658631844,219911350,438720494,0.0,0.0,0.0,114344106.0,25531563.0,3714763.0,18189305.0,0.0,0.0,54370613.0,0.0,0.0,0.0,3761000.0
X,3.0,직영점(가두),704074512.0,636862040.0,578964275.0,578964275.0,185966839.0,392997436,326467761,66529675,0.0,39033698.0,62379844.0,0.0,5709715.0,830962.0,4067406.0,11001851.0,0.0,12158250.0,31075035.0,160000000.0,0.0,211000.0
X,4.0,자사몰,3102470241.0,2744634210.0,2495262447.0,2495262447.0,733639829.0,1761622618,170346690,1591275928,0.0,0.0,0.0,0.0,24606263.0,3580315.0,17530534.0,72229067.0,0.0,52400511.0,0.0,0.0,0.0,0.0
X,5.0,제휴몰,9339087233.0,7287222240.0,6624745476.0,6624745476.0,1942432097.0,4682313379,1846399036,2835914343,0.0,0.0,0.0,0.0,65327934.0,9504750.0,46542762.0,0.0,1585903935.0,139119655.0,0.0,0.0,0.0,0.0
X,6.0,대리점,23149484325.0,20117930704.0,18289017838.0,12156921493.0,5293206954.0,6863714539,719151332,6144563207,0.0,0.0,0.0,0.0,180350828.0,26240132.0,128490997.0,0.0,0.0,384069375.0,0.0,0.0,0.0,0.0
X,7.0,아울렛,22758308042.0,15500486470.0,14091345206.0,14091345206.0,4271630757.0,9819714449,4086951244,5732763205,0.0,660316165.0,0.0,0.0,138957294.0,20217455.0,98999866.0,98639231.0,0.0,295918249.0,2682267984.0,0.0,0.0,91635000.0
X,8.0,사입,9910871422.0,1288319877.0,1171199886.0,1171199886.0,991061340.0,180138546,126867333,53271213,0.0,0.0,0.0,0.0,11549928.0,1680798.0,8228617.0,0.0,0.0,105407990.0,0.0,0.0,0.0,0.0
X,11.0,직영몰,1673682417.0,1540534253.0,1400485415.0,1400485415.0,391552133.0,1008933282,447041247,561892035,0.0,80406872.0,0.0,0.0,13810304.0,2008972.0,9839104.0,24658202.0,0.0,29410194.0,265766599.0,0.0,0.0,21141000.0
X,12.0,아울렛,1644846433.0,576185875.0,523805233.0,523805233.0,187848429.0,335956804,49484862,286471942,0.0,17559477.0,0.0,0.0,5165415.0,751565.0,3679863.0,10999632.0,0.0,10999910.0,0.0,0.0,0.0,329000.0
X,99.0,기타,84008178.0,28230750.0,25664254.0,25664254.0,18324946.0,7339308,828871,6510437,0.0,0.0,0.0,0.0,253091.0,36831.0,0.0,0.0,0.0,538949.0,0.0,0.0,0.0,0.0
I,0.0,미지정,,,,,135271000.0,-135271000,0,-135271000,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
M,0.0,미지정,,,,,466254000.0,-466254000,0,-466254000,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
ST,0.0,미지정,,,,,125577000.0,-125577000,0,-125577000,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
V,0.0,미지정,,,,,133381000.0,-133381000,0,-133381000,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
W,0.0,미지정,,,,,40821000.0,-40821000,0,-40821000,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
X,0.0,미지정,,,,,1166320000.0,-1166320000,0,-1166320000,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
