브랜드,Version,채널,TAG가 [v+],실판매액 [v+],실판매액 [v-],수수료차감매출 [v-],할인율(%),출고율(%),매출(출고),매출원가,재고평가감_환입,재고평가감_설정,재고자산평가,매출원가(환입후),매출원가율(%),직접제조원가율(%),매출총이익,매출총이익율(%),지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비,직접이익,직접이익율(%),영업비,영업이익,영업이익율(%)
V,F01_2026_R,백화점,"2,307,020,000","1,810,000,000","1,645,455,000","1,290,049,000",21.5,78.4,"1,290,049,000",480904000.0,"44,944,000",0,"-44,944,000","435,960,000",26.5,20.8,"854,088,000",51.9,"181,596,000",,,,"8,128,000","21,406,000","25,960,000",,,"41,136,000",,,,"18,059,000","296,286,000","557,802,000",33.9,"287,884,000","269,918,000",16.4
V,F01_2026_R,직영점(가두),"62,074,000","40,000,000","36,364,000","36,364,000",35.6,100.0,"36,364,000",12503000.0,"2,513,000",0,"-2,513,000","9,989,000",27.5,17.7,"26,374,000",72.5,,,,,"180,000","473,000","574,000",,,"909,000","7,636,000",,,,"9,772,000","16,602,000",45.7,"15,158,000","1,444,000",4.0
V,F01_2026_R,제휴몰,"1,029,964,000","700,000,000","636,364,000","636,364,000",32.0,100.0,"636,364,000",209146000.0,"36,154,000",0,"-36,154,000","172,991,000",27.2,18.5,"463,372,000",72.8,,,,,"3,144,000","8,278,000","10,040,000","133,070,000",,"15,909,000",,,,,"170,441,000","292,931,000",46.0,"116,084,000","176,847,000",27.8
V,F01_2026_R,자사몰,"313,822,000","200,000,000","181,818,000","181,818,000",36.3,100.0,"181,818,000",63327000.0,"12,687,000",0,"-12,687,000","50,640,000",27.9,17.8,"131,178,000",72.2,,,,,"898,000","2,365,000","2,869,000","4,727,000",,"4,545,000",,,,,"15,405,000","115,774,000",63.7,"33,167,000","82,607,000",45.4
V,F01_2026_R,직영몰,"305,031,000","195,000,000","177,273,000","177,273,000",36.1,100.0,"177,273,000",61567000.0,"12,248,000",0,"-12,248,000","49,319,000",27.8,17.8,"127,954,000",72.2,,"22,503,000",,,"876,000","2,306,000","2,797,000","3,217,000",,"4,432,000","39,242,000",,"5,789,000","7,188,000","88,349,000","39,605,000",22.3,"73,897,000","-34,292,000",-19.3
V,F01_2026_R,아울렛,"2,002,232,000","855,000,000","777,273,000","777,273,000",57.3,100.0,"777,273,000",389709000.0,"140,669,000",0,"-140,669,000","249,040,000",32.0,13.7,"528,233,000",68.0,,"105,133,000",,,"3,840,000","10,111,000","12,263,000","794,000",,"19,432,000","83,960,000",,"12,053,000","4,168,000","251,755,000","276,479,000",35.6,"135,990,000","140,489,000",18.1
W,F01_2026_R,내수합계,"1,600,000,000","240,000,000","218,182,000","218,182,000",85.0,100.0,"218,182,000",429687000.0,"45,929,000","21,547,000","-24,381,000","405,305,000",185.8,27.9,"-187,124,000",-85.8,,,,,"22,598,000","14,632,000","15,483,000","1,531,000","43,999,000","8,182,000",,,,,"106,424,000","-293,548,000",-134.5,"25,024,000","-318,572,000",-146.0
W,F01_2026_R,제휴몰,"1,133,327,000","169,999,000","154,545,000","154,545,000",85.0,100.0,"154,545,000",304360000.0,"32,532,000",0,"-32,532,000","271,827,000",175.9,26.4,"-117,283,000",-75.9,,,,,"16,007,000","10,364,000","10,967,000",,"43,999,000","5,795,000",,,,,"87,132,000","-204,415,000",-132.3,"16,815,000","-221,230,000",-143.2
W,F01_2026_R,자사몰,"466,673,000","70,001,000","63,637,000","63,637,000",85.0,100.0,"63,637,000",125327000.0,"13,396,000",0,"-13,396,000","111,931,000",175.9,26.4,"-48,294,000",-75.9,,,,,"6,591,000","4,268,000","4,516,000","1,531,000",,"2,386,000",,,,,"19,292,000","-67,586,000",-106.2,"8,209,000","-75,795,000",-119.1
X,F01_2026_R,내수합계,"51,247,704,000","40,499,999,000","36,818,181,000","29,138,167,000",21.0,79.1,"29,138,167,000",11555861000.0,"941,539,000","626,057,000","-315,482,000","11,240,379,000",30.5,24.1,"17,897,788,000",48.6,"1,202,005,000","818,997,000","47,443,000","88,307,000","522,087,000","91,252,000","668,424,000","115,359,000","1,062,029,000","773,182,000","1,609,050,000","160,770,000","181,551,000","206,031,000","7,546,487,000","10,351,301,000",28.1,"4,983,824,000","5,367,477,000",14.6
X,F01_2026_R,백화점,"15,540,904,000","11,959,240,000","10,872,036,000","7,162,912,000",23.1,65.9,"7,162,912,000",3503021000.0,"338,766,000",0,"-338,766,000","3,164,255,000",29.1,22.4,"3,998,657,000",36.8,"1,202,005,000",,,,"154,167,000","26,946,000","197,379,000",,,"228,313,000",,"770,000",,"93,526,000","1,903,105,000","2,095,553,000",19.3,"1,288,852,000","806,700,000",7.4
X,F01_2026_R,면세점,"2,115,949,000","1,900,000,000","1,727,273,000","1,036,364,000",10.2,60.0,"1,036,364,000",485515000.0,0,0,,"485,515,000",28.1,25.2,"550,849,000",31.9,,,,"88,307,000","24,493,000","4,281,000","31,358,000",,,"36,273,000",,,,"3,469,000","188,181,000","362,667,000",21.0,"204,764,000","157,904,000",9.1
X,F01_2026_R,직영점(가두),"373,654,000","346,000,000","314,545,000","314,545,000",7.4,100.0,"314,545,000",85960000.0,"857,000",0,"-857,000","85,103,000",27.1,25.1,"229,442,000",72.9,,"36,382,000","47,443,000",,"4,460,000","780,000","5,710,000","5,977,000",,"6,605,000","16,883,000","160,000,000",,"92,000","284,333,000","-54,891,000",-17.4,"73,176,000","-128,067,000",-40.7
X,F01_2026_R,대리점,"11,661,641,000","10,653,082,000","9,684,620,000","6,404,640,000",8.7,66.1,"6,404,640,000",2681450000.0,"33,698,000",0,"-33,698,000","2,647,752,000",27.3,25.0,"3,756,888,000",38.8,,,,,"137,329,000","24,003,000","175,822,000",,,"203,377,000",,,,,"540,531,000","3,216,357,000",33.2,"1,138,793,000","2,077,563,000",21.4
X,F01_2026_R,제휴몰,"6,146,995,000","4,880,017,000","4,436,379,000","4,436,379,000",20.6,100.0,"4,436,379,000",1387828000.0,"108,366,000",0,"-108,366,000","1,279,462,000",28.8,22.9,"3,156,917,000",71.2,,,,,"62,908,000","10,995,000","80,541,000",,"1,062,029,000","93,164,000",,,,,"1,309,638,000","1,847,279,000",41.6,"590,033,000","1,257,246,000",28.3
X,F01_2026_R,자사몰,"1,313,666,000","1,164,983,000","1,059,075,000","1,059,075,000",11.3,100.0,"1,059,075,000",300650000.0,0,0,,"300,650,000",28.4,25.2,"758,425,000",71.6,,,,,"15,018,000","2,625,000","19,227,000","30,656,000",,"22,241,000",,,,,"89,767,000","668,658,000",63.1,"321,810,000","346,848,000",32.8
X,F01_2026_R,직영몰,"1,441,038,000","1,314,000,000","1,194,545,000","1,194,545,000",8.8,100.0,"1,194,545,000",331188000.0,"4,992,000",0,"-4,992,000","326,196,000",27.3,24.9,"868,349,000",72.7,,"124,579,000",,,"16,939,000","2,961,000","21,687,000","21,032,000",,"25,085,000","226,686,000",,"33,854,000","20,717,000","493,539,000","374,810,000",31.4,"273,600,000","101,210,000",8.5
X,F01_2026_R,아울렛,"12,653,858,000","8,282,677,000","7,529,707,000","7,529,707,000",34.5,100.0,"7,529,707,000",2780248000.0,"454,861,000",0,"-454,861,000","2,325,387,000",30.9,20.2,"5,204,319,000",69.1,,"658,036,000",,,"106,772,000","18,662,000","136,700,000","57,694,000",,"158,124,000","1,365,481,000",,"147,697,000","88,228,000","2,737,393,000","2,466,926,000",32.8,"912,338,000","1,554,589,000",20.6
