브랜드,유통채널,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급임차료_매장(변동),지급임차료_관리비
I,1,13.82%,0%,0%,0%,2.67%,0.58%,2.63%,0%,0%,0%,0%
I,2,0%,0%,0%,15.97%,2.67%,0.58%,2.63%,0%,0%,0%,0%
I,3,0%,0%,10.36%,0%,2.67%,0.58%,2.63%,0%,0%,8.62%,0%
I,4,0%,0%,0%,0%,2.67%,0.58%,2.63%,0%,0%,0%,0%
I,5,0%,0%,0%,0%,2.67%,0.58%,2.63%,0%,29.38%,0%,0%
I,6,0%,0%,0%,0%,2.67%,0.58%,2.63%,0%,0%,0%,0%
I,8,0%,0%,0%,0%,2.67%,0.58%,2.63%,0%,0%,0%,0%
I,11,0%,9.90%,0%,0%,2.67%,0.58%,2.63%,1.19%,0%,23.57%,3.14%
I,99,0%,0%,0%,0%,2.67%,0.58%,0%,0%,0%,0%,0%
M,1,10.21%,0%,0%,0%,2.03%,0.73%,2.28%,0%,0%,0%,0%
M,2,0%,0%,0%,6.27%,2.03%,0.73%,2.28%,0%,0%,0%,0%
M,3,0%,0%,7.50%,0%,2.03%,0.73%,2.28%,2.30%,0%,0.71%,2.29%
M,4,0%,0%,0%,0%,2.03%,0.73%,2.28%,3.46%,0%,0%,0%
M,5,0%,0%,0%,0%,2.03%,0.73%,2.28%,0%,24.74%,0%,0%
M,6,0%,0%,0%,0%,2.03%,0.73%,2.28%,0%,0%,0%,0%
M,8,0%,0%,0%,0%,2.03%,0.73%,2.28%,0%,0%,0%,0%
M,11,0%,12.28%,0%,0%,2.03%,0.73%,2.28%,0.82%,0%,23.88%,6.11%
M,99,0%,0%,0%,0%,2.03%,0.73%,0%,0%,0%,0%,0%
ST,1,25.00%,0%,0%,0%,4.73%,7.24%,6.23%,0%,0%,0%,0%
ST,2,0%,0%,0%,21.17%,4.73%,7.24%,6.23%,0%,0%,0%,0%
ST,3,0%,0%,24.74%,0%,4.73%,7.24%,6.23%,0%,0%,3.50%,0%
ST,4,0%,0%,0%,0%,4.73%,7.24%,6.23%,3.10%,0%,0%,0%
ST,5,0%,0%,0%,0%,4.73%,7.23%,6.23%,0%,31.78%,0%,0%
ST,7,0%,29.08%,0%,0%,4.73%,7.24%,6.23%,0%,0%,12.04%,4.43%
ST,11,0%,19.38%,0%,0%,4.73%,7.24%,6.23%,1.16%,0%,33.57%,5.91%
V,1,11.04%,0%,0%,0%,0.49%,1.30%,1.58%,0%,0%,0%,0%
V,3,0%,0%,0%,0%,0.49%,1.30%,1.58%,0%,0%,21.00%,0%
V,4,0%,0%,0%,0%,0.49%,1.30%,1.58%,2.60%,0%,0%,0%
V,5,0%,0%,0%,0%,0.49%,1.30%,1.58%,20.91%,0%,0%,0%
V,7,0%,13.53%,0%,0%,0.49%,1.30%,1.58%,0.10%,0%,10.80%,1.55%
V,11,0%,12.69%,0%,0%,0.49%,1.30%,1.58%,1.81%,0%,22.14%,3.27%
W,4,0%,0%,0%,0%,10.36%,6.71%,7.10%,2.41%,0%,0%,0%
W,5,0%,0%,0%,0%,10.36%,6.71%,7.10%,0%,28.47%,0%,0%
X,1,11.06%,0%,0%,0%,1.42%,0.25%,1.82%,0%,0%,0%,0%
X,2,0%,0%,0%,5.11%,1.42%,0.25%,1.82%,0%,0%,0%,0%
X,3,0%,11.57%,15.08%,0%,1.42%,0.25%,1.82%,1.90%,0%,5.37%,0%
X,4,0%,0%,0%,0%,1.42%,0.25%,1.82%,2.89%,0%,0%,0%
X,5,0%,0%,0%,0%,1.42%,0.25%,1.82%,0%,23.94%,0%,0%
X,6,0%,0%,0%,0%,1.42%,0.25%,1.82%,0%,0%,0%,0%
X,7,0%,8.82%,0%,0%,1.42%,0.25%,1.82%,0.70%,0%,19.03%,2.06%
X,11,0%,10.43%,0%,0%,1.42%,0.25%,1.82%,1.76%,0%,18.98%,2.83%
X,12,0%,7.05%,0%,0%,1.42%,0.25%,1.82%,2.10%,0%,0%,0%
