브랜드,M,M,M,M,M,M,M,M,M,M,M
Version,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R,F01_2026_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),대리점,아울렛(직영),사입,수출,직영(가두)2
TAG가 [v+],175519665,7943573,8813837,2790117,1040444,2019186,5436967,,6063896,140828120,583525
실판매액 [v+],87120307,7660000,8700000,2540000,828000,1952000,5215000,,1515974,58139333,570000
실판매액 [v-],84485673,6963636,7909091,2309091,752727,1774545,4740909,,1378158,58139333,518182
수수료차감매출 [v-],77452001,4527797,4903636,2309091,752727,1774545,3148531,,1378158,58139333,518182
할인율(%),50.36,3.57,1.29,8.96,20.42,3.33,4.08,,75,58.72,2.32
출고율(%),97.79,65.02,62,100,100,100,66.41,,90.91,100,100
매출(출고),77452001,4527797,4903636,2309091,752727,1774545,3148531,,1378158,58139333,518182
매출원가,32259062,1345289,1492472,473353,174693,342339,920823,,1097097,26314157,98838
재고평가감_환입,-391077,4275,4751,1387,463,1066,2942,,-406273,,311
재고평가감_설정,203501,,,,,,,,,,
재고자산평가,594579,-4275,-4751,-1387,-463,-1066,-2942,,406273,,-311
원가,32853640,1341015,1487721,471965,174230,341273,917881,,1503370,26314157,98527
매출원가율(%),40.73,19.32,18.87,20.5,23.21,19.29,19.42,,79.61,49.79,19.07
직접제조원가율(%),20.22,18.63,18.63,18.66,18.47,18.65,18.63,,19.9,20.55,18.63
매출총이익,44598360,3186782,3415915,1837126,578497,1433273,2230649,,-125212,31825176,419655
매출총이익율(%),56.31,45.76,43.19,79.56,76.85,80.77,47.05,,-9.09,60.21,80.99
지급수수료_중간관리수수료,710697,710697,,,,,,,,,
지급수수료_중간관리수수료(직영),63652,,,,,,,,,,63652
지급수수료_판매사원도급비(직영),173095,,,173095,,,,,,,
지급수수료_판매사원도급비(면세),495964,,495964,,,,,,,,
지급수수료_물류용역비,535960,141660,160894,46974,15313,36099,96444,,28036,,10541
지급수수료_물류운송비,191324,50569,57435,16768,5466,12887,34428,,10008,,3763
지급수수료_이천보관료,601071,158870,180440,52680,17173,40485,108160,,31442,,11822
지급수수료_카드수수료,83360,,,53066,26047,,,,,,4247
지급수수료_온라인위탁판매수수료,438972,,,,,438972,,,,,
지급수수료_로열티,7034634,316946,343255,105064,34249,80742,220397,,96471,5813933,23577
지급임차료_매장(변동),140148,,,16414,,,,,,,123734
지급임차료_매장(고정),589357,2575,6525,577350,,,,,,,2907
지급임차료_관리비,84480,,,52822,,,,,,,31658
감가상각비_임차시설물,192967,84939,10784,64899,,,,11799,,,20545
직접비,11335680,1466256,1255296,1159131,98248,609184,459429,11799,165956,5813933,296447
직접이익,33262680,1720526,2160620,677994,480249,824088,1771220,-11799,-291168,26011243,123208
직접이익율(%),39.37,24.71,27.32,29.36,63.8,46.44,37.36,,-21.13,44.74,23.78
영업비,3752295,868539,986525,408857,240844,261509,590212,13,171572,8535,87639
영업이익,29510385,851987,1174095,269137,239405,562579,1181008,-11812,-462740,26002708,35569
영업이익율(%),37.26,12.23,14.84,11.66,31.8,31.7,24.91,,-33.58,49.2,6.86
