브랜드,W,W,W
Version,F01_2026_R,F01_2026_R,F01_2026_R
채널,Unassigned,온라인(자사),온라인(제휴)
Measure units,합계,합계,합계
TAG가 [v+],1600000,466673,1133327
실판매액 [v+],240000,70001,169999
실판매액 [v-],218182,63637,154545
수수료차감매출 [v-],218182,63637,154545
할인율(%),85,85,85
출고율(%),100,100,100
매출(출고),218182,63637,154545
매출원가,429687,125327,304360
재고평가감_환입,45929,13396,32532
재고평가감_설정,21547,,
재고자산평가,-24381,-13396,-32532
원가,405305,111931,271827
매출원가율(%),196.94,196.94,196.94
직접제조원가율(%),29.54,29.54,29.54
매출총이익,-187124,-48294,-117283
매출총이익율(%),-85.76,-75.89,-75.89
지급수수료_물류용역비,22598,6591,16007
지급수수료_물류운송비,14632,4268,10364
지급수수료_이천보관료,15483,4516,10967
지급수수료_카드수수료,1531,1531,
지급수수료_온라인위탁판매수수료,43999,,43999
지급수수료_로열티,8182,2386,5795
직접비,106424,19292,87132
직접이익,-293548,-67586,-204415
직접이익율(%),-134.54,-106.2,-132.27
일반 관리비,25024,8209,16815
영업이익,-318572,-75795,-221230
영업이익율(%),-146.01,-119.1,-143.15
