브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,3805000,3771570,3428695,2240260,1084540,1155720
I,1.0,백화점,Acc_etc,머플러(스카프),MF,3397000,3171500,2883189,1827818,645370,1182448
I,1.0,백화점,Acc_etc,양말,SO,2779400,2683440,2439461,1559167,643288,915879
I,1.0,백화점,Acc_etc,장갑,GL,3008000,2951610,2683284,1706072,693953,1012119
I,1.0,백화점,Bag,가방,BG,462000,448700,407909,259683,116328,143355
I,1.0,백화점,Bag,백팩,BK,39918000,33648940,30589992,19475260,9746098,9729162
I,1.0,백화점,Bag,보조가방,UB,1176000,1134190,1031082,656638,292157,364481
I,1.0,백화점,Bag,슬링백,SG,395000,387100,351910,225078,86645,138433
I,1.0,백화점,Bag,크로스백,CR,7283000,7073620,6430545,4122963,1610297,2512666
I,1.0,백화점,Bag,힙색,HS,59000,59000,53636,33791,11592,22199
I,1.0,백화점,Headwear,방한모,WM,36272000,35186030,31987202,20385825,7642763,12743062
I,1.0,백화점,Headwear,비니,BN,38109000,36852550,33502290,21394067,8221646,13172421
I,1.0,백화점,Headwear,와이어캡,WR,980000,941950,856323,567957,193282,374675
I,1.0,백화점,Headwear,운동모,CP,48919000,48023450,43657595,27939295,10598426,17340869
I,1.0,백화점,Headwear,햇,HT,961000,937400,852175,541482,194826,346656
I,1.0,백화점,Shoes,런닝화,RN,41449000,40620660,36927868,23636556,10156256,13480300
I,1.0,백화점,Shoes,방한화,WB,156545000,145470850,132245883,84481891,38604234,45877657
I,1.0,백화점,Shoes,샌들,SD,286000,201500,183186,115407,64218,51189
I,1.0,백화점,Shoes,스니커즈,SX,12193000,11959750,10872492,6944023,2905612,4038411
I,1.0,백화점,Shoes,신발,SH,59641000,58495250,53177447,33870033,14172526,19697507
I,1.0,백화점,과시즌의류,다운점퍼,DJ,63601000,31494390,28631396,18035802,11535725,6500077
I,1.0,백화점,과시즌의류,맨투맨,MT,3169000,1989000,1808174,1146488,612200,534288
I,1.0,백화점,과시즌의류,맨투맨셋트,S2,6545000,4902790,4457074,2817693,900115,1917578
I,1.0,백화점,과시즌의류,반바지,SP,344000,344000,312725,200144,79783,120361
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,9357000,8501700,7728803,4939685,2094775,2844910
I,1.0,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,4102000,3423210,3112082,1986256,962519,1023737
I,1.0,백화점,과시즌의류,방풍자켓,WJ,2685000,2649330,2408490,1541432,676986,864446
I,1.0,백화점,과시즌의류,베이비,BV,944000,933100,848268,536021,284576,251445
I,1.0,백화점,과시즌의류,스윔웨어,SW,466000,466000,423637,271127,119233,151894
I,1.0,백화점,과시즌의류,스커트,SK,858000,858000,779997,498568,233390,265178
I,1.0,백화점,과시즌의류,우븐반바지,SM,2735000,2478500,2253180,1442030,607166,834864
I,1.0,백화점,과시즌의류,우븐팬츠,WP,237000,237000,215455,137891,58149,79742
I,1.0,백화점,과시즌의류,원피스,OP,514000,514000,467272,299053,117421,181632
I,1.0,백화점,과시즌의류,점퍼,JP,577000,467510,425000,271004,126204,144800
I,1.0,백화점,과시즌의류,팬츠,PT,375000,375000,340912,218183,85220,132963
I,1.0,백화점,과시즌의류,후드티,HD,89000,89000,80909,51782,22664,29118
I,1.0,백화점,당시즌의류,니트가디건,KC,1321000,1269960,1154510,728151,355929,372222
I,1.0,백화점,당시즌의류,다운베스트,DV,47180000,45319830,41199827,26219385,13090513,13128872
I,1.0,백화점,당시즌의류,다운점퍼,DJ,586614000,556938490,506307571,322584019,151558235,171025784
I,1.0,백화점,당시즌의류,레깅스,LG,3160000,3046920,2769919,1782669,899830,882839
I,1.0,백화점,당시즌의류,맨투맨,MT,122918000,119368690,108516902,69073912,34138266,34935646
I,1.0,백화점,당시즌의류,맨투맨셋트,S2,156267000,152453450,138594003,88199008,43431869,44767139
I,1.0,백화점,당시즌의류,반팔카라티셔츠,TS,5666000,5255940,4778115,3018866,1562053,1456813
I,1.0,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,3100000,2919800,2654365,1708385,863403,844982
I,1.0,백화점,당시즌의류,방풍자켓,WJ,556000,486500,442273,281159,143244,137915
I,1.0,백화점,당시즌의류,스커트,SK,979000,945400,859453,543885,274870,269015
I,1.0,백화점,당시즌의류,우븐반바지,SM,69000,69000,62727,40145,17696,22449
I,1.0,백화점,당시즌의류,우븐셔츠,WS,2502000,2354210,2140188,1371235,619789,751446
I,1.0,백화점,당시즌의류,우븐팬츠,WP,72880000,70404660,64004258,40846068,18964846,21881222
I,1.0,백화점,당시즌의류,점퍼,JP,8150000,7464330,6785747,4273190,1988678,2284512
I,1.0,백화점,당시즌의류,진바지,DP,26297000,25340590,23036836,14704217,6473327,8230890
I,1.0,백화점,당시즌의류,진자켓,DK,466000,363080,330075,205592,151716,53876
I,1.0,백화점,당시즌의류,패딩,PD,11448000,10958820,9962573,6384568,3266006,3118562
I,1.0,백화점,당시즌의류,팬츠,PT,64536000,62624900,56931657,36218478,18065449,18153029
I,1.0,백화점,당시즌의류,폴라폴리스점퍼,FD,8062000,7746770,7042530,4465387,2249184,2216203
I,1.0,백화점,당시즌의류,폴로 티셔츠,PQ,1513000,1478250,1343862,865244,419191,446053
I,1.0,백화점,당시즌의류,후드티,HD,35895000,34849550,31681390,20162231,10321046,9841185
I,2.0,면세점,Acc_etc,기타,ET,780700,780700,709723,425831,218716,207115
I,2.0,면세점,Acc_etc,머플러(스카프),MF,3798000,3798000,3452699,2071616,747420,1324196
I,2.0,면세점,Acc_etc,양말,SO,760100,760100,690996,414596,182918,231678
I,2.0,면세점,Acc_etc,장갑,GL,49000,49000,44545,26727,8964,17763
I,2.0,면세점,Bag,백팩,BK,19528000,19309000,17553642,10532166,5093294,5438872
I,2.0,면세점,Bag,보조가방,UB,441000,441000,400905,240543,109433,131110
I,2.0,면세점,Bag,크로스백,CR,7898000,7898000,7179995,4307967,1809155,2498812
I,2.0,면세점,Headwear,방한모,WM,16529000,16529000,15026351,9015776,3512561,5503215
I,2.0,면세점,Headwear,비니,BN,30506000,30505960,27732607,16639536,6925371,9714165
I,2.0,면세점,Headwear,와이어캡,WR,1274000,1274000,1158170,694902,251273,443629
I,2.0,면세점,Headwear,운동모,CP,56909000,56908980,51735235,31041124,11895025,19146099
I,2.0,면세점,Headwear,햇,HT,932000,932000,847282,508366,202130,306236
I,2.0,면세점,Shoes,런닝화,RN,6228000,6228000,5661805,3397081,1528732,1868349
I,2.0,면세점,Shoes,방한화,WB,6391000,6391000,5809981,3485967,1535641,1950326
I,2.0,면세점,Shoes,스니커즈,SX,7250000,7250000,6590876,3954522,1588165,2366357
I,2.0,면세점,Shoes,신발,SH,9774000,9774000,8885439,5331259,2257149,3074110
I,2.0,면세점,과시즌의류,베이비,BV,354000,354000,321822,193092,106716,86376
I,2.0,면세점,당시즌의류,다운베스트,DV,5183000,5183000,4711799,2827086,1440756,1386330
I,2.0,면세점,당시즌의류,다운점퍼,DJ,95978000,95978000,87252663,52351615,24822355,27529260
I,2.0,면세점,당시즌의류,맨투맨,MT,23304000,23304000,21185459,12711212,6513592,6197620
I,2.0,면세점,당시즌의류,맨투맨셋트,S2,14631000,14631000,13300936,7980576,3988586,3991990
I,2.0,면세점,당시즌의류,반팔카라티셔츠,TS,579000,579000,526361,315816,179163,136653
I,2.0,면세점,당시즌의류,반팔티 & 스웨트팬츠,S1,1212000,1212000,1101814,661089,340775,320314
I,2.0,면세점,당시즌의류,방풍자켓,WJ,139000,139000,126363,75818,35811,40007
I,2.0,면세점,당시즌의류,우븐팬츠,WP,8260000,8259980,7509044,4505423,2079715,2425708
I,2.0,면세점,당시즌의류,점퍼,JP,4943000,4943000,4493631,2696172,1142728,1553444
I,2.0,면세점,당시즌의류,진바지,DP,1387000,1387000,1260902,756541,344636,411905
I,2.0,면세점,당시즌의류,진자켓,DK,1341000,1341000,1219089,731454,324543,406911
I,2.0,면세점,당시즌의류,패딩,PD,318000,318000,289090,173454,90722,82732
I,2.0,면세점,당시즌의류,팬츠,PT,6164000,6163990,5603633,3362168,1692998,1669170
I,2.0,면세점,당시즌의류,폴라폴리스점퍼,FD,4726000,4726000,4296342,2577812,1318489,1259323
I,2.0,면세점,당시즌의류,폴로 티셔츠,PQ,178000,178000,161818,97090,49316,47774
I,2.0,면세점,당시즌의류,후드티,HD,3024000,3024000,2749083,1649446,858140,791306
I,3.0,직영점(가두),Acc_etc,기타,ET,494000,494000,449090,449090,138929,310161
I,3.0,직영점(가두),Acc_etc,머플러(스카프),MF,130000,130000,118182,118182,23715,94467
I,3.0,직영점(가두),Acc_etc,양말,SO,124000,123500,112277,112277,27406,84871
I,3.0,직영점(가두),Acc_etc,장갑,GL,442000,442000,401815,401815,111224,290591
I,3.0,직영점(가두),Bag,백팩,BK,654000,614500,558636,558636,158889,399747
I,3.0,직영점(가두),Bag,보조가방,UB,49000,49000,44545,44545,12159,32386
I,3.0,직영점(가두),Bag,크로스백,CR,1194000,1187840,1079851,1079851,294109,785742
I,3.0,직영점(가두),Headwear,방한모,WM,2332000,2332000,2119990,2119990,513529,1606461
I,3.0,직영점(가두),Headwear,비니,BN,2606000,2606000,2369085,2369085,593309,1775776
I,3.0,직영점(가두),Headwear,와이어캡,WR,98000,98000,89090,89090,19328,69762
I,3.0,직영점(가두),Headwear,운동모,CP,5296000,5282160,4801966,4801966,1126749,3675217
I,3.0,직영점(가두),Headwear,햇,HT,59000,59000,53636,53636,11926,41710
I,3.0,직영점(가두),Shoes,런닝화,RN,1059000,1059000,962727,962727,262551,700176
I,3.0,직영점(가두),Shoes,방한화,WB,6308000,6308000,5734538,5734538,1602947,4131591
I,3.0,직영점(가두),Shoes,스니커즈,SX,276000,276000,250908,250908,72589,178319
I,3.0,직영점(가두),Shoes,신발,SH,2980000,2980000,2709089,2709089,722237,1986852
I,3.0,직영점(가두),과시즌의류,베이비,BV,354000,354000,321816,321816,106716,215100
I,3.0,직영점(가두),당시즌의류,다운베스트,DV,1191000,1191000,1082730,1082730,323453,759277
I,3.0,직영점(가두),당시즌의류,다운점퍼,DJ,25970000,25970010,23609092,23609092,6776433,16832659
I,3.0,직영점(가두),당시즌의류,레깅스,LG,79000,79000,71818,71818,22496,49322
I,3.0,직영점(가두),당시즌의류,맨투맨,MT,6622000,6577500,5979527,5979527,1885413,4094114
I,3.0,직영점(가두),당시즌의류,맨투맨셋트,S2,9243000,9233000,8393660,8393660,2555057,5838603
I,3.0,직영점(가두),당시즌의류,반팔카라티셔츠,TS,305000,305000,277272,277272,83573,193699
I,3.0,직영점(가두),당시즌의류,반팔티 & 스웨트팬츠,S1,1609000,1609000,1462728,1462728,425483,1037245
I,3.0,직영점(가두),당시즌의류,방풍자켓,WJ,139000,139000,126364,126364,35811,90553
I,3.0,직영점(가두),당시즌의류,스커트,SK,89000,85290,77537,77537,24915,52622
I,3.0,직영점(가두),당시즌의류,우븐셔츠,WS,139000,133210,121096,121096,34142,86954
I,3.0,직영점(가두),당시즌의류,우븐팬츠,WP,2714000,2714000,2467274,2467274,708598,1758676
I,3.0,직영점(가두),당시즌의류,점퍼,JP,2098000,2098000,1907272,1907272,504012,1403260
I,3.0,직영점(가두),당시즌의류,진바지,DP,1318000,1318000,1198183,1198183,332543,865640
I,3.0,직영점(가두),당시즌의류,진자켓,DK,139000,139000,126364,126364,36635,89729
I,3.0,직영점(가두),당시즌의류,패딩,PD,636000,636000,578180,578180,181445,396735
I,3.0,직영점(가두),당시즌의류,팬츠,PT,2259000,2190000,1990902,1990902,635965,1354937
I,3.0,직영점(가두),당시즌의류,폴라폴리스점퍼,FD,278000,278000,252728,252728,77558,175170
I,3.0,직영점(가두),당시즌의류,폴로 티셔츠,PQ,89000,89000,80909,80909,24658,56251
I,3.0,직영점(가두),당시즌의류,후드티,HD,1453000,1453000,1320907,1320907,401354,919553
I,4.0,자사몰,Acc_etc,기타,ET,3916000,3321050,3019147,3019147,1143692,1875455
I,4.0,자사몰,Acc_etc,머플러(스카프),MF,313000,281580,255981,255981,63518,192463
I,4.0,자사몰,Acc_etc,양말,SO,817900,660970,600883,600883,189833,411050
I,4.0,자사몰,Acc_etc,장갑,GL,776000,691950,629044,629044,190830,438214
I,4.0,자사몰,Bag,백팩,BK,3257000,2273410,2073821,2073821,812781,1261040
I,4.0,자사몰,Bag,크로스백,CR,718000,586090,532809,532809,147670,385139
I,4.0,자사몰,Headwear,방한모,WM,9097000,7584170,6894693,6894693,1954057,4940636
I,4.0,자사몰,Headwear,비니,BN,6000000,4836370,4396693,4396693,1349552,3047141
I,4.0,자사몰,Headwear,와이어캡,WR,49000,36170,32882,32882,9664,23218
I,4.0,자사몰,Headwear,운동모,CP,4196000,3353900,3049000,3049000,918020,2130980
I,4.0,자사몰,Headwear,햇,HT,177000,150320,136654,136654,36910,99744
I,4.0,자사몰,Shoes,런닝화,RN,2624000,2257840,2052582,2052582,633566,1419016
I,4.0,자사몰,Shoes,방한화,WB,42500000,36338790,33035284,33035284,10892875,22142409
I,4.0,자사몰,Shoes,스니커즈,SX,1531000,1304970,1186336,1186336,355003,831333
I,4.0,자사몰,Shoes,신발,SH,7527000,6578960,5980875,5980875,1722232,4258643
