브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비 합계,직접이익
I,1,백화점,5233155612.0,4963343802.0,4512128949.0,2865715425.0,1320023465.0,1545691960,532480121.0,0.0,0.0,0.0,90711050.0,17949347.0,101183748.0,0.0,0.0,171942926.0,0.0,0.0,0.0,37042000.0,951309192,594382768
I,2,면세점,1311417461.0,1310503042.0,1191365646.0,714817819.0,308057563.0,406760256,0.0,0.0,0.0,155461736.0,23950933.0,4738918.0,26715873.0,0.0,0.0,42889069.0,0.0,1275000.0,0.0,2153000.0,257184529,149575727
I,3,직영점(가두),147910768.0,147550595.0,134136835.0,134136835.0,37239129.0,96897706,0.0,0.0,10251843.0,0.0,2696407.0,533784.0,3008143.0,0.0,0.0,5231337.0,11558819.0,0.0,0.0,1048000.0,34328333,62569373
I,4,자사몰,466003867.0,411403628.0,374045382.0,374045382.0,116586471.0,257458911,0.0,0.0,0.0,0.0,7519381.0,1487632.0,8388235.0,0.0,0.0,14587770.0,0.0,0.0,0.0,0.0,31983018,225475893
I,5,제휴몰,1407140052.0,1401214572.0,1273830550.0,1273830550.0,347257443.0,926573107,0.0,0.0,0.0,0.0,25609131.0,5067221.0,28565511.0,0.0,374267129.0,49679391.0,0.0,0.0,0.0,0.0,483188383,443384724
I,6,대리점,1166883997.0,1109510061.0,1008645438.0,653554674.0,293969278.0,359585396,0.0,0.0,0.0,0.0,20278194.0,4012491.0,22618122.0,0.0,0.0,39213280.0,0.0,0.0,0.0,0.0,86122087,273463309
I,8,사입,1466509896.0,393819681.0,358017737.0,358017737.0,247167832.0,110849905,0.0,0.0,0.0,0.0,7199028.0,1425628.0,8029988.0,0.0,0.0,21481064.0,0.0,0.0,0.0,0.0,38135708,72714197
I,11,직영몰,448515104.0,425181590.0,386528412.0,386528412.0,111540293.0,274988119,0.0,45543936.0,0.0,0.0,7770364.0,1537192.0,8668203.0,4586256.0,0.0,15074608.0,92170342.0,0.0,14225095.0,5853000.0,195428996,79559123
I,99,기타,3502435.0,1751217.0,1591999.0,1591999.0,847039.0,744960,0.0,0.0,0.0,0.0,32012.0,6339.0,0.0,0.0,0.0,95520.0,0.0,0.0,0.0,0.0,133871,611089
M,1,RF,1273203762.0,1155774688.0,1050704055.0,667960184.0,214929008.0,453031176,102640801.0,0.0,0.0,0.0,19697719.0,6986830.0,22068648.0,0.0,0.0,46757213.0,0.0,368547.0,0.0,12251642.0,210771400,242259776
M,1,백화점,7431446225.0,6919513645.0,6290460429.0,4103278590.0,1259890175.0,2843388415,614500246.0,0.0,0.0,0.0,117928280.0,41829453.0,132122798.0,0.0,0.0,287229501.0,0.0,2206453.0,0.0,73349358.0,1269166089,1574222326
M,2,면세점,12408073997.0,11797739102.0,10725215420.0,6649642543.0,2035092085.0,4614550458,0.0,0.0,0.0,578049022.0,201067933.0,71318430.0,225268875.0,0.0,0.0,465474978.0,0.0,6525000.0,0.0,11758000.0,1559462238,3055088220
M,3,RF,431878725.0,384914301.0,349921900.0,349921900.0,70080741.0,279841159,0.0,0.0,23978078.0,0.0,6560047.0,2326797.0,7349604.0,8041590.0,0.0,16096407.0,2487312.0,85068649.0,7089236.0,9597647.0,168595367,111245792
M,3,직영점(가두),2249770520.0,2227452630.0,2024953122.0,2024953122.0,364836337.0,1660116785,0.0,0.0,138758062.0,0.0,37962148.0,13464878.0,42531213.0,46535649.0,0.0,93147844.0,14393758.0,492281351.0,41024501.0,55540353.0,975639757,684477028
M,4,RF,333192450.0,209911167.0,190828350.0,190828350.0,57399573.0,133428777,0.0,0.0,0.0,0.0,3577456.0,1268870.0,4008212.0,6603239.0,0.0,8778104.0,0.0,0.0,0.0,0.0,24235881,109192896
M,4,자사몰,1041084356.0,924284413.0,840469687.0,840469687.0,170648382.0,669821305,0.0,0.0,0.0,0.0,15756273.0,5588512.0,17653458.0,29082799.0,0.0,38661606.0,0.0,0.0,0.0,0.0,106742648,563078657
M,5,제휴몰,3225971262.0,3185251266.0,2895682787.0,2895682787.0,541013515.0,2354669272,0.0,0.0,0.0,0.0,54286203.0,19255351.0,60819911.0,0.0,716309564.0,133201408.0,0.0,0.0,0.0,0.0,983872437,1370796835
M,6,RF,541708502.0,476139014.0,432853637.0,273741349.0,92222990.0,181518359,0.0,0.0,0.0,0.0,8114754.0,2878316.0,9091536.0,0.0,0.0,19161894.0,0.0,0.0,0.0,0.0,39246500,142271859
M,6,대리점,4897749468.0,4616401947.0,4196727265.0,2674524121.0,858146374.0,1816377747,0.0,0.0,0.0,0.0,78676503.0,27906682.0,88146876.0,0.0,0.0,187216688.0,0.0,0.0,0.0,0.0,381946749,1434430998
M,8,사입,1342330693.0,335582213.0,305074771.0,305074771.0,177252786.0,127821985,0.0,0.0,0.0,0.0,5719144.0,2028005.0,6406460.0,0.0,0.0,21355234.0,0.0,0.0,0.0,0.0,35508843,92313142
M,11,직영몰,701859950.0,672301450.0,611182787.0,611182787.0,119539000.0,491643787,0.0,72754396.0,0.0,0.0,11458296.0,4064031.0,12837294.0,5009422.0,0.0,28114408.0,137735120.0,2907000.0,32997975.0,20599000.0,328476942,163166845
M,99,기타,22463106.0,12007205.0,10915606.0,10915606.0,3645846.0,7269760,0.0,0.0,0.0,0.0,204632.0,72562.0,0.0,0.0,0.0,764092.0,0.0,0.0,0.0,0.0,1041286,6228474
ST,1,백화점,6775797.0,4931326.0,4483036.0,2977314.0,1144098.0,1833216,1120882.0,0.0,0.0,0.0,135117.0,148432.0,233743.0,0.0,0.0,161389.0,0.0,0.0,0.0,8628000.0,10427563,-8594347
ST,2,면세점,40683283.0,31940992.0,29037310.0,16551266.0,7625814.0,8925452,0.0,0.0,0.0,5565561.0,874122.0,962492.0,1514719.0,0.0,0.0,1045343.0,0.0,0.0,0.0,2948000.0,12910237,-3984785
ST,3,직영점(가두),116607692.0,102483208.0,93166243.0,93166243.0,25301025.0,67865218,0.0,0.0,22411914.0,0.0,2804621.0,3088157.0,4859976.0,0.0,0.0,3353985.0,3261240.0,0.0,0.0,0.0,39779893,28085325
ST,4,자사몰,65576923.0,73484308.0,66803918.0,66803918.0,20022481.0,46781437,0.0,0.0,0.0,0.0,2011015.0,2214321.0,3484617.0,2070782.0,0.0,2404941.0,0.0,0.0,0.0,0.0,12185676,34595761
ST,5,제휴몰,547092420.0,260165610.0,236513697.0,236513697.0,61922436.0,174591261,0.0,0.0,0.0,0.0,7121427.0,7840429.0,12336554.0,0.0,75161688.0,8514493.0,0.0,0.0,0.0,0.0,110974591,63616670
ST,7,아울렛,284741107.0,137924176.0,125385351.0,125385351.0,38698196.0,86687155,0.0,24072983.0,0.0,0.0,3774364.0,4156746.0,6540455.0,0.0,0.0,4513873.0,15094601.0,0.0,1533335.0,2198000.0,61884357,24802798
ST,11,직영몰,210101482.0,124198214.0,112907485.0,112907485.0,42912329.0,69995156,0.0,16086366.0,0.0,0.0,3399390.0,3742903.0,5889408.0,1306805.0,0.0,4064669.0,34361646.0,3635000.0,4884313.0,13324000.0,90694500,-20699344
V,1,백화점,4023313053.0,3497322028.0,3179383857.0,2345875253.0,732005538.0,1613869715,247933421.0,0.0,0.0,0.0,13443980.0,16474643.0,28031013.0,0.0,0.0,79484596.0,0.0,0.0,0.0,18059000.0,403426653,1210443062
