브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비 합계,직접이익
I,1,백화점,1296472100.0,1229628400.0,1117843559.0,709957886.0,327025168.0,382932718.0,131917656.0,0.0,0.0,0.0,22472931.0,4446806.0,25067458.0,0.0,0.0,42597473.0,0.0,0.0,0.0,37042000.0,263544324,119388394
I,2,면세점,324893100.0,324666560.0,295151231.0,177090350.0,76318777.0,100771573.0,0.0,0.0,0.0,38514391.0,5933651.0,1174029.0,6618642.0,0.0,0.0,10625421.0,0.0,1275000.0,0.0,2153000.0,66294134,34477439
I,3,직영점(가두),36643700.0,36554470.0,33231319.0,33231319.0,9225694.0,24005625.0,0.0,0.0,2539811.0,0.0,668013.0,132241.0,745243.0,0.0,0.0,1296021.0,2863604.0,0.0,0.0,1048000.0,9292933,14712692
I,4,자사몰,115448700.0,101921931.0,92666727.0,92666727.0,28883358.0,63783369.0,0.0,0.0,0.0,0.0,1862866.0,368549.0,2078118.0,0.0,0.0,3614002.0,0.0,0.0,0.0,0.0,7923535,55859834
I,5,제휴몰,348607600.0,347139610.0,315581246.0,315581246.0,86030231.0,229551015.0,0.0,0.0,0.0,0.0,6344456.0,1255363.0,7076875.0,0.0,92721663.0,12307669.0,0.0,0.0,0.0,0.0,119706026,109844989
I,6,대리점,289086100.0,274872170.0,249883773.0,161912900.0,72828518.0,89084382.0,0.0,0.0,0.0,0.0,5023759.0,994062.0,5603457.0,0.0,0.0,9714774.0,0.0,0.0,0.0,0.0,21336052,67748330
I,8,사입,363316000.0,97565650.0,88696007.0,88696007.0,61233837.0,27462170.0,0.0,0.0,0.0,0.0,1783501.0,353188.0,1989365.0,0.0,0.0,5321760.0,0.0,0.0,0.0,0.0,9447814,18014356
I,11,직영몰,111116000.0,105335310.0,95759297.0,95759297.0,27633208.0,68126089.0,0.0,11283143.0,0.0,0.0,1925045.0,380827.0,2147477.0,1136208.0,0.0,3734613.0,22834459.0,0.0,3524152.0,5853000.0,52818924,15307165
I,99,기타,867700.0,433850.0,394405.0,394405.0,209847.0,184558.0,0.0,0.0,0.0,0.0,7931.0,1571.0,0.0,0.0,0.0,23664.0,0.0,0.0,0.0,0.0,33166,151392
M,1,RF,331854400.0,301247080.0,273860928.0,174100590.0,56020206.0,118080384.0,26752828.0,0.0,0.0,0.0,5134115.0,1821083.0,5752086.0,0.0,0.0,12187041.0,0.0,368547.0,0.0,12251642.0,64267342,53813042
M,1,백화점,1936970500.0,1803537750.0,1639578073.0,1069499710.0,328384278.0,741115432.0,160166516.0,0.0,0.0,0.0,30737436.0,10902645.0,34437168.0,0.0,0.0,74864980.0,0.0,2206453.0,0.0,73349358.0,386664556,354450876
M,2,면세점,2393557500.0,2275821930.0,2068928652.0,1282737497.0,392575828.0,890161669.0,0.0,0.0,0.0,111507521.0,38786653.0,13757555.0,43455093.0,0.0,0.0,89791625.0,0.0,6525000.0,0.0,11758000.0,315581447,574580222
M,3,RF,112567100.0,100326050.0,91205450.0,91205450.0,18266206.0,72939244.0,0.0,0.0,6249770.0,0.0,1709844.0,606468.0,1915639.0,2096002.0,0.0,4195451.0,648306.0,85068649.0,1847775.0,9597647.0,113935551,-40996307
M,3,직영점(가두),586391800.0,580574750.0,527794233.0,527794233.0,95092826.0,432701407.0,0.0,0.0,36166618.0,0.0,9894650.0,3509555.0,11085555.0,12129292.0,0.0,24278535.0,3751663.0,492281351.0,10692838.0,55540353.0,659330410,-226629003
M,4,RF,86845000.0,54712330.0,49738486.0,49738486.0,14960921.0,34777565.0,0.0,0.0,0.0,0.0,932447.0,330725.0,1044721.0,1721102.0,0.0,2287970.0,0.0,0.0,0.0,0.0,6316965,28460600
M,4,자사몰,271353600.0,240910260.0,219064357.0,219064357.0,44478675.0,174585682.0,0.0,0.0,0.0,0.0,4106796.0,1456619.0,4601289.0,7580291.0,0.0,10076960.0,0.0,0.0,0.0,0.0,27821955,146763727
M,5,제휴몰,840833800.0,830220330.0,754745707.0,754745707.0,141012555.0,613733152.0,0.0,0.0,0.0,0.0,14149436.0,5018814.0,15852415.0,0.0,186702622.0,34718303.0,0.0,0.0,0.0,0.0,256441590,357291562
M,6,RF,141193700.0,124103330.0,112821206.0,71349358.0,24037476.0,47311882.0,0.0,0.0,0.0,0.0,2115071.0,750219.0,2369665.0,0.0,0.0,4994455.0,0.0,0.0,0.0,0.0,10229410,37082472
M,6,대리점,1276574700.0,1203242830.0,1093856655.0,697101771.0,223671700.0,473430071.0,0.0,0.0,0.0,0.0,20506650.0,7273742.0,22975057.0,0.0,0.0,48797124.0,0.0,0.0,0.0,0.0,99552573,373877498
M,8,사입,349872000.0,87467880.0,79516263.0,79516263.0,46200081.0,33316182.0,0.0,0.0,0.0,0.0,1490667.0,528590.0,1669813.0,0.0,0.0,5566138.0,0.0,0.0,0.0,0.0,9255208,24060974
M,11,직영몰,182936400.0,175232120.0,159301836.0,159301836.0,31157262.0,128144574.0,0.0,18963081.0,0.0,0.0,2986549.0,1059270.0,3345979.0,1305681.0,0.0,7327884.0,35899993.0,2907000.0,8600763.0,20599000.0,102995200,25149374
M,99,기타,5854900.0,3129620.0,2845100.0,2845100.0,950272.0,1894828.0,0.0,0.0,0.0,0.0,53336.0,18913.0,0.0,0.0,0.0,199157.0,0.0,0.0,0.0,0.0,271406,1623422
ST,1,백화점,1165000.0,847870.0,770793.0,511906.0,196711.0,315195.0,192719.0,0.0,0.0,0.0,23231.0,25521.0,40189.0,0.0,0.0,27749.0,0.0,0.0,0.0,8628000.0,8937409,-8622214
ST,2,면세점,6994900.0,5491790.0,4992544.0,2845750.0,1311148.0,1534602.0,0.0,0.0,0.0,956917.0,150293.0,165487.0,260434.0,0.0,0.0,179732.0,0.0,0.0,0.0,2948000.0,4660863,-3126261
ST,3,직영점(가두),20049000.0,17620500.0,16018583.0,16018583.0,4350144.0,11668439.0,0.0,0.0,3853403.0,0.0,482214.0,530964.0,835602.0,0.0,0.0,576669.0,560723.0,0.0,0.0,0.0,6839575,4828864
ST,4,자사몰,11275000.0,12634560.0,11485964.0,11485964.0,3442575.0,8043389.0,0.0,0.0,0.0,0.0,345765.0,380720.0,599129.0,356041.0,0.0,413495.0,0.0,0.0,0.0,0.0,2095150,5948239
ST,5,제휴몰,94064600.0,44731700.0,40665097.0,40665097.0,10646664.0,30018433.0,0.0,0.0,0.0,0.0,1224426.0,1348048.0,2121091.0,0.0,12922961.0,1463943.0,0.0,0.0,0.0,0.0,19080469,10937964
ST,7,아울렛,48957100.0,23714060.0,21558191.0,21558191.0,6653593.0,14904598.0,0.0,4139000.0,0.0,0.0,648947.0,714692.0,1124536.0,0.0,0.0,776095.0,2595298.0,0.0,263635.0,2198000.0,12460203,2444395
ST,11,직영몰,36123900.0,21354080.0,19412803.0,19412803.0,7378152.0,12034651.0,0.0,2765817.0,0.0,0.0,584476.0,643538.0,1012598.0,224686.0,0.0,698861.0,5907986.0,3635000.0,839787.0,13324000.0,29636749,-17602098
V,1,백화점,1173250000.0,1019864230.0,927149357.0,684087493.0,213462260.0,470625233.0,72300585.0,0.0,0.0,0.0,3920438.0,4804219.0,8174205.0,0.0,0.0,23178734.0,0.0,0.0,0.0,18059000.0,130437181,340188052
V,3,직영점(가두),16369000.0,16369000.0,14880896.0,14880896.0,3281271.0,11599625.0,0.0,0.0,0.0,0.0,63021.0,77139.0,131157.0,0.0,0.0,372022.0,3125056.0,0.0,0.0,0.0,3768395,7831230
V,4,자사몰,173451000.0,149090690.0,135536978.0,135536978.0,32318188.0,103218790.0,0.0,0.0,0.0,0.0,573051.0,702354.0,1194896.0,3523968.0,0.0,3388424.0,0.0,0.0,0.0,0.0,9382693,93836097
V,5,제휴몰,251805000.0,222830410.0,202573093.0,202573093.0,48026651.0,154546442.0,0.0,0.0,0.0,0.0,856596.0,1049716.0,1785984.0,42360210.0,0.0,5064327.0,0.0,0.0,0.0,0.0,51116833,103429609
V,7,아울렛,503100000.0,264011430.0,240010295.0,240010295.0,74725118.0,165285177.0,0.0,26284622.0,0.0,0.0,1014767.0,1243786.0,2116071.0,245363.0,0.0,0.0,25925692.0,0.0,2525498.0,4168000.0,63523799,101761378
V,11,직영몰,145200000.0,127068900.0,115517199.0,115517199.0,26247269.0,89269930.0,0.0,9172684.0,0.0,0.0,488622.0,598749.0,1018585.0,2096129.0,0.0,2887930.0,23103508.0,0.0,1961606.0,7188000.0,48515813,40754117
W,4,자사몰,62478000.0,15185900.0,13805365.0,13805365.0,7708235.0,6097130.0,0.0,0.0,0.0,0.0,1269882.0,1125953.0,783763.0,332066.0,0.0,510799.0,0.0,0.0,0.0,0.0,4022463,2074667
W,5,제휴몰,63907000.0,18727000.0,17024567.0,17024567.0,9633721.0,7390846.0,0.0,0.0,0.0,0.0,1566026.0,1388565.0,966493.0,0.0,4846913.0,646934.0,0.0,0.0,0.0,0.0,9414931,-2024085
X,1,백화점,6661560000.0,5122895940.0,4657176745.0,3130670287.0,1503297709.0,1627372578.0,418723981.0,0.0,0.0,0.0,43376282.0,6180977.0,44761769.0,0.0,0.0,97800712.0,0.0,770000.0,0.0,90382000.0,701995721,925376857
X,2,면세점,735743000.0,695762040.0,632510459.0,379506178.0,214337887.0,165168291.0,0.0,0.0,0.0,18633247.0,5891032.0,839427.0,6079264.0,0.0,0.0,13282720.0,0.0,0.0,0.0,2971000.0,47696690,117471601
X,3,직영점(가두),160672000.0,156216590.0,142014776.0,142014776.0,39925931.0,102088845.0,0.0,12024162.0,13515471.0,0.0,1322715.0,188441.0,1364971.0,2698570.0,0.0,2982310.0,7622366.0,160000000.0,0.0,2000.0,201721006,-99632161
X,4,자사몰,1066930000.0,933400605.0,848585339.0,848585339.0,264985284.0,583600055.0,0.0,0.0,0.0,0.0,7903559.0,1126155.0,8155890.0,24563423.0,0.0,17820292.0,0.0,0.0,0.0,0.0,59569319,524030736
X,5,제휴몰,3276831000.0,2650323830.0,2409384798.0,2409384798.0,701219874.0,1708164924.0,0.0,0.0,0.0,0.0,22440619.0,3197615.0,23157532.0,0.0,576784907.0,50597081.0,0.0,0.0,0.0,0.0,676177754,1031987170
X,6,대리점,6600191000.0,5505972520.0,5005427667.0,3355419487.0,1594460277.0,1760959210.0,0.0,0.0,0.0,0.0,46619815.0,6642988.0,48108912.0,0.0,0.0,105113981.0,0.0,0.0,0.0,0.0,206485696,1554473514
X,7,아울렛,5639816000.0,3714318020.0,3376651471.0,3376651471.0,1082241036.0,2294410435.0,0.0,220234755.0,0.0,0.0,31449623.0,4481316.0,32454031.0,23636571.0,0.0,70909681.0,642740962.0,0.0,35558018.0,86053000.0,1147517957,1146892478
X,8,사입,2015948000.0,262073220.0,238248434.0,238248434.0,204695397.0,33553037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21442359.0,0.0,0.0,0.0,0.0,21442359,12110678
X,11,직영몰,472118000.0,435389570.0,395808683.0,395808683.0,119816479.0,275992204.0,0.0,28926090.0,0.0,0.0,3686543.0,525356.0,3804178.0,6968844.0,0.0,8311982.0,75111673.0,0.0,5891159.0,20372000.0,153597825,122394379
X,12,아울렛,288774000.0,103096100.0,93723684.0,93723684.0,34888505.0,58835179.0,0.0,4829474.0,0.0,0.0,872965.0,124362.0,900753.0,1968233.0,0.0,1968197.0,0.0,0.0,0.0,2000.0,10665984,48169195
X,99,기타,3265000.0,2285500.0,2077728.0,2077728.0,795501.0,1282227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43632.0,0.0,0.0,0.0,0.0,43632,1238595
I,0,미지정,,,,,73691000.0,-73691000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-73691000
M,0,미지정,,,,,164433000.0,-164433000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-164433000
ST,0,미지정,,,,,130198000.0,-130198000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-130198000
V,0,미지정,,,,,119493000.0,-119493000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-119493000
W,0,미지정,,,,,26111000.0,-26111000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-26111000
X,0,미지정,,,,,810296000.0,-810296000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-810296000
