브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
I,22F,5,제휴몰,103403,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,56636,56636,89000,62300,56636,62300,56636,16277,16277,1806,-15467,2616,54020
I,22F,11,직영몰,100882,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130017,WP,우븐팬츠,0,0,0,0,0,0,0,0,0,0,0,0,0
I,22N,2,면세점,100850,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,12600,12600,33000,23100,21000,13860,12600,5615,5615,550,0,6165,6435
I,23F,1,백화점,100734,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,97338,97338,239000,167300,152091,107072,97338,44173,44173,5212,-30702,18683,78655
I,23F,2,면세점,100883,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,52690,52690,138000,96600,87818,57959,52690,25406,25406,2997,-17627,10776,41914
I,23F,5,제휴몰,103403,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150008,WB,방한화,45000,45000,99000,49500,45000,49500,45000,24172,24172,2852,-18592,8432,36568
I,23F,8,사입,105624,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,-15682,-15682,-69000,-17250,-15682,-17250,-15682,-16423,-16423,-1937,12533,-5827,-9855
I,23N,1,백화점,100649,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,202746,202746,354000,354000,321816,223021,202746,88032,88032,10211,0,98243,104503
I,23N,1,백화점,100666,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,-33791,-33791,-59000,-59000,-53636,-37170,-33791,-15122,-15122,-1754,0,-16876,-16915
I,23N,1,백화점,100691,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,0,0,0,0,0,0,0,0,0,0,0,0,0
I,23N,1,백화점,100750,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,31162,31162,59000,53560,48691,34278,31162,14672,14672,1702,0,16374,14788
I,23N,1,백화점,100756,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,33791,33791,59000,59000,53636,37170,33791,14672,14672,1702,0,16374,17417
I,23N,1,백화점,100761,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,33791,33791,59000,59000,53636,37170,33791,14672,14672,1702,0,16374,17417
I,23N,1,백화점,100774,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,27033,27033,59000,47200,42909,29736,27033,14672,14672,1702,0,16374,10659
I,23N,1,백화점,100785,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,75600,75600,118000,108000,98182,83160,75600,29344,29344,3403,0,32747,42853
