브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
V,5.0,제휴몰,당시즌의류,후드티,HD,1650826,1650826,1500750,1500750,432953,1067797
V,5.0,제휴몰,차시즌의류,반팔다운,DH,26193798,26193798,23812542,23812542,3904486,19908056
V,7.0,아울렛,Acc_etc,머플러(스카프),MF,1034378,930940,846309,846309,270102,576207
V,7.0,아울렛,Acc_etc,양말,SO,393900,186470,169516,169516,62415,107101
V,7.0,아울렛,Acc_etc,장갑,AG,1964274,1342811,1220732,1220732,286789,933943
V,7.0,아울렛,Bag,백팩,BK,407482,220040,200036,200036,75122,124914
V,7.0,아울렛,Bag,벨트백,TA,605999,218160,198327,198327,55092,143235
V,7.0,아울렛,Bag,크로스백,CR,41793,131648,119680,119680,24437,95243
V,7.0,아울렛,Bag,토드백,TG,1003033,504024,458203,458203,99420,358783
V,7.0,아울렛,Bag,힙색,HS,1044826,376138,341942,341942,128630,213312
V,7.0,아울렛,Headwear,비니,BN,2946411,1914540,1740488,1740488,594819,1145669
V,7.0,아울렛,Headwear,운동모,CP,361510,232077,210979,210979,69049,141930
V,7.0,아울렛,Headwear,햇,HT,1055275,639434,581302,581302,157247,424055
V,7.0,아울렛,Shoes,방한화,WB,12894203,11499851,10454386,10454386,3166661,7287725
V,7.0,아울렛,Shoes,신발,SH,12639265,3517931,3198110,3198110,3292875,-94765
V,7.0,아울렛,과시즌의류,니트반팔티셔츠,KU,616448,166441,151310,151310,39229,112081
V,7.0,아울렛,과시즌의류,니트풀오버,KP,36631614,10168878,9244416,9244416,3309715,5934701
V,7.0,아울렛,과시즌의류,다운베스트,DV,71466127,28045335,25495736,25495736,9270482,16225254
V,7.0,아울렛,과시즌의류,다운점퍼,DJ,1033291540,489128072,444661649,444661649,163847714,280813935
V,7.0,아울렛,과시즌의류,라운드티,RT,971689,207816,188923,188923,28782,160141
V,7.0,아울렛,과시즌의류,레깅스,LG,1514998,283775,257977,257977,55092,202885
V,7.0,아울렛,과시즌의류,맨투맨,MT,14961914,4379077,3980964,3980964,1408881,2572083
V,7.0,아울렛,과시즌의류,반바지,SP,1431412,488038,443671,443671,194812,248859
V,7.0,아울렛,과시즌의류,반팔다운,DH,18482979,11449208,10408365,10408365,2911623,7496742
V,7.0,아울렛,과시즌의류,반팔카라티셔츠,TS,470172,126946,115406,115406,29921,85485
V,7.0,아울렛,과시즌의류,반팔티셔츠,RS,259117,162679,147891,147891,41508,106383
V,7.0,아울렛,과시즌의류,방수자켓,JK,5255477,2751446,2501313,2501313,997354,1503959
V,7.0,아울렛,과시즌의류,방풍자켓,WJ,12224469,3892292,3538444,3538444,1077601,2460843
V,7.0,아울렛,과시즌의류,소프트쉘,SS,11106505,5740799,5218904,5218904,2101126,3117778
V,7.0,아울렛,과시즌의류,스커트,SK,4137513,1010870,918970,918970,292363,626607
V,7.0,아울렛,과시즌의류,우븐셔츠,WS,376138,135410,123099,123099,46903,76196
V,7.0,아울렛,과시즌의류,집업티,ZT,11649815,5242417,4765829,4765829,2113097,2652732
V,7.0,아울렛,과시즌의류,트레이닝 숏팬츠,TB,961240,259535,235941,235941,61170,174771
V,7.0,아울렛,과시즌의류,트레이닝(상의),TR,9194473,2192777,1993427,1993427,562187,1431240
V,7.0,아울렛,과시즌의류,트레이닝(하의),TP,6154028,1397664,1270600,1270600,345186,925414
V,7.0,아울렛,과시즌의류,패딩,PD,23435457,7576559,6887777,6887777,2416978,4470799
