브랜드,구분,아이템명,채널명,TAG매출,실판매출,비중,할인율,YOY
I,아이템,Acc_etc,전체,90653700,45666340,1,49.6,-2.7
I,아이템-채널,Acc_etc,기타,68500,34250,0,50.0,100.0
I,아이템-채널,Acc_etc,대리점,2310800,2205840,5,4.5,93.4
I,아이템-채널,Acc_etc,면세점,5387800,5387800,12,0.0,-14.9
I,아이템-채널,Acc_etc,백화점,12989400,12578120,28,3.2,-31.8
I,아이템-채널,Acc_etc,사입,50019100,6552050,14,86.9,-10.3
I,아이템-채널,Acc_etc,자사몰,5822900,4955550,11,14.9,137.5
I,아이템-채널,Acc_etc,제휴몰,10443200,10443200,23,0.0,106.8
I,아이템-채널,Acc_etc,직영몰,2422000,2320030,5,4.2,-54.5
I,아이템-채널,Acc_etc,직영점(가두),1190000,1189500,3,0.0,-20.5
I,아이템,Bag,전체,185126000,124083750,3,33.0,-65.4
I,아이템-채널,Bag,대리점,27830000,26775660,22,3.8,-30.2
I,아이템-채널,Bag,면세점,27867000,27648000,22,0.8,-88.4
I,아이템-채널,Bag,백화점,49293000,42751550,34,13.3,-25.7
I,아이템-채널,Bag,사입,49902000,5525130,4,88.9,-37685.9
I,아이템-채널,Bag,자사몰,3975000,2859500,2,28.1,-59.0
I,아이템-채널,Bag,제휴몰,20483000,13020470,10,36.4,81.2
I,아이템-채널,Bag,직영몰,3879000,3652100,3,5.8,-46.0
I,아이템-채널,Bag,직영점(가두),1897000,1851340,1,2.4,-49.7
I,아이템,Headwear,전체,665518000,433477470,9,34.9,9.4
I,아이템-채널,Headwear,기타,39000,13270,0,66.0,-76.5
I,아이템-채널,Headwear,대리점,36941000,36018210,8,2.5,-0.3
I,아이템-채널,Headwear,면세점,106150000,106149940,24,0.0,28.9
I,아이템-채널,Headwear,백화점,125241000,121941380,28,2.6,-10.0
I,아이템-채널,Headwear,사입,302711000,79288930,18,73.8,29.2
I,아이템-채널,Headwear,자사몰,19519000,15960930,4,18.2,-1.5
I,아이템-채널,Headwear,제휴몰,39422000,39409080,9,0.0,42.4
I,아이템-채널,Headwear,직영몰,25104000,24318570,6,3.1,5.5
I,아이템-채널,Headwear,직영점(가두),10391000,10377160,2,0.1,-24.6
I,아이템,Shoes,전체,1008318000,715897440,15,29.0,61.6
I,아이템-채널,Shoes,기타,732000,593500,0,18.9,310.0
I,아이템-채널,Shoes,대리점,73752000,71229720,10,3.4,5.4
I,아이템-채널,Shoes,면세점,29643000,29643000,4,0.0,-30.4
I,아이템-채널,Shoes,백화점,270114000,256748010,36,4.9,17.5
I,아이템-채널,Shoes,사입,355282000,88820830,12,75.0,-4191.6
I,아이템-채널,Shoes,자사몰,54182000,46480560,6,14.2,79.8
I,아이템-채널,Shoes,제휴몰,178482000,177363410,25,0.6,235.1
I,아이템-채널,Shoes,직영몰,35508000,34395410,5,3.1,26.0
I,아이템-채널,Shoes,직영점(가두),10623000,10623000,1,0.0,4.0
I,아이템,과시즌의류,전체,3800558000,1097792380,23,71.1,96.0
I,아이템-채널,과시즌의류,기타,1899000,674350,0,64.5,118.6
I,아이템-채널,과시즌의류,대리점,590000,511000,0,13.4,34.4
I,아이템-채널,과시즌의류,면세점,354000,354000,0,0.0,100.0
I,아이템-채널,과시즌의류,백화점,96598000,59722530,5,38.2,-35.7
I,아이템-채널,과시즌의류,사입,3560767000,956117400,87,73.1,120.8
I,아이템-채널,과시즌의류,자사몰,364000,305940,0,16.0,-95.3
I,아이템-채널,과시즌의류,제휴몰,138693000,79087760,7,43.0,193.8
I,아이템-채널,과시즌의류,직영몰,939000,665400,0,29.1,100.0
I,아이템-채널,과시즌의류,직영점(가두),354000,354000,0,0.0,100.0
I,아이템,당시즌의류,전체,2556386000,2439920200,50,4.6,13.1
I,아이템-채널,당시즌의류,기타,5535000,1988300,0,64.1,-43.9
I,아이템-채널,당시즌의류,대리점,374752000,360948870,15,3.7,-2.5
I,아이템-채널,당시즌의류,면세점,171367000,171366970,7,0.0,-5.3
I,아이템-채널,당시즌의류,백화점,1159579000,1111659140,46,4.1,-0.4
I,아이템-채널,당시즌의류,자사몰,246314000,208684340,9,15.3,75.9
I,아이템-채널,당시즌의류,제휴몰,425412000,425411860,17,0.0,86.1
I,아이템-채널,당시즌의류,직영몰,117057000,103623710,4,11.5,10.5
I,아이템-채널,당시즌의류,직영점(가두),56370000,56237010,2,0.2,20.6
M,아이템,Acc_etc,전체,138437100,111006776,1,19.8,6.2
M,아이템-채널,Acc_etc,RF,8680600,7273940,7,16.2,72.4
M,아이템-채널,Acc_etc,기타,245600,122800,0,50.0,-91.3
M,아이템-채널,Acc_etc,대리점,11427600,10838330,10,5.2,-31.6
M,아이템-채널,Acc_etc,면세점,67114000,50039010,45,25.4,12.4
M,아이템-채널,Acc_etc,백화점,30853200,23964500,22,22.3,15.1
M,아이템-채널,Acc_etc,자사몰,3632800,2830666,3,22.1,66.5
M,아이템-채널,Acc_etc,제휴몰,3111500,3078800,3,1.1,-16.5
M,아이템-채널,Acc_etc,직영몰,1267900,826350,1,34.8,-14.1
M,아이템-채널,Acc_etc,직영점(가두),12103900,12032380,11,0.6,5.9
M,아이템,Bag,전체,941047000,890637032,5,5.4,-25.3
M,아이템-채널,Bag,RF,44332000,39121020,4,11.8,-23.5
M,아이템-채널,Bag,기타,902000,500500,0,44.5,76.9
M,아이템-채널,Bag,대리점,103262000,98048310,11,5.0,-48.9
M,아이템-채널,Bag,면세점,368057000,358097180,40,2.7,-7.5
M,아이템-채널,Bag,백화점,339627000,312904750,35,7.9,-32.7
M,아이템-채널,Bag,사입,-208000,-52020,0,75.0,100.0
M,아이템-채널,Bag,자사몰,13948000,12380152,1,11.2,-26.4
M,아이템-채널,Bag,제휴몰,18031000,17057900,2,5.4,-17.6
M,아이템-채널,Bag,직영몰,7454000,7078770,1,5.0,-15.7
M,아이템-채널,Bag,직영점(가두),45642000,45500470,5,0.3,-11.7
M,아이템,Headwear,전체,6901199000,6736155738,35,2.4,24.5
M,아이템-채널,Headwear,RF,359388000,289719130,4,19.4,25.7
M,아이템-채널,Headwear,기타,1274000,860000,0,32.5,4.5
M,아이템-채널,Headwear,대리점,1002131000,965058080,14,3.7,106.9
M,아이템-채널,Headwear,면세점,3561822000,3561810830,53,0.0,18.8
M,아이템-채널,Headwear,백화점,856103000,823211970,12,3.8,30.2
M,아이템-채널,Headwear,사입,-653000,-167370,0,74.4,-100.1
M,아이템-채널,Headwear,자사몰,134460000,116062148,2,13.7,22.3
M,아이템-채널,Headwear,제휴몰,457618000,456186510,7,0.3,35.9
M,아이템-채널,Headwear,직영몰,83097000,81705870,1,1.7,-15.5
M,아이템-채널,Headwear,직영점(가두),445959000,441708570,7,1.0,48.7
M,아이템,Shoes,전체,3480647000,3214591955,17,7.6,4.2
M,아이템-채널,Shoes,RF,407723000,328969910,10,19.3,20.0
M,아이템-채널,Shoes,기타,6219000,3047480,0,51.0,264.1
M,아이템-채널,Shoes,대리점,868033000,823735280,26,5.1,26.9
M,아이템-채널,Shoes,면세점,604568000,600255160,19,0.7,-19.6
M,아이템-채널,Shoes,백화점,958263000,908767350,28,5.2,-0.1
M,아이템-채널,Shoes,사입,126072000,82534400,3,34.5,-27.2
M,아이템-채널,Shoes,아울렛,0,0,0,0.0,0.0
M,아이템-채널,Shoes,자사몰,73563000,65142125,2,11.4,-24.5
M,아이템-채널,Shoes,제휴몰,177306000,147026010,5,17.1,12.2
M,아이템-채널,Shoes,직영몰,41531000,39848200,1,4.1,-14.1
M,아이템-채널,Shoes,직영점(가두),217369000,215266040,7,1.0,67.7
M,아이템,과시즌의류,전체,6110447000,1392170251,7,77.2,-26.4
M,아이템-채널,과시즌의류,RF,2557000,2142390,0,16.2,-77.6
M,아이템-채널,과시즌의류,기타,4285000,2427040,0,43.4,284.0
M,아이템-채널,과시즌의류,대리점,22570000,20280660,1,10.1,29.5
M,아이템-채널,과시즌의류,면세점,43736000,43736000,3,0.0,-7.4
M,아이템-채널,과시즌의류,백화점,19453000,12756850,1,34.4,-82.8
M,아이템-채널,과시즌의류,사입,5990583000,1285465380,92,78.5,-24.5
M,아이템-채널,과시즌의류,자사몰,9373000,8289331,1,11.6,-20.8
M,아이템-채널,과시즌의류,제휴몰,6007000,5894500,0,1.9,-71.7
M,아이템-채널,과시즌의류,직영몰,1723000,1020960,0,40.7,-85.8
M,아이템-채널,과시즌의류,직영점(가두),10160000,10157140,1,0.0,213.3
M,아이템,당시즌의류,전체,7533605000,7107170679,37,5.7,0.6
M,아이템-채널,당시즌의류,RF,773458000,638076260,9,17.5,35.9
M,아이템-채널,당시즌의류,기타,25661000,12949500,0,49.5,397.0
M,아이템-채널,당시즌의류,대리점,1617058000,1523702390,21,5.8,3.8
M,아이템-채널,당시즌의류,면세점,1239629000,1239628930,17,0.0,-34.4
M,아이템-채널,당시즌의류,백화점,2331021000,2195406610,31,5.8,-0.2
M,아이템-채널,당시즌의류,아울렛,0,0,0,0.0,0.0
M,아이템-채널,당시즌의류,자사몰,337141000,310373249,4,7.9,42.2
M,아이템-채널,당시즌의류,제휴몰,503363000,503362980,7,0.0,50.3
M,아이템-채널,당시즌의류,직영몰,183537000,174233330,2,5.1,4.6
M,아이템-채널,당시즌의류,직영점(가두),522737000,509437430,7,2.5,63.3
ST,아이템,Acc_etc,전체,6229100,5529200,1,11.2,-45.9
ST,아이템-채널,Acc_etc,면세점,780600,706430,13,9.5,-53.7
ST,아이템-채널,Acc_etc,백화점,57000,51430,1,9.8,-96.1
ST,아이템-채널,Acc_etc,아울렛,1279500,1153550,21,9.8,-20.7
ST,아이템-채널,Acc_etc,자사몰,1688600,1407860,25,16.6,-55.1
