브랜드,2024-11-04,2024-11-11,2024-11-18,2024-11-25
C,0,0,0,0
I,2400355171,4089477330,6696409143,8936096869
M(면세),3980728520,6519367280,8655689330,11018586110
M(면세제외),7899086002,13556326314,19348308592,23996482596
ST,198772190,387839220,644867590,822112080
V,934463000,1642845310,2426672830,3517965010
W,139992633,209138270,288453988,416936474
X,21135058670,35107361680,55056811820,75041550960
