브랜드코드,채널명,아이템_중분류,제품계층3(소분류),아이템코드,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익
I,공통,Acc_etc,PET,PE,0,0,0,500369,-500369,0,0,0,0,0,0,0,0,0,0,0,-500369
I,공통,Acc_etc,고글,GG,0,0,0,191373,-191373,0,0,0,0,0,0,0,0,0,0,0,-191373
I,공통,Acc_etc,기타,ET,0,0,0,2381172,-2381172,0,0,0,0,0,0,0,0,0,0,0,-2381172
I,공통,Acc_etc,머플러(스카프),MF,0,0,0,256312,-256312,0,0,0,0,0,0,0,0,0,0,0,-256312
I,공통,Acc_etc,장갑,GL,0,0,0,862817,-862817,0,0,0,0,0,0,0,0,0,0,0,-862817
I,공통,Bag,버킷백,BM,0,0,0,1294,-1294,0,0,0,0,0,0,0,0,0,0,0,-1294
I,공통,Bag,크로스백,CR,0,0,0,91260,-91260,0,0,0,0,0,0,0,0,0,0,0,-91260
I,공통,Headwear,방한모,WM,0,0,0,6079272,-6079272,0,0,0,0,0,0,0,0,0,0,0,-6079272
I,공통,Headwear,비니,BN,0,0,0,4352443,-4352443,0,0,0,0,0,0,0,0,0,0,0,-4352443
I,공통,Headwear,와이어캡,WR,0,0,0,11154,-11154,0,0,0,0,0,0,0,0,0,0,0,-11154
I,공통,Headwear,운동모,CP,0,0,0,145780,-145780,0,0,0,0,0,0,0,0,0,0,0,-145780
I,공통,Headwear,햇,HT,0,0,0,1214809,-1214809,0,0,0,0,0,0,0,0,0,0,0,-1214809
I,공통,Shoes,뮬,MU,0,0,0,50150,-50150,0,0,0,0,0,0,0,0,0,0,0,-50150
I,공통,Shoes,방한화,WB,0,0,0,12800171,-12800171,0,0,0,0,0,0,0,0,0,0,0,-12800171
I,공통,Shoes,스니커즈,SX,0,0,0,762015,-762015,0,0,0,0,0,0,0,0,0,0,0,-762015
I,공통,과시즌의류,니트가디건,KC,0,0,0,639901,-639901,0,0,0,0,0,0,0,0,0,0,0,-639901
