브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,2846900,2633820,2394379,1514233,826585,687648
I,1.0,백화점,Acc_etc,머플러(스카프),MF,1754000,1531980,1392715,883908,355274,528634
I,1.0,백화점,Acc_etc,양말,SO,5108500,4745670,4314221,2754869,1201486,1553383
I,1.0,백화점,Acc_etc,장갑,GL,3334000,3163360,2875790,1826305,804935,1021370
I,1.0,백화점,Bag,가방,BG,1782000,1703780,1548886,982253,448698,533555
I,1.0,백화점,Bag,백팩,BK,521105000,428704500,389731861,248318440,118208993,130109447
I,1.0,백화점,Bag,보조가방,UB,9555000,8890740,8082501,5155137,2371061,2784076
I,1.0,백화점,Bag,슬링백,SG,711000,685200,622908,412469,155961,256508
I,1.0,백화점,Bag,크로스백,CR,844600000,819948210,745407559,471217966,229573509,241644457
I,1.0,백화점,Bag,힙색,HS,649000,604310,549371,346588,127514,219074
I,1.0,백화점,Headwear,방한모,WM,25283000,23994210,21812886,13900207,4921309,8978898
I,1.0,백화점,Headwear,비니,BN,37891000,35359280,32144755,20432329,8370327,12062002
I,1.0,백화점,Headwear,와이어캡,WR,490000,475800,432550,272462,93440,179022
I,1.0,백화점,Headwear,운동모,CP,54199000,51314550,46649381,29725440,11618011,18107429
I,1.0,백화점,Headwear,햇,HT,436000,418900,380815,239914,83276,156638
I,1.0,백화점,Shoes,런닝화,RN,48371000,45879150,41708251,26602354,11796910,14805444
I,1.0,백화점,Shoes,방한화,WB,46469000,42850870,38955268,24790390,11139277,13651113
I,1.0,백화점,Shoes,스니커즈,SX,17277000,16031350,14573942,9278670,3887584,5391086
I,1.0,백화점,Shoes,신발,SH,41323000,38706340,35187585,22442585,9655044,12787541
I,1.0,백화점,과시즌의류,다운점퍼,DJ,3089000,1544500,1404089,884579,476814,407765
I,1.0,백화점,과시즌의류,맨투맨,MT,295000,147500,134090,84475,45895,38580
